id	C4	C13	C37	C50	C59	C75	C78	C86	C118	C123	C135	C160	C176	C190	C215	C245	C258	C259	C261	C262	C278	C289	C291	C321	C324	C338	C339	C341	C347	C402	C408	C436	C472	C475	C476	C481	C504	C1167	C1248	C1262	C1286	C1292	C1345	C1349	C1358	C1390	C1391	C1510	C1541	C1548	C1549	C1552	C1564	C1669	C1712	C1765	C1796	C1970	C1985	C2048	C2124	C2309	C2343	C2448	C2449	C2646	C2947	C3082	C3403	C3450	C3473	C3679	C3854	C3879	C3884	C4073	C4103	C4131	C4136
1	0.000	0.288	0.000	0.022	0.000	0.099	0.006	0.007	0.041	0.004	0.000	0.643	0.003	0.002	0.019	0.001	0.000	0.016	0.013	0.001	0.997	0.001	0.030	0.006	0.340	0.001	0.000	0.001	0.281	0.000	0.000	0.014	0.044	0.870	0.001	0.004	0.000	0.045	0.001	0.000	0.001	0.134	0.076	0.004	0.009	0.001	0.000	0.000	0.001	0.011	0.000	0.000	0.047	0.154	0.028	0.017	0.003	0.000	0.013	0.005	0.010	0.004	0.004	0.459	0.064	0.023	0.000	0.001	0.001	0.000	0.001	0.000	0.012	0.002	0.405	0.002	0.001	0.939	0.047
2	0.000	0.042	0.001	0.017	0.001	0.002	0.001	0.001	0.057	0.000	0.007	0.045	0.010	0.011	0.000	0.000	0.000	0.001	0.001	0.010	1.000	0.000	0.000	0.018	0.004	0.006	0.002	0.002	0.044	0.000	0.000	0.003	0.002	0.115	0.001	0.002	0.000	0.008	0.002	0.000	0.010	0.005	0.000	0.000	0.002	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.014	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.002	0.041	0.029	0.018	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.003	0.001	0.000	0.001	0.353	0.108
3	0.000	0.818	0.006	0.004	0.001	0.578	0.414	0.001	0.038	0.004	0.003	0.446	0.291	0.048	0.000	0.090	0.001	0.001	0.023	0.000	1.000	0.016	0.035	0.287	0.000	0.000	0.000	0.000	0.823	0.000	0.000	0.475	0.000	0.695	0.004	0.001	0.000	0.089	0.019	0.787	0.008	0.024	0.726	0.014	0.000	0.001	0.029	0.002	0.000	0.002	0.000	0.000	0.001	0.027	0.000	0.000	0.147	0.002	0.000	0.000	0.000	0.378	0.012	0.984	0.696	0.058	0.000	0.000	0.004	0.001	0.000	0.005	0.000	0.858	0.008	0.000	0.118	0.994	0.884
4	0.941	0.395	0.001	0.008	0.000	0.466	0.041	0.003	0.019	0.002	0.001	0.048	0.003	0.002	0.001	0.006	0.001	0.001	0.007	0.005	0.999	0.011	0.046	0.003	0.023	0.002	0.000	0.007	0.394	0.000	0.000	0.116	0.005	0.398	0.001	0.002	0.000	0.242	0.000	0.061	0.001	0.072	0.578	0.001	0.007	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.293	0.003	0.004	0.035	0.000	0.001	0.000	0.001	0.031	0.001	0.922	0.222	0.048	0.000	0.002	0.002	0.000	0.001	0.000	0.003	0.267	0.007	0.000	0.003	0.982	0.467
5	0.000	0.105	0.003	0.041	0.001	0.000	0.001	0.027	0.403	0.006	0.000	0.050	0.007	0.017	0.000	0.000	0.000	0.001	0.009	0.022	0.993	0.000	0.000	0.023	0.043	0.006	0.031	0.003	0.109	0.000	0.000	0.002	0.003	0.714	0.002	0.026	0.057	0.256	0.000	0.000	0.001	0.041	0.000	0.002	0.000	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.033	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.002	0.105	0.003	0.016	0.001	0.024	0.002	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.001	0.236	0.016
6	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.000	0.000	0.000	0.003	0.161	0.972	0.000	0.000	0.000	0.000	0.027	0.001	0.000	0.000	0.080	0.004	0.000	0.000	0.000	0.001	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.998	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
7	0.000	0.000	0.001	0.040	0.000	0.000	0.000	0.010	0.162	0.007	0.001	0.000	0.002	0.003	0.000	0.000	0.000	0.216	0.000	0.068	0.000	0.000	0.000	0.002	0.117	0.046	0.049	0.027	0.000	0.000	0.000	0.000	0.007	0.003	0.000	0.012	0.007	0.165	0.000	0.000	0.002	0.058	0.000	0.002	0.008	0.000	0.000	0.000	0.000	0.003	0.210	0.000	0.001	0.470	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.031	0.009	0.018	0.003	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.001	0.000	0.017
8	0.000	0.346	0.000	0.002	0.000	0.000	0.000	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.938	1.000	0.000	0.000	0.000	0.015	0.296	0.605	0.461	0.362	0.000	0.000	0.000	0.040	0.072	0.000	0.000	0.175	0.010	0.000	0.000	0.000	0.005	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.127	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.911	0.402	0.001	0.771	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.002
9	0.000	0.000	0.001	0.093	0.000	0.000	0.000	0.003	0.042	0.037	0.000	0.000	0.017	0.000	0.000	0.000	0.002	0.678	0.002	0.184	0.000	0.000	0.000	0.006	0.207	0.124	0.038	0.027	0.000	0.000	0.000	0.000	0.006	0.005	0.001	0.002	0.001	0.009	0.005	0.000	0.000	0.122	0.000	0.003	0.004	0.000	0.000	0.000	0.000	0.004	0.576	0.000	0.002	0.212	0.002	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.001	0.000	0.000	0.063	0.016	0.024	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013
11	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.033	0.317	0.003	0.000	0.000	0.000	0.000	0.006	0.000	0.637	0.907	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.024	0.006	0.091	0.000	0.000	0.000	0.891	0.000	0.000	0.002	0.000	0.000	0.001	0.014	0.018	0.016	0.324	0.008	0.554	0.002	0.092	0.000	0.002	0.000	0.671	0.108	0.000	0.001	0.000	0.000	0.223	0.000	0.000	0.001	0.000	0.000	0.001	0.128	0.000	0.084	0.003	0.001	0.000	0.008
12	0.000	1.000	0.000	0.002	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000
