id	name	formula	similarity	smiles	inchi	inchikey2D	score	xlogp	links
1	null	C26H48N4O11	0.3799431656074062	CCC1C(CC(C(O1)OC2C(CC(C(C2O)OC3C(CC(C(O3)CO)O)O)C)NC(=O)OC(C)(C)C)N=C(N)N)O	InChI=1S/C26H48N4O11/c1-6-17-14(32)8-13(29-24(27)28)22(37-17)40-21-12(30-25(36)41-26(3,4)5)7-11(2)20(19(21)35)39-23-16(34)9-15(33)18(10-31)38-23/h11-23,31-35H,6-10H2,1-5H3,(H,30,36)(H4,27,28,29)	GIOWSSBGVXJIQO	-449.8125993146918	-1.0	PubChem:(91303466)
2	null	C10H13NO3	0.34609866300963676	CC1=C(C(=C(C=C1)[N+](=O)[O-])O)C(C)C	InChI=1S/C10H13NO3/c1-6(2)9-7(3)4-5-8(10(9)12)11(13)14/h4-6,12H,1-3H3	IAOXVHOYJIGRLC	-173.74601955789504	3.4000001	PubChem:(131504577)
3	null	C31H44N10O5	0.44227392755253114	CCC(=O)NC1CC(C(C1O)O)N2C=NC3=C(N=C(N=C32)N4CCC(C4)NC(=O)NC5CCNC5)NC(CC6=CC=CC=C6)CO	InChI=1S/C31H44N10O5/c1-2-24(43)37-22-13-23(27(45)26(22)44)41-17-33-25-28(34-21(16-42)12-18-6-4-3-5-7-18)38-30(39-29(25)41)40-11-9-20(15-40)36-31(46)35-19-8-10-32-14-19/h3-7,17,19-23,26-27,32,42,44-45H,2,8-16H2,1H3,(H,37,43)(H,34,38,39)(H2,35,36,46)	AHBZAOYGWQWKQS	-403.9162502685551	0.0	PubChem:(68919976)
4	null	C23H44N6O7S	0.28106195840905607	CC(C)CC(C(=O)NC(CO)C(=O)NC(CCSC)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)O)N	InChI=1S/C23H44N6O7S/c1-13(2)11-15(25)20(32)29-18(12-30)22(34)27-16(8-10-37-4)21(33)26-14(3)19(31)28-17(23(35)36)7-5-6-9-24/h13-18,30H,5-12,24-25H2,1-4H3,(H,26,33)(H,27,34)(H,28,31)(H,29,32)(H,35,36)	UKFUKASDBIKMET	-471.47991054463404	-1.41795206	PubChem:(10370282)
5	null	C14H21NO3	0.33147522599482276	C1=CC=C(C=C1)OCCNCCCCCC(=O)O	InChI=1S/C14H21NO3/c16-14(17)9-5-2-6-10-15-11-12-18-13-7-3-1-4-8-13/h1,3-4,7-8,15H,2,5-6,9-12H2,(H,16,17)	OTXKHCYBIRFKHG	-210.479702861754	-0.200000003	PubChem:(64296300)
6	2-Hydroxystearate	C18H36O3	0.5993938834667261	CCCCCCCCCCCCCCCCC(C(=O)O)O	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(19)18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	KIHBGTRZFAVZRV	-66.88399635338493	7.5	PubChem:(69417, 439885, 439887, 21993177, 21145040, 21145041); MeSH:(69417); HMDB:(62549); CHEBI:(58386, 18129, 19660, 76724, 57562, 15913); KEGG:(C03045, C03042); Biocyc:(S-2-HYDROXYSTEARATE, R-2-HYDROXYSTEARATE); Natural Products:(UNPD192500, UNPD156076); NORMAN:(NS00014018); SuperNatural:(SN00278187); COCONUT:(CNP0286833, CNP0394156); PubMed:(null); YMDB Mine:(null); PubChem class - bio and metabolites:(null); EcoCyc Mine:(null); Training Set:(null)
7	null	C17H26O4	0.4043266839078346	CCCCCCCCOC(=O)C(C)OC1=CC=CC(=C1)O	InChI=1S/C17H26O4/c1-3-4-5-6-7-8-12-20-17(19)14(2)21-16-11-9-10-15(18)13-16/h9-11,13-14,18H,3-8,12H2,1-2H3	ISZHERPAARIYJA	-190.60305247542252	5.30000019	PubChem:(90973516)
8	null	C13H25NO3	0.5001120501158532	C(CCCCCC(=O)N)CCCCCC(=O)O	InChI=1S/C13H25NO3/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H2,14,15)(H,16,17)	FHRQTSVMKLZYME	-106.513186982389	3.032094	PubChem:(85711399)
9	null	C17H26O4	0.4258574763234001	C1=CC(=CC(=C1)OCCCCCCCCCCC(=O)O)O	InChI=1S/C17H26O4/c18-15-10-9-11-16(14-15)21-13-8-6-4-2-1-3-5-7-12-17(19)20/h9-11,14,18H,1-8,12-13H2,(H,19,20)	QJZADDZAFOWVCU	-201.88321083924552	4.58750296	PubChem:(68917905)
11	null	C36H56O12	0.5844689582655193	CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2CC(C1=O)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)(C(=O)CCC(C)(C)O)O)O)C)C	InChI=1S/C36H56O12/c1-31(2,45)12-11-23(39)36(8,46)28-19(38)14-33(5)22-10-9-17-18(35(22,7)24(40)15-34(28,33)6)13-20(29(44)32(17,3)4)47-30-27(43)26(42)25(41)21(16-37)48-30/h9,18-22,25-28,30,37-38,41-43,45-46H,10-16H2,1-8H3	NWOBCRRKTPFKMK	-184.30356421091471	0.5	PubChem:(102277616, 139596332); Natural Products:(UNPD172468); SuperNatural:(SN00395923); COCONUT:(CNP0184645)
