source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
148	148	1.00	0.000	source:	target:	1-benzopyrans
1744	1744	1.00	0.000	source:	target:	1-benzopyrans
1760	483	0.44	-0.000	source:66,190,470,1099,5100,8428	target:454,884,1216,7687	1-benzopyrans
1821	1821	1.00	0.000	source:	target:	1-benzopyrans
1956	1377	0.46	-0.000	source:	target:	1-benzopyrans
2147	2147	1.00	0.000	source:	target:	1-benzopyrans
2231	2231	1.00	0.000	source:	target:	1-benzopyrans
2432	686	0.62	0.000	source:37,1070	target:1422,4816	1-benzopyrans
2432	815	0.61	0.000	source:37	target:4816	1-benzopyrans
2483	2483	1.00	0.000	source:	target:	1-benzopyrans
2648	1022	0.41	0.000	source:867	target:1304,1346	1-benzopyrans
2700	2700	1.00	0.000	source:	target:	1-benzopyrans
2752	678	0.46	-15.995	source:1209,6237	target:	1-benzopyrans
283	283	1.00	0.000	source:	target:	1-benzopyrans
2909	2909	1.00	0.000	source:	target:	1-benzopyrans
2938	2938	1.00	0.000	source:	target:	1-benzopyrans
3003	1995	0.63	-0.000	source:231,236,784,913,960,1234	target:	1-benzopyrans
3028	1760	0.41	15.995	source:1216,7687	target:66,190,1222,1228,1422,1425,4816,5100	1-benzopyrans
3028	2432	0.53	0.000	source:1122,1132	target:	1-benzopyrans
3028	686	0.64	0.000	source:37,1122,1132,1216	target:1422,1425,1534,2835,4816,5100	1-benzopyrans
3028	815	0.54	0.000	source:37,1132,1216,7097	target:66,1425,1534,2835,4632,4816	1-benzopyrans
3049	3049	1.00	0.000	source:	target:	1-benzopyrans
3052	678	0.67	-0.000	source:356	target:505	1-benzopyrans
3129	1858	0.42	-43.990	source:418,470,486,785,913,933,1209,1222,1228	target:	1-benzopyrans
3311	3311	1.00	0.000	source:	target:	1-benzopyrans
3378	3378	1.00	0.000	source:	target:	1-benzopyrans
3507	268	0.61	0.000	source:	target:	1-benzopyrans
3542	2752	0.77	-0.000	source:1093,1132	target:	1-benzopyrans
3542	678	0.54	-15.995	source:933,1004,1093,1122,1132,6237	target:460	1-benzopyrans
3573	3573	1.00	0.000	source:	target:	1-benzopyrans
4060	93	0.48	-46.044	source:56,435,473,477,508,510,674,865,1426,2562,4807,5118,7743	target:1212,1221,7639	1-benzopyrans
4165	268	0.70	0.000	source:	target:4968	1-benzopyrans
4165	3507	0.55	0.000	source:	target:	1-benzopyrans
4547	4547	1.00	0.000	source:	target:	1-benzopyrans
4644	3017	0.41	43.990	source:	target:329,933,5089,5111,5196	1-benzopyrans
4752	4752	1.00	0.000	source:	target:	1-benzopyrans
608	93	0.48	-132.042	source:473,477,716,1422,1433,3972,4807,7743	target:1169,7639	1-benzopyrans
674	674	1.00	0.000	source:	target:	1-benzopyrans
678	569	0.42	-1.008	source:	target:356	1-benzopyrans
815	686	0.89	-0.000	source:	target:	1-benzopyrans
89	89	1.00	0.000	source:	target:	1-benzopyrans
995	786	0.77	-0.000	source:	target:	1-benzopyrans
1480	1480	1	0	null	null	1-benzopyrans
923	923	1	0	null	null	1-benzopyrans
930	930	1	0	null	null	1-benzopyrans
4238	4238	1	0	null	null	1-benzopyrans
4241	4241	1	0	null	null	1-benzopyrans
1330	1330	1	0	null	null	1-benzopyrans
3986	3986	1	0	null	null	1-benzopyrans
2679	2679	1	0	null	null	1-benzopyrans
1397	1397	1	0	null	null	1-benzopyrans
3157	3157	1	0	null	null	1-benzopyrans
2809	2809	1	0	null	null	1-benzopyrans
2864	2864	1	0	null	null	1-benzopyrans
1087	1087	1	0	null	null	1-benzopyrans
540	540	1	0	null	null	1-benzopyrans
2579	2579	1	0	null	null	1-benzopyrans
65	65	1	0	null	null	1-benzopyrans
595	595	1	0	null	null	1-benzopyrans
