source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1136	1136	1.00	0.000	source:	target:	6-aminopurines
1210	1210	1.00	0.000	source:	target:	6-aminopurines
1358	1358	1.00	0.000	source:	target:	6-aminopurines
1658	1658	1.00	0.000	source:	target:	6-aminopurines
1705	1705	1.00	0.000	source:	target:	6-aminopurines
1747	1747	1.00	0.000	source:	target:	6-aminopurines
2082	2082	1.00	0.000	source:	target:	6-aminopurines
2155	2155	1.00	0.000	source:	target:	6-aminopurines
2156	2156	1.00	0.000	source:	target:	6-aminopurines
2348	2348	1.00	0.000	source:	target:	6-aminopurines
2361	2361	1.00	0.000	source:	target:	6-aminopurines
2719	2719	1.00	0.000	source:	target:	6-aminopurines
2971	2971	1.00	0.000	source:	target:	6-aminopurines
3165	3165	1.00	0.000	source:	target:	6-aminopurines
326	326	1.00	0.000	source:	target:	6-aminopurines
3279	3279	1.00	0.000	source:	target:	6-aminopurines
3282	3282	1.00	0.000	source:	target:	6-aminopurines
3591	3591	1.00	0.000	source:	target:	6-aminopurines
4376	4376	1.00	0.000	source:	target:	6-aminopurines
4397	4397	1.00	0.000	source:	target:	6-aminopurines
4549	4549	1.00	0.000	source:	target:	6-aminopurines
4755	4755	1.00	0.000	source:	target:	6-aminopurines
652	652	1.00	0.000	source:	target:	6-aminopurines
947	947	1.00	0.000	source:	target:	6-aminopurines
1757	1757	1	0	null	null	6-aminopurines
4334	4334	1	0	null	null	6-aminopurines
2788	2788	1	0	null	null	6-aminopurines
1471	1471	1	0	null	null	6-aminopurines
3286	3286	1	0	null	null	6-aminopurines
4723	4723	1	0	null	null	6-aminopurines
3934	3934	1	0	null	null	6-aminopurines
2669	2669	1	0	null	null	6-aminopurines
409	409	1	0	null	null	6-aminopurines
