source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	415	0.63	30.011	source:359	target:6965	Aldehydes
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Aldehydes
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Aldehydes
115	115	1.00	0.000	source:	target:	Aldehydes
1182	384	0.41	26.016	source:1229,7687	target:59,341,460,1534	Aldehydes
1279	1019	0.45	194.130	source:4833	target:30,55,56,59,359,411,435,460,469,473,476,489,502,510,865,944,948,962,974,1018,1101,1168,1216,1236,1238,1426,1534,2055,2562,2564,2565,3972,4801,4807,4848,5067,5068,5079,5109,5127,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8252	Aldehydes
1279	415	0.56	224.141	source:4833	target:30,55,435,460,469,473,476,489,499,502,510,720,865,944,948,962,971,974,1018,1168,1216,1236,1426,2055,2562,2564,2565,2568,3972,4807,4848,5067,5068,5109,5127,7549,7743,8252	Aldehydes
1279	427	0.41	226.157	source:1902,4833	target:55,56,57,435,457,469,473,476,477,489,490,499,502,508,510,865,1216,1225,1236,1240,1426,1707,2055,2562,3972,4801,4807,5067,5068,5109,5127,5130,6380,6432,6917,6930,6966,7160,7743,7761,8252	Aldehydes
1392	271	0.57	15.995	source:	target:34,415,505,511,1095,1191,3181,6369,6431,6962,7687	Aldehydes
1392	414	0.70	-0.000	source:	target:515,7687	Aldehydes
1392	685	0.51	14.016	source:2835	target:	Aldehydes
1437	384	0.71	0.000	source:	target:	Aldehydes
1469	1182	0.71	0.000	source:341,1125	target:1433,6962	Aldehydes
1550	1078	0.48	30.010	source:	target:	Aldehydes
1610	849	0.43	-314.173	source:30,55,56,57,427,457,460,469,473,476,477,481,489,502,510,515,713,720,865,948,962,971,974,1426,1534,2055,2562,2564,3972,4777,4801,4807,5067,5068,5109,5117,5126,5127,6885,6965,7743,8083,8252,8441,8637	target:1698,6677	Aldehydes
1610	904	0.88	-0.000	source:	target:	Aldehydes
1807	956	0.70	-0.000	source:1229,5014	target:	Aldehydes
1876	1182	0.86	0.000	source:1095,3053	target:55	Aldehydes
1876	1469	0.58	0.000	source:3053,6962	target:55	Aldehydes
1954	415	0.43	30.011	source:33,354,1026	target:1426	Aldehydes
1954	953	0.45	30.011	source:33	target:1426	Aldehydes
1993	1392	0.53	-29.003	source:415,450,511,1103,1425,6962	target:8406	Aldehydes
1993	271	0.45	-13.008	source:	target:34,1095,6369	Aldehydes
1993	414	0.45	-29.003	source:415,450,1103,6962	target:515,8248,8327,8406	Aldehydes
2054	1182	0.73	-0.000	source:333,466,515,971,1209	target:707,1181,1268,1331,1433,6160	Aldehydes
2054	1469	0.62	-0.000	source:333	target:1331,6160,8327	Aldehydes
2054	1876	0.69	-0.000	source:	target:707,1132,1268,1331,6160	Aldehydes
2054	1993	0.44	-1.008	source:333,466,515	target:707	Aldehydes
2191	1392	0.60	-15.995	source:511,515,971,1433,6369,6962,8447	target:	Aldehydes
2191	1993	0.45	13.008	source:515,1433,6369,8447	target:1103	Aldehydes
2191	271	0.73	-0.000	source:1433	target:34,505	Aldehydes
2191	414	0.52	-15.995	source:1433,6369,6962,8447	target:8327	Aldehydes
2261	1019	0.42	-48.021	source:49,1225,1707,5130,6393,6580,6731,6965,7120	target:59,359,411,460,944,1018,1101,2055,4848,6218,6326,6380,6506,6917,6930,6966,7160,7350,7760,7761,7968,8274,8407	Aldehydes
2261	1610	0.49	0.001	source:49	target:460,2055,7350,7760,7968	Aldehydes
2261	362	0.41	-18.010	source:30,1707,5130,6902,7210,8210,8569	target:	Aldehydes
2261	415	0.45	-18.010	source:49,1707,5130,6393,6731	target:460,944,1018,1902,2055,4848,7350,7760,7968,8274	Aldehydes
2261	849	0.42	-314.172	source:30,49,55,56,57,427,457,469,473,476,477,481,489,502,510,713,720,861,865,948,1216,1225,1236,1237,1238,1426,1707,2562,2564,4777,4801,4807,5067,5068,5116,5117,5126,5127,5130,6393,6580,6731,6902,6965,7120,7210,7743,8083,8210,8569	target:443,1698,1902,6677,7968	Aldehydes
2261	904	0.47	0.000	source:49,1238,7210,8210,8569	target:2055,7760	Aldehydes
2261	953	0.41	-18.010	source:49,1707,5130,6731	target:411,460,944,1018,2055,4848,7350,7760,7968,8274	Aldehydes
2304	1182	0.71	-0.000	source:59	target:707,1433	Aldehydes
2304	1392	0.50	-30.011	source:450,511,1103,1191,1284,6160	target:707	Aldehydes
2304	1469	0.60	-0.000	source:	target:	Aldehydes
2304	1876	0.63	-0.000	source:	target:707,1122,1132	Aldehydes
2304	1993	0.41	-1.008	source:59,6160	target:707	Aldehydes
2304	2054	0.70	0.000	source:6160	target:1209	Aldehydes
2304	2191	0.45	-14.016	source:1103,1284,6160	target:1433,6369	Aldehydes
2304	271	0.55	-14.016	source:59,6160	target:34,707,3181,6369,6431	Aldehydes
2304	414	0.43	-30.011	source:450,1103,1191,6160	target:707	Aldehydes
2304	685	0.48	-15.995	source:6160	target:	Aldehydes
2394	1993	0.44	15.995	source:486,8248	target:450,511,1425,6962	Aldehydes
2433	1610	0.51	0.001	source:	target:8441	Aldehydes
2433	1954	0.50	-48.021	source:1426	target:33,354,1195	Aldehydes
2433	2261	0.44	-0.000	source:2055,7760,7968,8274,8407	target:49,6393,6580,6731,7120	Aldehydes
2433	904	0.48	0.000	source:	target:	Aldehydes
2433	953	0.49	-18.010	source:	target:411,6580	Aldehydes
2479	2479	1.00	0.000	source:	target:	Aldehydes
2610	1182	0.87	-0.000	source:1095,1227,1326,3053,3179,3181	target:6171	Aldehydes
2610	1469	0.66	-0.000	source:1242,1305,3053,3179,3181,4968,6333,6962	target:189,341,1153,5014,6171	Aldehydes
2610	1876	0.76	-0.000	source:3181	target:	Aldehydes
2610	2054	0.67	0.000	source:707,1132,1242,1268,1305,1326,1331,3179,4968,6160	target:515,948,971	Aldehydes
2610	2304	0.65	0.000	source:707,1122,1132,1227,1242,1263,1305,1326,3179,3181,4968,6333	target:59	Aldehydes
2610	956	0.41	-15.024	source:414,521,933,1167,1218,1226,1227,1229,1242,1263,1268,1305,1326,1331,3053,3179,3181,4968,6160,6333	target:2,341,515,948,971,1107,1212,1232,6155,6171,6369	Aldehydes
2821	2394	0.52	-0.000	source:59	target:486	Aldehydes
2821	547	0.53	1.008	source:707,894,1191,6878	target:	Aldehydes
2821	685	0.49	1.008	source:6878	target:	Aldehydes
2992	1392	0.41	-13.008	source:1242,4632,4968,6878	target:	Aldehydes
2992	2394	0.52	-0.000	source:59	target:486	Aldehydes
2992	2821	0.86	0.000	source:	target:	Aldehydes
2992	547	0.45	1.008	source:707,894,1242,4968,6281,6878	target:	Aldehydes
2992	685	0.42	1.008	source:1242,4968,6281,6878,8248	target:	Aldehydes
3272	1182	0.94	-0.000	source:	target:	Aldehydes
3272	1469	0.66	-0.000	source:1242,1305	target:5014	Aldehydes
3272	1876	0.77	-0.000	source:	target:	Aldehydes
3272	2054	0.66	0.000	source:707,1132,1181,1242,1268,1305,1331,6160	target:515,948,971,1209	Aldehydes
3272	2304	0.64	0.000	source:707,1122,1132,1242,1305	target:59	Aldehydes
3272	2610	0.78	0.000	source:1153	target:	Aldehydes
3383	1392	0.83	-0.000	source:	target:707,958,2835	Aldehydes
3383	2304	0.44	30.011	source:	target:33,450,511,958,1103,1191,1284,6160	Aldehydes
3383	271	0.50	15.995	source:	target:33,34,415,505,511,707,958,1095,1191,2835,3181,6369,6431,6962,7687	Aldehydes
3383	414	0.52	-0.000	source:	target:707,884,958,7687,8248,8327	Aldehydes
3383	685	0.46	14.016	source:	target:33,884,958	Aldehydes
3415	1392	0.93	0.000	source:	target:	Aldehydes
3415	1469	0.46	30.011	source:	target:55,189,450,505,1021,1103,1151,1153,1191,1218,1229,1331,5014,6160,6171	Aldehydes
3415	1993	0.44	29.003	source:	target:415,450,1103,1425	Aldehydes
3415	2054	0.43	30.011	source:707	target:333,450,466,515,948,971,1063,1191,1209,1425	Aldehydes
3415	2191	0.49	15.995	source:	target:515,948,971,1433,6369,8447	Aldehydes
3415	2304	0.42	30.011	source:707	target:59,450,1103,1191,6160	Aldehydes
3415	2610	0.44	30.011	source:	target:414,450,505,933,1095,1103,1122,1132,1167,1191,1218,1226,1227,1229,1242,1263,1268,1305,1326,1331,3053,3179,3181,4968,6160,6333,7687	Aldehydes
3415	271	0.47	15.995	source:	target:34,415,505,1095,1191,3181,6369,7687	Aldehydes
3415	2821	0.52	13.008	source:	target:59,1191,4632,6878	Aldehydes
3415	2992	0.52	13.008	source:	target:59,1242,4632,4968,6281,6878	Aldehydes
3415	3285	0.42	58.006	source:707	target:59,189,329,333,414,418,450,459,466,470,505,514,713,867,1004,1099,1103,1122,1142,1148,1153,1167,1181,1191,1209,1218,1229,1242,1268,1331,1409,1425,1433,1706,5152,6160,6171,6237,8447	Aldehydes
3415	3383	0.79	0.000	source:707,884,958,2835	target:	Aldehydes
3415	384	0.42	56.026	source:	target:55,59,189,450,460,505,933,1103,1122,1132,1153,1167,1191,1242,1268,1331,1534,4632	Aldehydes
3415	414	0.56	0.000	source:	target:515,948,7687	Aldehydes
3415	547	0.45	14.016	source:707,894,2835	target:	Aldehydes
3415	685	0.43	14.016	source:2835	target:	Aldehydes
3460	3415	0.51	-26.016	source:59,460,1534,4632,4848,7008	target:894,1183	Aldehydes
3604	2304	0.43	-13.979	source:713,1200,1220,1221,1232,6155,6369	target:59,6160	Aldehydes
3604	271	0.44	-27.995	source:333,713,1167,1221	target:3181,6431,7687	Aldehydes
3604	3415	0.47	-43.990	source:333,450,466,505,515,713,948,971,1021,1063,1081,1103,1107,1151,1167,1191,1199,1200,1212,1220,1221,1232,1425,6155,6369	target:	Aldehydes
3657	1392	0.65	-0.000	source:	target:2835	Aldehydes
3657	2304	0.53	30.011	source:707	target:33,1103,1191,1284,6160	Aldehydes
3657	271	0.61	15.995	source:	target:33,34,415,505,1095,1191,2835,3181,6369,6431,6962,7687	Aldehydes
3657	3383	0.79	0.000	source:707	target:	Aldehydes
3657	3415	0.52	-0.000	source:	target:2835	Aldehydes
