source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
108	108	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1136	1136	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1150	1150	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1210	1210	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1286	1286	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1358	1358	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1432	1432	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1624	1624	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1640	1640	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1679	1679	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1705	1705	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1747	1747	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1988	1988	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2082	2082	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2155	2155	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2156	2156	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2348	2348	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2361	2361	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2543	2543	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2580	2580	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2719	2719	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2734	2734	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2801	2801	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
28	28	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
2971	2971	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3165	3165	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
326	326	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3279	3279	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3282	3282	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3	3	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3353	3353	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3591	3591	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3694	3694	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3729	3729	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
3973	3973	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4175	4175	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4376	4376	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4397	4397	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4487	4487	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4549	4549	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
4723	2050	0.46	192.064	source:430,463,467,473,485,491,1109	target:461,707,898,958,992,1077,1098,1112,1123,1146,1216,1217,1228,1236,1237,8469	Aminopyrimidines and derivatives
4755	4755	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
54	54	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
55	55	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
600	600	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
652	652	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
67	67	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
747	747	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
795	795	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
883	883	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
947	947	1.00	0.000	source:	target:	Aminopyrimidines and derivatives
1757	1757	1	0	null	null	Aminopyrimidines and derivatives
4334	4334	1	0	null	null	Aminopyrimidines and derivatives
2750	2750	1	0	null	null	Aminopyrimidines and derivatives
2788	2788	1	0	null	null	Aminopyrimidines and derivatives
1471	1471	1	0	null	null	Aminopyrimidines and derivatives
409	409	1	0	null	null	Aminopyrimidines and derivatives
3286	3286	1	0	null	null	Aminopyrimidines and derivatives
38	38	1	0	null	null	Aminopyrimidines and derivatives
2132	2132	1	0	null	null	Aminopyrimidines and derivatives
3934	3934	1	0	null	null	Aminopyrimidines and derivatives
2669	2669	1	0	null	null	Aminopyrimidines and derivatives
2848	2848	1	0	null	null	Aminopyrimidines and derivatives
4174	4174	1	0	null	null	Aminopyrimidines and derivatives
