source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1048	1048	1.00	0.000	source:	target:	Aralkylamines
1150	1150	1.00	0.000	source:	target:	Aralkylamines
1225	1225	1.00	0.000	source:	target:	Aralkylamines
1640	1640	1.00	0.000	source:	target:	Aralkylamines
1658	1658	1.00	0.000	source:	target:	Aralkylamines
1808	1808	1.00	0.000	source:	target:	Aralkylamines
1905	1905	1.00	0.000	source:	target:	Aralkylamines
2082	2082	1.00	0.000	source:	target:	Aralkylamines
2315	2315	1.00	0.000	source:	target:	Aralkylamines
2543	2543	1.00	0.000	source:	target:	Aralkylamines
2670	2670	1.00	0.000	source:	target:	Aralkylamines
2772	2772	1.00	0.000	source:	target:	Aralkylamines
2801	2801	1.00	0.000	source:	target:	Aralkylamines
28	28	1.00	0.000	source:	target:	Aralkylamines
29	29	1.00	0.000	source:	target:	Aralkylamines
326	326	1.00	0.000	source:	target:	Aralkylamines
3282	3282	1.00	0.000	source:	target:	Aralkylamines
3	3	1.00	0.000	source:	target:	Aralkylamines
3517	3517	1.00	0.000	source:	target:	Aralkylamines
3729	3729	1.00	0.000	source:	target:	Aralkylamines
3794	3794	1.00	0.000	source:	target:	Aralkylamines
3925	3925	1.00	0.000	source:	target:	Aralkylamines
4175	4175	1.00	0.000	source:	target:	Aralkylamines
4376	4376	1.00	0.000	source:	target:	Aralkylamines
4549	4549	1.00	0.000	source:	target:	Aralkylamines
4728	4728	1.00	0.000	source:	target:	Aralkylamines
519	519	1.00	0.000	source:	target:	Aralkylamines
652	652	1.00	0.000	source:	target:	Aralkylamines
67	67	1.00	0.000	source:	target:	Aralkylamines
747	747	1.00	0.000	source:	target:	Aralkylamines
795	795	1.00	0.000	source:	target:	Aralkylamines
91	91	1.00	0.000	source:	target:	Aralkylamines
3286	3286	1	0	null	null	Aralkylamines
1347	1347	1	0	null	null	Aralkylamines
4653	4653	1	0	null	null	Aralkylamines
2050	2050	1	0	null	null	Aralkylamines
