source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1073	526	0.65	0.000	source:1762	target:	Branched fatty acids
1073	636	0.48	0.000	source:1762,1790	target:	Branched fatty acids
1073	683	0.46	18.011	source:1754,1762,1790	target:1167,1409,4816	Branched fatty acids
1145	1145	1.00	0.000	source:	target:	Branched fatty acids
1160	994	0.62	0.000	source:49	target:	Branched fatty acids
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Branched fatty acids
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Branched fatty acids
1307	537	0.44	-14.016	source:452,1410	target:180,435,497,510,1236,1500,2816,4798,7102	Branched fatty acids
1410	1304	0.70	-0.000	source:	target:	Branched fatty acids
1425	1304	0.47	-2.016	source:66,433,450,894,1099,1410,6211,6219	target:968,1107,4736,5062,5105,5109,5114,5116,5117,5138,6103,6350	Branched fatty acids
1425	1398	0.52	-30.047	source:476,894,1410,5067,6211	target:492,968,1710,4736,5062,6103,7102	Branched fatty acids
1425	1410	0.53	-2.016	source:1410	target:968,1107,1422,4736,5062,5105,5109,5138,6103,6350	Branched fatty acids
1568	1158	0.49	0.000	source:	target:	Branched fatty acids
1599	1307	0.52	-0.000	source:	target:	Branched fatty acids
1665	1599	0.43	44.026	source:510,1506	target:37,66,415,452,477,492,1209,1410,4833,5114,5138,5197,6211	Branched fatty acids
1665	994	0.49	2.016	source:49,968,2601,6103	target:30,66,415,473,865,1708,2562,2564,7302	Branched fatty acids
1752	1158	0.47	-0.000	source:	target:	Branched fatty acids
1752	1568	0.77	-0.000	source:	target:	Branched fatty acids
197	136	0.45	-28.031	source:	target:	Branched fatty acids
2106	2106	1.00	0.000	source:	target:	Branched fatty acids
2223	1588	0.82	0.000	source:4833	target:450	Branched fatty acids
2277	2277	1.00	0.000	source:	target:	Branched fatty acids
2292	1307	0.41	-334.215	source:411,489,502,510,713,861,962,974,1207,1236,1331,1426,1534,2564,4801,4848,5068,5127,5129,5130,8427	target:49,6211	Branched fatty acids
2292	2223	0.42	-406.236	source:37,57,59,142,411,450,452,460,466,469,473,476,477,489,502,713,861,865,933,962,968,974,980,1110,1142,1167,1207,1217,1218,1229,1236,1331,1410,1426,1534,2562,2564,2601,3956,4783,4801,4848,5067,5068,5107,5114,5116,5117,5120,5124,5126,5127,5129,5130,5135,5197,6103,8427	target:180,4833	Branched fatty acids
2350	1398	0.49	-0.036	source:510,894,4833,6211	target:142,450,484,968,1167,2601,6103,7102	Branched fatty acids
2350	1599	0.42	58.006	source:510	target:37,57,450,452,477,484,1109,1167,1209,1218,1410,1706,4783,4807,5197	Branched fatty acids
2350	1752	0.41	170.095	source:4833,6211	target:37,56,57,450,452,469,484,508,1109,1167,1410,1706,3956,4783,4807,5117,5120,5127,5135,5197	Branched fatty acids
2350	867	0.66	-0.000	source:	target:484	Branched fatty acids
2356	2356	1.00	0.000	source:	target:	Branched fatty acids
2418	1568	0.43	158.095	source:59	target:415,492,1110,1167,1208,1216,1422,1506,5068,5120,5135	Branched fatty acids
2418	1752	0.44	158.095	source:	target:415,1099,1110,1167,1208,1410,1422,3956,5120,5135	Branched fatty acids
2510	2510	1.00	0.000	source:	target:	Branched fatty acids
2514	2514	1.00	0.000	source:	target:	Branched fatty acids
2632	867	0.43	-156.080	source:452,475,479,489,490,497,508,1167,1229,1766,1778,5107,5120	target:55,180,427,510,894,990,1099,1422,1428,1707,1710,4777,4833,6211,6219,6350,8428,8447	Branched fatty acids
2678	2678	1.00	0.000	source:	target:	Branched fatty acids
2695	1354	0.57	-0.000	source:497,1760,1766,1776,7782	target:1216,1217	Branched fatty acids
2698	2698	1.00	0.000	source:	target:	Branched fatty acids
2730	2141	0.53	32.026	source:	target:37,139,359,497,1191,1760,1766	Branched fatty acids
2754	2695	0.55	-0.000	source:	target:	Branched fatty acids
2915	1598	0.53	54.011	source:435,510	target:2601,4736,4863,5120,5127	Branched fatty acids
2915	2031	0.46	158.059	source:435,477,510	target:359,414,450,475,493,513,867,1099,1109,1167,1191,1207,1217,1410,1425,1534,4736,5105,5107,5116,5120,5124,5126,5127,5130,5135	Branched fatty acids
2930	2425	0.56	0.000	source:	target:37,894,5197,8428	Branched fatty acids
3007	2056	0.48	0.000	source:1534	target:6237	Branched fatty acids
3007	221	0.41	-18.011	source:493,516,1760,1766,1778,1809,4816	target:59	Branched fatty acids
3013	2350	0.62	-0.000	source:8056	target:	Branched fatty acids
3013	2632	0.41	156.080	source:55,66,180,510,894,990,1099,1422,1428,4833,6211,6219,6350,8428,8447	target:37,142,452,475,479,489,490,497,508,968,1167,1229,1766,1778,2601,5107,5116,5120,5197,6103	Branched fatty acids
3013	867	0.94	-0.000	source:	target:	Branched fatty acids
3059	2683	0.45	71.985	source:1758,1912,1956	target:37,55,361,450,521,1095,1167,1191,1229,1409,5004,5107,6237,8264,8454	Branched fatty acids
3103	1073	0.41	-92.048	source:37,57,139,359,414,450,513,867,874,1167,1218,1409,1410,1425,1706,4816,5135,5197,6538	target:1107,1212,1762	Branched fatty acids
3108	3108	1.00	0.000	source:	target:	Branched fatty acids
3121	1599	0.41	27.995	source:510	target:980,4783	Branched fatty acids
3314	1158	0.44	118.064	source:59,460	target:27,57,66,415,489,492,508,867,1099,1191,1218,1229,1410,1422,1425,1428,4777,4807,4844,5067,5105,6103,6237	Branched fatty acids
3314	1598	0.54	0.000	source:513	target:27,142,508,968,2601,6103	Branched fatty acids
3393	3090	0.55	-0.000	source:1754	target:5138	Branched fatty acids
3437	3437	1.00	0.000	source:	target:	Branched fatty acids
3447	2851	0.53	-0.000	source:	target:	Branched fatty acids
3454	2167	0.48	0.000	source:	target:1965	Branched fatty acids
3471	3471	1.00	0.000	source:	target:	Branched fatty acids
3596	3447	0.44	0.000	source:	target:	Branched fatty acids
3598	3596	0.43	0.036	source:1912,4736	target:414,1752	Branched fatty acids
3608	3608	1.00	0.000	source:	target:	Branched fatty acids
3667	3667	1.00	0.000	source:	target:	Branched fatty acids
4178	2915	0.67	-128.048	source:359,451,475,479,489,493,497,1107,1191,1218,1760,1766,1776,1778,1809,1817,1912,1956,2601,4736,4863,5105,5107,5116,5124,6538,8264	target:435,510	Branched fatty acids
