source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
2231	2231	1.00	0.000	source:	target:	Coumarins and derivatives
2432	686	0.62	0.000	source:37,1070	target:1422,4816	Coumarins and derivatives
2432	815	0.61	0.000	source:37	target:4816	Coumarins and derivatives
2483	2483	1.00	0.000	source:	target:	Coumarins and derivatives
2495	2495	1.00	0.000	source:	target:	Coumarins and derivatives
2648	1022	0.41	0.000	source:867	target:1304,1346	Coumarins and derivatives
2700	2700	1.00	0.000	source:	target:	Coumarins and derivatives
2909	2909	1.00	0.000	source:	target:	Coumarins and derivatives
3003	1995	0.63	-0.000	source:231,236,784,913,960,1234	target:	Coumarins and derivatives
3049	3049	1.00	0.000	source:	target:	Coumarins and derivatives
3129	1858	0.42	-43.990	source:418,470,486,785,913,933,1209,1222,1228	target:	Coumarins and derivatives
3311	3311	1.00	0.000	source:	target:	Coumarins and derivatives
3507	268	0.61	0.000	source:	target:	Coumarins and derivatives
3573	3573	1.00	0.000	source:	target:	Coumarins and derivatives
4165	268	0.70	0.000	source:	target:4968	Coumarins and derivatives
4165	3507	0.55	0.000	source:	target:	Coumarins and derivatives
815	686	0.89	-0.000	source:	target:	Coumarins and derivatives
89	89	1.00	0.000	source:	target:	Coumarins and derivatives
995	786	0.77	-0.000	source:	target:	Coumarins and derivatives
4726	4726	1	0	null	null	Coumarins and derivatives
65	65	1	0	null	null	Coumarins and derivatives
3986	3986	1	0	null	null	Coumarins and derivatives
540	540	1	0	null	null	Coumarins and derivatives
569	569	1	0	null	null	Coumarins and derivatives
595	595	1	0	null	null	Coumarins and derivatives
1087	1087	1	0	null	null	Coumarins and derivatives
1760	1760	1	0	null	null	Coumarins and derivatives
3009	3009	1	0	null	null	Coumarins and derivatives
608	608	1	0	null	null	Coumarins and derivatives
1480	1480	1	0	null	null	Coumarins and derivatives
1956	1956	1	0	null	null	Coumarins and derivatives
4060	4060	1	0	null	null	Coumarins and derivatives
