source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Diazines
108	108	1.00	0.000	source:	target:	Diazines
1129	1129	1.00	0.000	source:	target:	Diazines
1136	1136	1.00	0.000	source:	target:	Diazines
1150	1150	1.00	0.000	source:	target:	Diazines
117	117	1.00	0.000	source:	target:	Diazines
1210	1210	1.00	0.000	source:	target:	Diazines
1230	1230	1.00	0.000	source:	target:	Diazines
1242	409	0.41	-72.040	source:117,336,337,720,861,875,895,898,1068,1120,1138,1141,1189,1190,1192,1207,1211,1217,1228,1236,1268,1284,1428,1695,4568,4835,5135,6225,7089,7569,7572,7640,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:235,354,399,430,438,463,467,473,491,887,903,939,966,978,1015,1032,1047,1182,1202,2055	Diazines
1276	1276	1.00	0.000	source:	target:	Diazines
1284	1284	1.00	0.000	source:	target:	Diazines
1286	1286	1.00	0.000	source:	target:	Diazines
1358	1358	1.00	0.000	source:	target:	Diazines
1430	1430	1.00	0.000	source:	target:	Diazines
1432	1432	1.00	0.000	source:	target:	Diazines
1624	1624	1.00	0.000	source:	target:	Diazines
1640	1640	1.00	0.000	source:	target:	Diazines
1658	1658	1.00	0.000	source:	target:	Diazines
1679	1679	1.00	0.000	source:	target:	Diazines
1705	1705	1.00	0.000	source:	target:	Diazines
1747	1747	1.00	0.000	source:	target:	Diazines
1847	1847	1.00	0.000	source:	target:	Diazines
1878	1878	1.00	0.000	source:	target:	Diazines
1879	1879	1.00	0.000	source:	target:	Diazines
1942	1942	1.00	0.000	source:	target:	Diazines
1978	1978	1.00	0.000	source:	target:	Diazines
1988	1988	1.00	0.000	source:	target:	Diazines
2011	2011	1.00	0.000	source:	target:	Diazines
2082	2082	1.00	0.000	source:	target:	Diazines
2143	2143	1.00	0.000	source:	target:	Diazines
2155	2155	1.00	0.000	source:	target:	Diazines
2156	2156	1.00	0.000	source:	target:	Diazines
2347	2347	1.00	0.000	source:	target:	Diazines
2348	2348	1.00	0.000	source:	target:	Diazines
2359	2359	1.00	0.000	source:	target:	Diazines
2361	2361	1.00	0.000	source:	target:	Diazines
2450	2450	1.00	0.000	source:	target:	Diazines
2543	2543	1.00	0.000	source:	target:	Diazines
2580	2580	1.00	0.000	source:	target:	Diazines
2686	2686	1.00	0.000	source:	target:	Diazines
2719	2719	1.00	0.000	source:	target:	Diazines
2734	2734	1.00	0.000	source:	target:	Diazines
2801	2801	1.00	0.000	source:	target:	Diazines
28	28	1.00	0.000	source:	target:	Diazines
2832	2832	1.00	0.000	source:	target:	Diazines
2834	2834	1.00	0.000	source:	target:	Diazines
2850	2850	1.00	0.000	source:	target:	Diazines
2927	2927	1.00	0.000	source:	target:	Diazines
2931	2931	1.00	0.000	source:	target:	Diazines
2971	2971	1.00	0.000	source:	target:	Diazines
3048	3048	1.00	0.000	source:	target:	Diazines
3156	3156	1.00	0.000	source:	target:	Diazines
3165	3165	1.00	0.000	source:	target:	Diazines
326	326	1.00	0.000	source:	target:	Diazines
3279	3279	1.00	0.000	source:	target:	Diazines
3282	3282	1.00	0.000	source:	target:	Diazines
3	3	1.00	0.000	source:	target:	Diazines
332	332	1.00	0.000	source:	target:	Diazines
3353	3353	1.00	0.000	source:	target:	Diazines
3475	3475	1.00	0.000	source:	target:	Diazines
3591	3591	1.00	0.000	source:	target:	Diazines
3694	3694	1.00	0.000	source:	target:	Diazines
3729	3729	1.00	0.000	source:	target:	Diazines
382	382	1.00	0.000	source:	target:	Diazines
3973	3973	1.00	0.000	source:	target:	Diazines
4175	4175	1.00	0.000	source:	target:	Diazines
418	418	1.00	0.000	source:	target:	Diazines
4316	4316	1.00	0.000	source:	target:	Diazines
4376	4376	1.00	0.000	source:	target:	Diazines
4397	4397	1.00	0.000	source:	target:	Diazines
4487	4487	1.00	0.000	source:	target:	Diazines
4549	4549	1.00	0.000	source:	target:	Diazines
4614	4614	1.00	0.000	source:	target:	Diazines
4716	4716	1.00	0.000	source:	target:	Diazines
4723	2050	0.46	192.064	source:430,463,467,473,485,491,1109	target:461,707,898,958,992,1077,1098,1112,1123,1146,1216,1217,1228,1236,1237,8469	Diazines
4755	4755	1.00	0.000	source:	target:	Diazines
4870	4870	1.00	0.000	source:	target:	Diazines
4875	4875	1.00	0.000	source:	target:	Diazines
54	54	1.00	0.000	source:	target:	Diazines
55	55	1.00	0.000	source:	target:	Diazines
600	600	1.00	0.000	source:	target:	Diazines
652	652	1.00	0.000	source:	target:	Diazines
67	67	1.00	0.000	source:	target:	Diazines
742	742	1.00	0.000	source:	target:	Diazines
747	747	1.00	0.000	source:	target:	Diazines
763	763	1.00	0.000	source:	target:	Diazines
795	795	1.00	0.000	source:	target:	Diazines
814	814	1.00	0.000	source:	target:	Diazines
883	883	1.00	0.000	source:	target:	Diazines
947	947	1.00	0.000	source:	target:	Diazines
3646	3646	1	0	null	null	Diazines
2848	2848	1	0	null	null	Diazines
1590	1590	1	0	null	null	Diazines
4174	4174	1	0	null	null	Diazines
132	132	1	0	null	null	Diazines
3348	3348	1	0	null	null	Diazines
677	677	1	0	null	null	Diazines
1757	1757	1	0	null	null	Diazines
4334	4334	1	0	null	null	Diazines
1775	1775	1	0	null	null	Diazines
1796	1796	1	0	null	null	Diazines
2750	2750	1	0	null	null	Diazines
38	38	1	0	null	null	Diazines
894	894	1	0	null	null	Diazines
2788	2788	1	0	null	null	Diazines
1920	1920	1	0	null	null	Diazines
1471	1471	1	0	null	null	Diazines
4513	4513	1	0	null	null	Diazines
3286	3286	1	0	null	null	Diazines
2132	2132	1	0	null	null	Diazines
2137	2137	1	0	null	null	Diazines
3934	3934	1	0	null	null	Diazines
2669	2669	1	0	null	null	Diazines
1884	1884	1	0	null	null	Diazines
