source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1062	321	0.43	-2.016	source:514,3956	target:	Dihydrofurans
1062	395	0.59	15.995	source:514,1133	target:	Dihydrofurans
1062	799	0.47	-2.016	source:514,1706,3956	target:	Dihydrofurans
1193	476	0.50	43.990	source:470,521,1331	target:57,142,484,497,968,980,1212,1222,1236,1238,5067,5068,5105,5116,5117,5124	Dihydrofurans
1193	579	0.52	43.990	source:470,1229,1331,2835	target:49,57,142,354,484,497,968,980,1107,1222,1236,5067,5105,5116,5124,6103	Dihydrofurans
1193	841	0.54	-0.000	source:2835,4844	target:484,980,1107,1232	Dihydrofurans
1360	1062	0.42	46.006	source:	target:66,511,516,1109,1221,1233,1410,1433,1706,2601,3956,4833,5100,5105,5109,5114,5116,5117,5138,5145	Dihydrofurans
1360	321	0.58	43.990	source:	target:1109,1214,1221,1433,2601,4833,5062,5079,5100,5105,5109,5114,5116,5117,5138,5145	Dihydrofurans
1360	395	0.41	62.001	source:	target:31,66,1109,1221,1233,1410,1433,1706,1710,3956,4833,5062,5079,5100,5105,5109,5114,5116,5117,5138,5145	Dihydrofurans
1360	799	0.46	43.990	source:	target:511,1214,5145	Dihydrofurans
1451	1062	0.42	46.006	source:	target:36,49,516,1190,1208,1221,1233,1410,1433,1706,3955,3956,4833,5105,5107,5109,5114,5116,5117,5138	Dihydrofurans
1451	1193	0.41	40.032	source:484,990,4736,4863,6219	target:55,59,414,521,944,974,1101,1103,1147,1168,1208,1331,2835	Dihydrofurans
1451	1360	0.79	0.000	source:	target:	Dihydrofurans
1451	321	0.73	43.990	source:	target:414,1208,1221,1433,4833,5062,5079,5105,5109,5114,5116,5117,5138	Dihydrofurans
1451	395	0.47	62.001	source:	target:31,414,1208,1221,1233,1410,1433,1706,1710,3955,3956,4833,5062,5079,5105,5107,5109,5114,5116,5117,5138	Dihydrofurans
1451	799	0.53	43.990	source:	target:1190,1208	Dihydrofurans
1547	1062	0.48	30.011	source:	target:49,354,1233,1410,1706,3956,5105,5109,5114,5117,5138	Dihydrofurans
1547	1360	0.59	-15.995	source:470,4833	target:	Dihydrofurans
1547	1451	0.45	-15.995	source:1190,4833	target:	Dihydrofurans
1547	395	0.45	46.006	source:470	target:31,1233,1410,1706,1710,3956,5079,5105,5109,5114,5117,5138	Dihydrofurans
1547	799	0.48	27.995	source:470	target:	Dihydrofurans
1903	1193	0.42	-15.995	source:5117,5124,5126	target:	Dihydrofurans
1964	1193	0.42	-41.975	source:33,1153,1268	target:470,5364	Dihydrofurans
1964	1502	0.43	-0.000	source:	target:497,4942	Dihydrofurans
1964	476	0.42	2.016	source:33,1026,1052,1153,1169,1268,1284,1331,6160	target:57,497,968,4768,5067,5068,5105,5109,5116,5117,5364	Dihydrofurans
2168	1360	0.50	-58.006	source:50,59,66,427,511,1109,1221,1410,1433,1706,3956,4081,4768,4818,4833,5062,5079,5100,5105,5109,5114,5116,5117,5138,5145,5198,5214,5367,5379	target:	Dihydrofurans
2168	1451	0.51	-58.006	source:36,50,59,414,427,466,1208,1221,1410,1433,1706,3955,3956,4081,4768,4818,4833,5062,5079,5105,5109,5114,5116,5117,5138,5198,5214,5367,5379	target:	Dihydrofurans
2168	1547	0.47	-42.011	source:50,59,427,1410,1706,3956,4081,4768,4818,5079,5105,5109,5114,5117,5138,5198,5214,5367,5379	target:470	Dihydrofurans
2168	1890	0.67	-0.000	source:	target:	Dihydrofurans
2168	321	0.45	-14.016	source:50,59,427,3956,4081,4768,4818,5198,5214,5367,5379	target:	Dihydrofurans
2708	827	0.51	-0.000	source:	target:861,2835	Dihydrofurans
2708	873	0.54	0.000	source:	target:861	Dihydrofurans
2742	1890	0.52	15.995	source:	target:473,1222,1433	Dihydrofurans
2742	1964	0.47	39.995	source:493,4736,4863,5116,5117,5364	target:33,55,189,861,1153,1169,1195,1268,1284	Dihydrofurans
2742	2168	0.54	15.995	source:1052,1168	target:1433,5198,5214	Dihydrofurans
2841	1062	0.42	-27.995	source:59,427,473,4768,5379	target:2,49,354,514,1133,2601	Dihydrofurans
2841	1360	0.41	-74.001	source:59,66,427,473,511,1109,1207,1410,1433,1706,3956,4768,4833,5062,5100,5105,5114,5116,5117,5120,5124,5135,5138,5145,5379	target:	Dihydrofurans
2841	1451	0.50	-74.001	source:36,59,414,427,473,1207,1208,1410,1433,1706,3955,3956,4768,4833,5062,5105,5107,5114,5116,5117,5120,5124,5135,5138,5379	target:	Dihydrofurans
2841	1890	0.49	-15.995	source:	target:	Dihydrofurans
2841	1964	0.41	8.005	source:36,990,4736,4768,4833,5105,5107,5116,5117,5364,6211	target:33,55,189,944,974,1026,1052,1101,1103,1147,1153,1168,1169,1195,1268,1284,6160	Dihydrofurans
2841	2168	0.45	-15.995	source:	target:	Dihydrofurans
2841	799	0.41	-30.011	source:59,427,473,1706,3956,4768,5135,5379	target:1133,1214	Dihydrofurans
2905	2708	0.50	-0.000	source:	target:1209,1428,1433	Dihydrofurans
2905	873	0.48	0.000	source:484,968,5379,6103	target:861,4807	Dihydrofurans
3030	1062	0.42	2.016	source:	target:514	Dihydrofurans
3030	1547	0.47	-27.995	source:	target:470	Dihydrofurans
3030	321	0.63	0.000	source:	target:	Dihydrofurans
3030	799	0.66	0.000	source:	target:	Dihydrofurans
3144	1193	0.43	-41.974	source:1122,1132,1221,1222,1228,1234	target:521	Dihydrofurans
3144	1964	0.58	0.000	source:1132,5364	target:33,1153,1284	Dihydrofurans
3144	476	0.42	2.016	source:1026,1122,1132,1228,1234,1331,6160	target:57,497,968,4768,4777,5062,5068,5079,5105,5109,5114,5120	Dihydrofurans
3144	579	0.41	2.016	source:433,1018,1026,1122,1132,1221,1228,1229,1331,2835,6160	target:2,49,57,354,497,968,1534,4768,4777,5062,5079,5105,5109,5114,6103	Dihydrofurans
3174	1062	0.51	14.016	source:	target:49,514,516,1133,1221,1233,1433,1706,5100,5105,5109,5116,5117,5138,8447	Dihydrofurans
3174	1360	0.42	-31.990	source:	target:8447	Dihydrofurans
3174	1451	0.41	-31.990	source:36,1190,3955	target:8447	Dihydrofurans
