source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1024	861	0.50	-0.000	source:	target:	Dimethoxybenzenes
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Dimethoxybenzenes
1032	662	0.47	162.053	source:1195	target:487,716,1698	Dimethoxybenzenes
1041	1041	1.00	0.000	source:	target:	Dimethoxybenzenes
1072	838	0.53	46.005	source:	target:6731,7780	Dimethoxybenzenes
1083	1072	0.49	-30.011	source:	target:	Dimethoxybenzenes
1083	662	0.47	27.995	source:1305,1433	target:7290	Dimethoxybenzenes
1083	666	0.48	46.005	source:	target:	Dimethoxybenzenes
1135	323	0.46	-0.000	source:	target:	Dimethoxybenzenes
1135	811	0.41	132.058	source:7569,8083	target:899,1004,1188,1224,4838,5090,7290,8202,8310	Dimethoxybenzenes
1144	1144	1.00	0.000	source:	target:	Dimethoxybenzenes
1165	935	0.49	-162.053	source:481,499,1227	target:427,2835	Dimethoxybenzenes
1244	1244	1.00	0.000	source:	target:	Dimethoxybenzenes
1295	274	0.94	-0.000	source:	target:	Dimethoxybenzenes
1336	1336	1.00	0.000	source:	target:	Dimethoxybenzenes
1346	712	0.44	16.031	source:948,971,1052,1063,1101,1107,1147,1188,1433,4777,4942,5067,8447	target:477,479,1224,1225,5004,5090,5112	Dimethoxybenzenes
1353	1353	1.00	0.000	source:	target:	Dimethoxybenzenes
1404	1083	0.57	162.052	source:56,7290,8295	target:484,487,716,1433,7639	Dimethoxybenzenes
1404	666	0.54	208.058	source:44,423,898,899,910,912,1098,8295,8327	target:484,716,7639	Dimethoxybenzenes
1404	838	0.41	178.047	source:423,898,899,1227,7290,8202	target:716,5062,7639	Dimethoxybenzenes
1449	315	0.47	-326.048	source:27,31,117,335,336,337,354,451,459,499,709,875,1138,1189,1209,1695,4568,4835,4836,5107,5120,5135,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1169,1181,2835,3340	Dimethoxybenzenes
1449	341	0.55	-117.990	source:486	target:8871	Dimethoxybenzenes
1449	398	0.41	-280.043	source:31,34,117,335,336,337,354,451,499,875,1138,1189,1227,1695,4568,4835,4836,6225,6869,7089,7303,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1181,1346,1428,1433,6171,8428	Dimethoxybenzenes
1449	660	0.59	44.063	source:	target:	Dimethoxybenzenes
1483	1072	0.67	-0.000	source:	target:	Dimethoxybenzenes
1483	1083	0.44	30.010	source:7290	target:487,502	Dimethoxybenzenes
1483	1404	0.42	-132.042	source:716,7639	target:4801,6731	Dimethoxybenzenes
1483	302	0.41	-116.047	source:481,499,716,1698,2835,4777,5067,7350,7639,8428	target:475,5109,6333	Dimethoxybenzenes
1483	838	0.48	46.005	source:7290	target:5062,5109,5117,6731,7780	Dimethoxybenzenes
1487	1487	1.00	0.000	source:	target:	Dimethoxybenzenes
1489	323	0.43	-0.000	source:5124	target:486	Dimethoxybenzenes
1494	1165	0.59	0.000	source:	target:	Dimethoxybenzenes
1494	323	0.43	-162.068	source:490,1151	target:1433,6869,7089,7569,8568	Dimethoxybenzenes
1511	716	0.49	176.069	source:1169,5117,6731	target:423,490,499,875,1189,5067,5090,7572,8202,8295,8297,8310	Dimethoxybenzenes
