source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1369	1369	1.00	0.000	source:	target:	Diterpenoids
2379	2195	0.46	-2.016	source:8447	target:	Diterpenoids
2546	2546	1.00	0.000	source:	target:	Diterpenoids
3221	3221	1.00	0.000	source:	target:	Diterpenoids
3462	2195	0.42	-0.000	source:59,460,8447	target:8405	Diterpenoids
3462	2243	0.52	1.979	source:59,460	target:968	Diterpenoids
3462	2379	0.51	2.016	source:59,460	target:	Diterpenoids
3489	3489	1.00	0.000	source:	target:	Diterpenoids
4244	4244	1.00	0.000	source:	target:	Diterpenoids
2408	2408	1	0	null	null	Diterpenoids
3762	3762	1	0	null	null	Diterpenoids
2957	2957	1	0	null	null	Diterpenoids
2105	2105	1	0	null	null	Diterpenoids
3485	3485	1	0	null	null	Diterpenoids
2662	2662	1	0	null	null	Diterpenoids
1816	1816	1	0	null	null	Diterpenoids
4405	4405	1	0	null	null	Diterpenoids
4453	4453	1	0	null	null	Diterpenoids
3140	3140	1	0	null	null	Diterpenoids
3162	3162	1	0	null	null	Diterpenoids
2810	2810	1	0	null	null	Diterpenoids
2362	2362	1	0	null	null	Diterpenoids
3690	3690	1	0	null	null	Diterpenoids
11	11	1	0	null	null	Diterpenoids
3340	3340	1	0	null	null	Diterpenoids
1283	1283	1	0	null	null	Diterpenoids
4312	4312	1	0	null	null	Diterpenoids
1768	1768	1	0	null	null	Diterpenoids
4370	4370	1	0	null	null	Diterpenoids
2230	2230	1	0	null	null	Diterpenoids
