source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
115	115	1.00	0.000	source:	target:	Fatty alcohols
1340	1125	0.51	0.037	source:	target:	Fatty alcohols
1340	606	0.42	27.995	source:	target:974,1817,1912,6393,7356,8251,8355	Fatty alcohols
1367	1125	0.44	2.016	source:	target:	Fatty alcohols
1367	1340	0.65	1.979	source:	target:	Fatty alcohols
1367	606	0.47	29.974	source:	target:974,1734,1817,1912,6393,7356,8355	Fatty alcohols
1667	1667	1.00	0.000	source:	target:	Fatty alcohols
1804	1804	1.00	0.000	source:	target:	Fatty alcohols
2229	1098	0.51	2.016	source:457,515,1192	target:	Fatty alcohols
2454	2454	1.00	0.000	source:	target:	Fatty alcohols
2488	2488	1.00	0.000	source:	target:	Fatty alcohols
2637	2637	1.00	0.000	source:	target:	Fatty alcohols
3040	3040	1.00	0.000	source:	target:	Fatty alcohols
3141	3141	1.00	0.000	source:	target:	Fatty alcohols
3231	1639	0.54	2.016	source:	target:	Fatty alcohols
3231	2236	0.44	29.974	source:466,706,1755,1757,7882	target:	Fatty alcohols
3231	606	0.44	61.964	source:466,1026,1226,1755,1757,7882	target:66,974,1734,1817,1912,6393,7356	Fatty alcohols
3337	3337	1.00	0.000	source:	target:	Fatty alcohols
3486	1639	0.46	-13.979	source:	target:8251,8275	Fatty alcohols
3486	3196	0.47	-0.037	source:	target:1425	Fatty alcohols
3486	3231	0.42	-15.995	source:	target:1757,7882	Fatty alcohols
3722	3722	1.00	0.000	source:	target:	Fatty alcohols
4206	1639	0.47	-45.969	source:415,874,1410	target:1226,1752,1754,4736,8275	Fatty alcohols
4206	3486	0.47	-31.990	source:874,1425	target:1226,1752,1754	Fatty alcohols
4216	4216	1.00	0.000	source:	target:	Fatty alcohols
4234	4234	1.00	0.000	source:	target:	Fatty alcohols
4304	1125	0.41	102.141	source:139,7369,8329	target:1220,1755,1756,6510,7073	Fatty alcohols
4304	1340	0.43	102.104	source:139,7369,7782,8329	target:7073	Fatty alcohols
4333	1340	0.51	3.995	source:	target:	Fatty alcohols
4333	1367	0.56	2.016	source:	target:	Fatty alcohols
4417	4417	1.00	0.000	source:	target:	Fatty alcohols
4437	4437	1.00	0.000	source:	target:	Fatty alcohols
4607	4206	0.41	18.011	source:	target:7755	Fatty alcohols
4607	4333	0.43	0.000	source:	target:	Fatty alcohols
1794	1794	1	0	null	null	Fatty alcohols
3031	3031	1	0	null	null	Fatty alcohols
4373	4373	1	0	null	null	Fatty alcohols
2230	2230	1	0	null	null	Fatty alcohols
1408	1408	1	0	null	null	Fatty alcohols
2741	2741	1	0	null	null	Fatty alcohols
4597	4597	1	0	null	null	Fatty alcohols
1103	1103	1	0	null	null	Fatty alcohols
2443	2443	1	0	null	null	Fatty alcohols
3770	3770	1	0	null	null	Fatty alcohols
2957	2957	1	0	null	null	Fatty alcohols
2998	2998	1	0	null	null	Fatty alcohols
1870	1870	1	0	null	null	Fatty alcohols
3693	3693	1	0	null	null	Fatty alcohols
2375	2375	1	0	null	null	Fatty alcohols
718	718	1	0	null	null	Fatty alcohols
4689	4689	1	0	null	null	Fatty alcohols
2079	2079	1	0	null	null	Fatty alcohols
