source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1062	321	0.43	-2.016	source:514,3956	target:	Furanones
1062	395	0.59	15.995	source:514,1133	target:	Furanones
1062	799	0.47	-2.016	source:514,1706,3956	target:	Furanones
1193	476	0.50	43.990	source:470,521,1331	target:57,142,484,497,968,980,1212,1222,1236,1238,5067,5068,5105,5116,5117,5124	Furanones
1193	579	0.52	43.990	source:470,1229,1331,2835	target:49,57,142,354,484,497,968,980,1107,1222,1236,5067,5105,5116,5124,6103	Furanones
1193	841	0.54	-0.000	source:2835,4844	target:484,980,1107,1232	Furanones
1451	1062	0.42	46.006	source:	target:36,49,516,1190,1208,1221,1233,1410,1433,1706,3955,3956,4833,5105,5107,5109,5114,5116,5117,5138	Furanones
1451	1193	0.41	40.032	source:484,990,4736,4863,6219	target:55,59,414,521,944,974,1101,1103,1147,1168,1208,1331,2835	Furanones
1451	321	0.73	43.990	source:	target:414,1208,1221,1433,4833,5062,5079,5105,5109,5114,5116,5117,5138	Furanones
1451	395	0.47	62.001	source:	target:31,414,1208,1221,1233,1410,1433,1706,1710,3955,3956,4833,5062,5079,5105,5107,5109,5114,5116,5117,5138	Furanones
1451	799	0.53	43.990	source:	target:1190,1208	Furanones
1547	1062	0.48	30.011	source:	target:49,354,1233,1410,1706,3956,5105,5109,5114,5117,5138	Furanones
1547	1451	0.45	-15.995	source:1190,4833	target:	Furanones
1547	395	0.45	46.006	source:470	target:31,1233,1410,1706,1710,3956,5079,5105,5109,5114,5117,5138	Furanones
1547	799	0.48	27.995	source:470	target:	Furanones
1903	1193	0.42	-15.995	source:5117,5124,5126	target:	Furanones
1964	1193	0.42	-41.975	source:33,1153,1268	target:470,5364	Furanones
1964	1502	0.43	-0.000	source:	target:497,4942	Furanones
1964	476	0.42	2.016	source:33,1026,1052,1153,1169,1268,1284,1331,6160	target:57,497,968,4768,5067,5068,5105,5109,5116,5117,5364	Furanones
2168	1451	0.51	-58.006	source:36,50,59,414,427,466,1208,1221,1410,1433,1706,3955,3956,4081,4768,4818,4833,5062,5079,5105,5109,5114,5116,5117,5138,5198,5214,5367,5379	target:	Furanones
2168	1547	0.47	-42.011	source:50,59,427,1410,1706,3956,4081,4768,4818,5079,5105,5109,5114,5117,5138,5198,5214,5367,5379	target:470	Furanones
2168	1890	0.67	-0.000	source:	target:	Furanones
2168	321	0.45	-14.016	source:50,59,427,3956,4081,4768,4818,5198,5214,5367,5379	target:	Furanones
2708	873	0.54	0.000	source:	target:861	Furanones
2742	1890	0.52	15.995	source:	target:473,1222,1433	Furanones
2742	1964	0.47	39.995	source:493,4736,4863,5116,5117,5364	target:33,55,189,861,1153,1169,1195,1268,1284	Furanones
2742	2168	0.54	15.995	source:1052,1168	target:1433,5198,5214	Furanones
2841	1062	0.42	-27.995	source:59,427,473,4768,5379	target:2,49,354,514,1133,2601	Furanones
2841	1451	0.50	-74.001	source:36,59,414,427,473,1207,1208,1410,1433,1706,3955,3956,4768,4833,5062,5105,5107,5114,5116,5117,5120,5124,5135,5138,5379	target:	Furanones
2841	1890	0.49	-15.995	source:	target:	Furanones
2841	1964	0.41	8.005	source:36,990,4736,4768,4833,5105,5107,5116,5117,5364,6211	target:33,55,189,944,974,1026,1052,1101,1103,1147,1153,1168,1169,1195,1268,1284,6160	Furanones
2841	2168	0.45	-15.995	source:	target:	Furanones
2841	799	0.41	-30.011	source:59,427,473,1706,3956,4768,5135,5379	target:1133,1214	Furanones
2905	2708	0.50	-0.000	source:	target:1209,1428,1433	Furanones
2905	873	0.48	0.000	source:484,968,5379,6103	target:861,4807	Furanones
3030	1062	0.42	2.016	source:	target:514	Furanones
3030	1547	0.47	-27.995	source:	target:470	Furanones
3030	321	0.63	0.000	source:	target:	Furanones
3030	799	0.66	0.000	source:	target:	Furanones
3079	1333	0.82	0.000	source:	target:492	Furanones
3144	1193	0.43	-41.974	source:1122,1132,1221,1222,1228,1234	target:521	Furanones
3144	1964	0.58	0.000	source:1132,5364	target:33,1153,1284	Furanones
3144	3073	0.55	15.995	source:457,1132,1222,1234	target:	Furanones
3144	476	0.42	2.016	source:1026,1122,1132,1228,1234,1331,6160	target:57,497,968,4768,4777,5062,5068,5079,5105,5109,5114,5120	Furanones
3144	579	0.41	2.016	source:433,1018,1026,1122,1132,1221,1228,1229,1331,2835,6160	target:2,49,57,354,497,968,1534,4768,4777,5062,5079,5105,5109,5114,6103	Furanones
3174	1062	0.51	14.016	source:	target:49,514,516,1133,1221,1233,1433,1706,5100,5105,5109,5116,5117,5138,8447	Furanones
3174	1451	0.41	-31.990	source:36,1190,3955	target:8447	Furanones
3174	1547	0.50	-15.995	source:	target:8447	Furanones
3174	799	0.42	12.000	source:	target:1133,1214,8447	Furanones
3234	1964	0.42	15.995	source:1102,1132,1192	target:55,5379	Furanones
3234	3144	0.41	15.995	source:1102,1153,1192,1284	target:27,3956,4844,5379	Furanones
3234	476	0.41	18.011	source:909,962,1021,1026,1052,1069,1081,1102,1122,1132,1151,1153,1169,1181,1188,1192,1199,1228,1233,1268,1284,1331,6160	target:27,57,142,427,460,497,968,4768,4777,4848,5048,5062,5067,5068,5079,5100,5105,5109,5114,5116,5117,5120,5124,5135,5138,5145	Furanones
395	321	0.45	-18.011	source:31,3956	target:	Furanones
4379	1451	0.44	-58.006	source:414,427,466,1103,1207,1208,1217,1221,1410,1433,1706,3955,3956,4768,4833,5062,5079,5105,5109,5114,5116,5117,5138	target:	Furanones
4379	1890	0.52	0.000	source:470	target:	Furanones
4379	2168	0.52	0.000	source:470	target:	Furanones
4379	2742	0.49	-15.995	source:470,1433	target:974,1052	Furanones
4726	1502	0.41	15.995	source:898,1132,1192	target:27,497,4942	Furanones
4726	3234	0.66	-0.000	source:	target:	Furanones
579	476	0.77	0.000	source:	target:	Furanones
799	321	0.67	-0.000	source:	target:5079	Furanones
799	395	0.53	18.011	source:1133	target:31,1706,1710,3956,5079	Furanones
841	476	0.42	43.990	source:521,1052	target:329,418,427,497,1222,1236,1238,4768,4777,5067,5068,5105,5114,5116,5120	Furanones
841	579	0.58	43.990	source:1018,1052	target:418,427,497,1142,1222,1236,4768,4777,5067,5105,5114,5116	Furanones
873	476	0.43	29.974	source:4863	target:484,497,968,1191,1222,6237	Furanones
1701	1701	1	0	null	null	Furanones
