source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Heteroaromatic compounds
1048	1048	1.00	0.000	source:	target:	Heteroaromatic compounds
108	108	1.00	0.000	source:	target:	Heteroaromatic compounds
1129	1129	1.00	0.000	source:	target:	Heteroaromatic compounds
1136	1136	1.00	0.000	source:	target:	Heteroaromatic compounds
1150	1150	1.00	0.000	source:	target:	Heteroaromatic compounds
117	117	1.00	0.000	source:	target:	Heteroaromatic compounds
1210	1210	1.00	0.000	source:	target:	Heteroaromatic compounds
1225	1225	1.00	0.000	source:	target:	Heteroaromatic compounds
1230	1230	1.00	0.000	source:	target:	Heteroaromatic compounds
1242	409	0.41	-72.040	source:117,336,337,720,861,875,895,898,1068,1120,1138,1141,1189,1190,1192,1207,1211,1217,1228,1236,1268,1284,1428,1695,4568,4835,5135,6225,7089,7569,7572,7640,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:235,354,399,430,438,463,467,473,491,887,903,939,966,978,1015,1032,1047,1182,1202,2055	Heteroaromatic compounds
1276	1276	1.00	0.000	source:	target:	Heteroaromatic compounds
1286	1286	1.00	0.000	source:	target:	Heteroaromatic compounds
1358	1358	1.00	0.000	source:	target:	Heteroaromatic compounds
1430	1430	1.00	0.000	source:	target:	Heteroaromatic compounds
1432	1432	1.00	0.000	source:	target:	Heteroaromatic compounds
1496	1496	1.00	0.000	source:	target:	Heteroaromatic compounds
1613	834	0.54	43.990	source:	target:341,450,674,909,1026,1109,1142,1148,1167,1218,1221,1222,1234	Heteroaromatic compounds
1624	1624	1.00	0.000	source:	target:	Heteroaromatic compounds
1640	1640	1.00	0.000	source:	target:	Heteroaromatic compounds
1658	1658	1.00	0.000	source:	target:	Heteroaromatic compounds
1679	1679	1.00	0.000	source:	target:	Heteroaromatic compounds
1705	1705	1.00	0.000	source:	target:	Heteroaromatic compounds
1744	1744	1.00	0.000	source:	target:	Heteroaromatic compounds
1747	1747	1.00	0.000	source:	target:	Heteroaromatic compounds
1753	1753	1.00	0.000	source:	target:	Heteroaromatic compounds
1760	1591	0.41	0.000	source:190,236,784,937,960,1228,1229,8428	target:	Heteroaromatic compounds
1808	1808	1.00	0.000	source:	target:	Heteroaromatic compounds
1837	1613	0.46	-43.990	source:140,450,1026,1109,1142,1167,1218,1221,1222,1234	target:49,784	Heteroaromatic compounds
1837	834	0.79	0.000	source:140	target:784,1102,1148,1183	Heteroaromatic compounds
1847	1847	1.00	0.000	source:	target:	Heteroaromatic compounds
185	185	1.00	0.000	source:	target:	Heteroaromatic compounds
1878	1878	1.00	0.000	source:	target:	Heteroaromatic compounds
1879	1879	1.00	0.000	source:	target:	Heteroaromatic compounds
1905	1905	1.00	0.000	source:	target:	Heteroaromatic compounds
1910	1910	1.00	0.000	source:	target:	Heteroaromatic compounds
1920	146	0.41	-33.818	source:300,409,430,463,467,473,491,935,939,6244,6499,6538,6924,7152,7755	target:117,336,337,481,875,1138,1189,1228,1433,4568,4810,5067,5117,5137,5334,7089,8083,8447,8521,8605,8661	Heteroaromatic compounds
1942	1942	1.00	0.000	source:	target:	Heteroaromatic compounds
1978	1978	1.00	0.000	source:	target:	Heteroaromatic compounds
1988	1988	1.00	0.000	source:	target:	Heteroaromatic compounds
2011	2011	1.00	0.000	source:	target:	Heteroaromatic compounds
2050	337	0.41	-172.116	source:426,461,482,508,517,674,784,785,813,868,873,886,893,918,946,970,981,992,1066,1077,1083,1120,1141,1184,1211	target:336,484,1695,4568,6225,8083,8252,8270,8463,8568,8609,8657,8661,8730	Heteroaromatic compounds
2050	93	0.48	-336.166	source:426,461,482,508,517,674,784,813,868,873,886,893,918,946,970,981,992,1066,1077,1083,1120,1141,1184,1211,1422	target:336,484,1109,1169,1183,1212,1221,1695,4568,6225,7350,7639,7760,8083,8252,8270,8463,8568,8609,8657,8661,8730	Heteroaromatic compounds
2080	2080	1.00	0.000	source:	target:	Heteroaromatic compounds
2082	2082	1.00	0.000	source:	target:	Heteroaromatic compounds
2097	2097	1.00	0.000	source:	target:	Heteroaromatic compounds
2143	2143	1.00	0.000	source:	target:	Heteroaromatic compounds
2155	2155	1.00	0.000	source:	target:	Heteroaromatic compounds
2156	2156	1.00	0.000	source:	target:	Heteroaromatic compounds
2214	2214	1.00	0.000	source:	target:	Heteroaromatic compounds
2231	2231	1.00	0.000	source:	target:	Heteroaromatic compounds
2347	2347	1.00	0.000	source:	target:	Heteroaromatic compounds
2348	2348	1.00	0.000	source:	target:	Heteroaromatic compounds
