source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Imidazoles
108	108	1.00	0.000	source:	target:	Imidazoles
1129	1129	1.00	0.000	source:	target:	Imidazoles
1136	1136	1.00	0.000	source:	target:	Imidazoles
1150	1150	1.00	0.000	source:	target:	Imidazoles
117	117	1.00	0.000	source:	target:	Imidazoles
1210	1210	1.00	0.000	source:	target:	Imidazoles
1276	1276	1.00	0.000	source:	target:	Imidazoles
1358	1358	1.00	0.000	source:	target:	Imidazoles
1432	1432	1.00	0.000	source:	target:	Imidazoles
1624	1624	1.00	0.000	source:	target:	Imidazoles
1640	1640	1.00	0.000	source:	target:	Imidazoles
1658	1658	1.00	0.000	source:	target:	Imidazoles
1705	1705	1.00	0.000	source:	target:	Imidazoles
1747	1747	1.00	0.000	source:	target:	Imidazoles
1847	1847	1.00	0.000	source:	target:	Imidazoles
1905	1905	1.00	0.000	source:	target:	Imidazoles
2011	2011	1.00	0.000	source:	target:	Imidazoles
2082	2082	1.00	0.000	source:	target:	Imidazoles
2097	2097	1.00	0.000	source:	target:	Imidazoles
2143	2143	1.00	0.000	source:	target:	Imidazoles
2155	2155	1.00	0.000	source:	target:	Imidazoles
2156	2156	1.00	0.000	source:	target:	Imidazoles
2347	2347	1.00	0.000	source:	target:	Imidazoles
2348	2348	1.00	0.000	source:	target:	Imidazoles
2359	2359	1.00	0.000	source:	target:	Imidazoles
2361	2361	1.00	0.000	source:	target:	Imidazoles
2450	2450	1.00	0.000	source:	target:	Imidazoles
2580	2580	1.00	0.000	source:	target:	Imidazoles
2719	2719	1.00	0.000	source:	target:	Imidazoles
2734	2734	1.00	0.000	source:	target:	Imidazoles
2772	2772	1.00	0.000	source:	target:	Imidazoles
2971	2971	1.00	0.000	source:	target:	Imidazoles
3165	3165	1.00	0.000	source:	target:	Imidazoles
326	326	1.00	0.000	source:	target:	Imidazoles
3279	3279	1.00	0.000	source:	target:	Imidazoles
3282	3282	1.00	0.000	source:	target:	Imidazoles
3	3	1.00	0.000	source:	target:	Imidazoles
3353	3353	1.00	0.000	source:	target:	Imidazoles
3591	3591	1.00	0.000	source:	target:	Imidazoles
3694	3694	1.00	0.000	source:	target:	Imidazoles
382	382	1.00	0.000	source:	target:	Imidazoles
3925	3925	1.00	0.000	source:	target:	Imidazoles
3973	3973	1.00	0.000	source:	target:	Imidazoles
418	418	1.00	0.000	source:	target:	Imidazoles
4376	4376	1.00	0.000	source:	target:	Imidazoles
4397	4397	1.00	0.000	source:	target:	Imidazoles
4549	4549	1.00	0.000	source:	target:	Imidazoles
4716	4716	1.00	0.000	source:	target:	Imidazoles
4755	4755	1.00	0.000	source:	target:	Imidazoles
4795	4795	1.00	0.000	source:	target:	Imidazoles
52	52	1.00	0.000	source:	target:	Imidazoles
55	55	1.00	0.000	source:	target:	Imidazoles
600	600	1.00	0.000	source:	target:	Imidazoles
742	742	1.00	0.000	source:	target:	Imidazoles
795	795	1.00	0.000	source:	target:	Imidazoles
883	883	1.00	0.000	source:	target:	Imidazoles
947	947	1.00	0.000	source:	target:	Imidazoles
132	132	1	0	null	null	Imidazoles
1757	1757	1	0	null	null	Imidazoles
4334	4334	1	0	null	null	Imidazoles
1796	1796	1	0	null	null	Imidazoles
2788	2788	1	0	null	null	Imidazoles
1471	1471	1	0	null	null	Imidazoles
3286	3286	1	0	null	null	Imidazoles
4723	4723	1	0	null	null	Imidazoles
3934	3934	1	0	null	null	Imidazoles
2669	2669	1	0	null	null	Imidazoles
1399	1399	1	0	null	null	Imidazoles
3631	3631	1	0	null	null	Imidazoles
3646	3646	1	0	null	null	Imidazoles
409	409	1	0	null	null	Imidazoles
1590	1590	1	0	null	null	Imidazoles
