source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Lactams
108	108	1.00	0.000	source:	target:	Lactams
1129	1129	1.00	0.000	source:	target:	Lactams
117	117	1.00	0.000	source:	target:	Lactams
1210	1210	1.00	0.000	source:	target:	Lactams
1230	1230	1.00	0.000	source:	target:	Lactams
1276	1276	1.00	0.000	source:	target:	Lactams
1284	1284	1.00	0.000	source:	target:	Lactams
1286	1286	1.00	0.000	source:	target:	Lactams
1430	1430	1.00	0.000	source:	target:	Lactams
1496	1496	1.00	0.000	source:	target:	Lactams
16	16	1.00	0.000	source:	target:	Lactams
1640	1640	1.00	0.000	source:	target:	Lactams
1658	1658	1.00	0.000	source:	target:	Lactams
1679	1679	1.00	0.000	source:	target:	Lactams
1705	1705	1.00	0.000	source:	target:	Lactams
1753	1753	1.00	0.000	source:	target:	Lactams
1847	1847	1.00	0.000	source:	target:	Lactams
1878	1878	1.00	0.000	source:	target:	Lactams
1879	1879	1.00	0.000	source:	target:	Lactams
1910	1910	1.00	0.000	source:	target:	Lactams
1942	1942	1.00	0.000	source:	target:	Lactams
1978	1978	1.00	0.000	source:	target:	Lactams
2011	2011	1.00	0.000	source:	target:	Lactams
2097	2097	1.00	0.000	source:	target:	Lactams
2143	2143	1.00	0.000	source:	target:	Lactams
2155	2155	1.00	0.000	source:	target:	Lactams
2348	2348	1.00	0.000	source:	target:	Lactams
2359	2359	1.00	0.000	source:	target:	Lactams
2450	2450	1.00	0.000	source:	target:	Lactams
2535	2535	1.00	0.000	source:	target:	Lactams
2548	2548	1.00	0.000	source:	target:	Lactams
2670	2670	1.00	0.000	source:	target:	Lactams
2801	2801	1.00	0.000	source:	target:	Lactams
2832	2832	1.00	0.000	source:	target:	Lactams
2834	2834	1.00	0.000	source:	target:	Lactams
2850	2850	1.00	0.000	source:	target:	Lactams
2927	2927	1.00	0.000	source:	target:	Lactams
29	29	1.00	0.000	source:	target:	Lactams
3048	3048	1.00	0.000	source:	target:	Lactams
3156	3156	1.00	0.000	source:	target:	Lactams
3282	3282	1.00	0.000	source:	target:	Lactams
3	3	1.00	0.000	source:	target:	Lactams
332	332	1.00	0.000	source:	target:	Lactams
3353	3353	1.00	0.000	source:	target:	Lactams
34	34	1.00	0.000	source:	target:	Lactams
3475	3475	1.00	0.000	source:	target:	Lactams
3517	3517	1.00	0.000	source:	target:	Lactams
382	382	1.00	0.000	source:	target:	Lactams
3925	3925	1.00	0.000	source:	target:	Lactams
3973	3973	1.00	0.000	source:	target:	Lactams
4409	4409	1.00	0.000	source:	target:	Lactams
4716	4716	1.00	0.000	source:	target:	Lactams
4870	4870	1.00	0.000	source:	target:	Lactams
54	54	1.00	0.000	source:	target:	Lactams
652	652	1.00	0.000	source:	target:	Lactams
747	747	1.00	0.000	source:	target:	Lactams
763	763	1.00	0.000	source:	target:	Lactams
78	78	1.00	0.000	source:	target:	Lactams
795	795	1.00	0.000	source:	target:	Lactams
814	814	1.00	0.000	source:	target:	Lactams
99	99	1.00	0.000	source:	target:	Lactams
1796	1796	1	0	null	null	Lactams
1406	1406	1	0	null	null	Lactams
3286	3286	1	0	null	null	Lactams
677	677	1	0	null	null	Lactams
3430	3430	1	0	null	null	Lactams
2137	2137	1	0	null	null	Lactams
3474	3474	1	0	null	null	Lactams
3934	3934	1	0	null	null	Lactams
3936	3936	1	0	null	null	Lactams
894	894	1	0	null	null	Lactams
1590	1590	1	0	null	null	Lactams
3348	3348	1	0	null	null	Lactams
1242	1242	1	0	null	null	Lactams
1775	1775	1	0	null	null	Lactams
