source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1017	1017	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1024	861	0.50	-0.000	source:	target:	Lignans, neolignans and related compounds
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Lignans, neolignans and related compounds
1032	662	0.47	162.053	source:1195	target:487,716,1698	Lignans, neolignans and related compounds
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Lignans, neolignans and related compounds
1041	1041	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Lignans, neolignans and related compounds
1072	707	0.42	-180.064	source:716,1433,8447	target:4801	Lignans, neolignans and related compounds
1072	714	0.44	-162.053	source:443,716,895,7640	target:899	Lignans, neolignans and related compounds
1072	838	0.53	46.005	source:	target:6731,7780	Lignans, neolignans and related compounds
1083	1072	0.49	-30.011	source:	target:	Lignans, neolignans and related compounds
1083	247	0.43	-2.016	source:502,674,1109,1268,1305,1433,1698,6962,7639	target:34,49,56,734,6674,8311	Lignans, neolignans and related compounds
1083	449	0.41	-48.022	source:487,502,1109,1268,1433,1698	target:56,734,3053,4168,4999,5088,6318,7290,7380,7969,8311	Lignans, neolignans and related compounds
1083	662	0.47	27.995	source:1305,1433	target:7290	Lignans, neolignans and related compounds
1083	666	0.48	46.005	source:	target:	Lignans, neolignans and related compounds
1083	714	0.45	-192.064	source:443,484,502,716,895,1190,1698,7640	target:56,1169,2562,4768	Lignans, neolignans and related compounds
1135	323	0.46	-0.000	source:	target:	Lignans, neolignans and related compounds
1135	811	0.41	132.058	source:7569,8083	target:899,1004,1188,1224,4838,5090,7290,8202,8310	Lignans, neolignans and related compounds
1144	1144	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1165	935	0.49	-162.053	source:481,499,1227	target:427,2835	Lignans, neolignans and related compounds
1169	315	0.41	2.016	source:27,333,354,451,466,1224,1283,1304,1346,5004,5107,5364,5931,8259	target:70,894,1142,1181,1268,1331,2835,3181,3340,4928	Lignans, neolignans and related compounds
1177	255	0.55	0.036	source:189,944,974,1109,1422,4777,5067,5079,5109,6731,7812	target:1190,1226,5088,6642,8202,8311	Lignans, neolignans and related compounds
1177	838	0.48	0.036	source:49,7812	target:510,1698,8428	Lignans, neolignans and related compounds
1186	1186	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1189	1189	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1197	247	0.45	-1.982	source:5109	target:423,1902,7572,7968	Lignans, neolignans and related compounds
1197	449	0.43	-47.988	source:354,1368,4800,5109,5116,5117,6162,8333,8540	target:423,443,486,785,1102,1148,1183,1902,4168,5088,5089,5090,5111,6318,7290,7380,7572,7743,7968,7969,8252,8297,8341	Lignans, neolignans and related compounds
1219	1169	0.48	-0.000	source:	target:1109	Lignans, neolignans and related compounds
1244	1244	1.00	0.000	source:	target:	Lignans, neolignans and related compounds
1295	274	0.94	-0.000	source:	target:	Lignans, neolignans and related compounds
1347	1072	0.41	133.006	source:813,899,4801	target:716,7350	Lignans, neolignans and related compounds
1347	1083	0.42	163.016	source:813,1188	target:502,716,1268,7350	Lignans, neolignans and related compounds
1347	243	0.57	114.994	source:189,813,1103,1428,4801,4807,5117,6962,8428	target:681,716,1148,1227,1263,1352,3341,3972,4168,4967,4999,5088,6318,6972,7637,7932,7969	Lignans, neolignans and related compounds
1347	244	0.54	-47.058	source:813,1103,1109,1428,2835,4807,8428	target:34,1227,1367,3053,3179,4168,4999,6333,7969,8311	Lignans, neolignans and related compounds
1347	247	0.52	161.000	source:44,674,813,898,899,912,1098,1109,1146,2835,4807,6962	target:34,49,716,734,6580,6674,8311	Lignans, neolignans and related compounds
1347	286	0.52	-1.053	source:813	target:672,1227,1367,1388,8540	Lignans, neolignans and related compounds
1347	317	0.61	-47.058	source:189,813,1428,4807,8428	target:910,1227,1263,1352,4168,4999,6318,7350	Lignans, neolignans and related compounds
1347	449	0.59	114.995	source:189,813,1109,1428,2835,4807,5117,8428	target:716,734,1148,3053,4168,4999,5088,6318,7969,8311	Lignans, neolignans and related compounds
