source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1364	781	0.96	-0.000	source:	target:	Medium-chain hydroxy acids and derivatives
213	209	0.54	0.000	source:	target:1760,8211	Medium-chain hydroxy acids and derivatives
2247	2202	0.43	-0.000	source:1095,1770	target:66,513	Medium-chain hydroxy acids and derivatives
2277	2277	1.00	0.000	source:	target:	Medium-chain hydroxy acids and derivatives
2452	1434	0.61	-0.000	source:	target:	Medium-chain hydroxy acids and derivatives
2678	2678	1.00	0.000	source:	target:	Medium-chain hydroxy acids and derivatives
2754	2695	0.55	-0.000	source:	target:	Medium-chain hydroxy acids and derivatives
2999	209	0.41	0.037	source:433,476,867,1095,1191,1284,4816,4844,5014,6237	target:490,1760,1766,5133,8001,8211	Medium-chain hydroxy acids and derivatives
2999	213	0.43	0.036	source:433,513,867,1095,1191,1284,1790,2601,4816,4844,5014,6237	target:489,490	Medium-chain hydroxy acids and derivatives
3227	610	0.46	2.016	source:1101,1147	target:867,1776,1778,4816,4844,6237	Medium-chain hydroxy acids and derivatives
3393	209	0.41	2.016	source:	target:1760,1766,1778,8001,8211	Medium-chain hydroxy acids and derivatives
3393	213	0.54	2.016	source:513	target:5138	Medium-chain hydroxy acids and derivatives
3393	2999	0.41	1.979	source:	target:433,1095,1191,1284,4844,5014,6237	Medium-chain hydroxy acids and derivatives
361	236	0.49	30.011	source:	target:1207,1217,1220,4835,5124	Medium-chain hydroxy acids and derivatives
3665	3214	0.49	-2.016	source:4783	target:	Medium-chain hydroxy acids and derivatives
3791	361	0.42	-206.043	source:36,48,110,117,329,333,335,336,337,418,459,466,487,488,706,709,875,895,933,1138,1189,1190,1207,1217,1220,1228,1695,3955,3956,4568,4835,5124,5423,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:465,1523,6772,6877,8071	Medium-chain hydroxy acids and derivatives
3791	802	0.47	-162.053	source:48,110,117,333,335,336,337,466,470,487,488,514,706,709,875,895,1138,1189,1190,1228,1695,1902,4568,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Medium-chain hydroxy acids and derivatives
3791	810	0.49	0.037	source:142,5105	target:	Medium-chain hydroxy acids and derivatives
4100	236	0.45	-192.064	source:36,48,57,110,117,329,333,335,336,337,418,427,459,466,487,510,706,709,875,895,933,1138,1189,1190,1228,1695,1698,1710,2835,3955,3956,4568,4768,4777,4807,5067,5423,6225,6869,7089,7303,7350,7413,7639,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:6772,7921,8071,8388	Medium-chain hydroxy acids and derivatives
410	236	0.88	2.016	source:36,329,418,933,1190,3955,3956,5423	target:1523,6772,6877,7921,8071,8388	Medium-chain hydroxy acids and derivatives
4112	236	0.55	-0.000	source:	target:	Medium-chain hydroxy acids and derivatives
4112	361	0.45	-30.011	source:1207,1217,1220,4835,5124	target:	Medium-chain hydroxy acids and derivatives
4112	410	0.49	-2.016	source:1523,6772,6877,7921,8071,8388	target:36,142,329,418,484,968,980,1190,3955,5423,6103	Medium-chain hydroxy acids and derivatives
4112	769	0.47	14.016	source:	target:36,3955	Medium-chain hydroxy acids and derivatives
4112	802	0.49	13.979	source:443,470,514,1523,1902,6772,8071,8388	target:142,484,968,980,6103,6229	Medium-chain hydroxy acids and derivatives
4112	810	0.48	176.069	source:1523,6772,7921,8071,8388	target:36,110,117,329,335,336,337,418,459,484,487,706,709,713,875,895,1138,1189,1190,1228,1695,3955,4568,5423,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	Medium-chain hydroxy acids and derivatives
4131	209	0.51	0.037	source:451,476,493,867,1191,1425,1762,1770,4816,4844,6237	target:521,5133,8211	Medium-chain hydroxy acids and derivatives
4131	213	0.41	0.036	source:513,867,1191,1425,1762,1770,1790,1817,2601,4816,4844,6237,7356	target:521	Medium-chain hydroxy acids and derivatives
4131	2999	0.72	0.000	source:1817,7356	target:5014	Medium-chain hydroxy acids and derivatives
4131	3393	0.41	-1.979	source:451,493,1191,1425,1778,1817,4844,5138,6237,7356	target:521	Medium-chain hydroxy acids and derivatives
4336	2018	0.51	0.000	source:	target:	Medium-chain hydroxy acids and derivatives
4510	1593	0.47	-43.990	source:	target:1195	Medium-chain hydroxy acids and derivatives
4556	610	0.64	-0.000	source:	target:493,5116	Medium-chain hydroxy acids and derivatives
4626	3682	0.53	-0.000	source:1109	target:7073	Medium-chain hydroxy acids and derivatives
4626	610	0.48	-0.036	source:	target:2,1212,1232,2601,4816,4844	Medium-chain hydroxy acids and derivatives
4626	781	0.43	-28.031	source:477	target:5133	Medium-chain hydroxy acids and derivatives
4829	769	0.42	-0.000	source:	target:	Medium-chain hydroxy acids and derivatives
620	610	0.43	1.979	source:1534,1756	target:493,867,874,1212,1232,4816,4844,5126,6237	Medium-chain hydroxy acids and derivatives
684	410	0.45	-164.069	source:110,117,333,336,337,451,466,487,499,706,713,875,895,1138,1189,1523,1695,1698,4568,6225,6677,6869,7089,7303,7572,7640,7760,7968,8071,8083,8270,8463,8521,8568,8605,8609,8657,8661,8730	target:2,142,968,980,1063,2601,4736,5062,6103	Medium-chain hydroxy acids and derivatives
769	236	0.51	-14.016	source:36,933,3955,3956	target:	Medium-chain hydroxy acids and derivatives
769	410	0.50	-16.031	source:8056	target:2,142,329,484,968,980,2601,4736,4863,6103	Medium-chain hydroxy acids and derivatives
781	610	0.43	27.995	source:	target:4844,6237	Medium-chain hydroxy acids and derivatives
802	236	0.43	-13.979	source:6229	target:443,470,514,1523,1902,6772,8071,8388	Medium-chain hydroxy acids and derivatives
802	361	0.43	-43.990	source:1207,1217,1220,4835,5124	target:443,465,470,514,1523,1902,6772,8071	Medium-chain hydroxy acids and derivatives
802	410	0.42	-15.995	source:180,8056	target:470,488,514,1190	Medium-chain hydroxy acids and derivatives
802	769	0.56	0.036	source:2,49,142,180,354,484,968,980,2601,4736,4863,6103,6229	target:470,514,1902	Medium-chain hydroxy acids and derivatives
810	236	0.51	-176.069	source:36,48,110,117,329,335,336,337,418,459,487,706,709,713,875,895,933,1138,1189,1190,1228,1695,3955,3956,4568,5423,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1523,6772,7921,8071,8388	Medium-chain hydroxy acids and derivatives
810	361	0.46	-206.080	source:36,48,110,117,329,335,336,337,418,459,487,488,706,709,713,875,895,933,1138,1189,1190,1207,1217,1228,1695,3955,3956,4568,4835,5423,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:2,180,354,465,1523,4736,4863,5105,6772,8071	Medium-chain hydroxy acids and derivatives
810	410	0.44	-178.085	source:110,117,336,337,451,487,706,713,875,895,1138,1189,1695,4568,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8730	target:2,142,968,980,2601,4736,4863,5105,6103	Medium-chain hydroxy acids and derivatives
810	594	0.43	-148.074	source:110,117,329,335,336,337,418,451,470,487,706,713,875,895,1138,1189,1190,1695,1902,4568,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:142,180,968,980,2835,5105,6103,6962	Medium-chain hydroxy acids and derivatives
810	684	0.44	-14.016	source:	target:499,1523,6677,7640,8071,8083	Medium-chain hydroxy acids and derivatives
810	769	0.44	-162.053	source:110,117,329,335,336,337,484,706,713,875,895,1138,1189,1695,4568,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Medium-chain hydroxy acids and derivatives
810	802	0.42	-162.090	source:48,110,117,335,336,337,451,470,487,488,514,706,709,713,875,895,1138,1189,1190,1228,1695,1902,4568,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:2,142,180,354,968,980,2601,4736,4863,5105,6103,6229	Medium-chain hydroxy acids and derivatives
839	209	0.55	0.000	source:	target:521,1109	Medium-chain hydroxy acids and derivatives
839	213	0.47	-0.000	source:492,2601	target:521	Medium-chain hydroxy acids and derivatives
2803	2803	1	0	null	null	Medium-chain hydroxy acids and derivatives
2374	2374	1	0	null	null	Medium-chain hydroxy acids and derivatives
2872	2872	1	0	null	null	Medium-chain hydroxy acids and derivatives
4166	4166	1	0	null	null	Medium-chain hydroxy acids and derivatives
4628	4628	1	0	null	null	Medium-chain hydroxy acids and derivatives
3801	3801	1	0	null	null	Medium-chain hydroxy acids and derivatives
2031	2031	1	0	null	null	Medium-chain hydroxy acids and derivatives
3396	3396	1	0	null	null	Medium-chain hydroxy acids and derivatives
4342	4342	1	0	null	null	Medium-chain hydroxy acids and derivatives
2206	2206	1	0	null	null	Medium-chain hydroxy acids and derivatives
2270	2270	1	0	null	null	Medium-chain hydroxy acids and derivatives
2796	2796	1	0	null	null	Medium-chain hydroxy acids and derivatives
1110	1110	1	0	null	null	Medium-chain hydroxy acids and derivatives
683	683	1	0	null	null	Medium-chain hydroxy acids and derivatives
2193	2193	1	0	null	null	Medium-chain hydroxy acids and derivatives
307	307	1	0	null	null	Medium-chain hydroxy acids and derivatives
3103	3103	1	0	null	null	Medium-chain hydroxy acids and derivatives
378	378	1	0	null	null	Medium-chain hydroxy acids and derivatives
