source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1744	1744	1.00	0.000	source:	target:	Pyranones and derivatives
2205	2205	1.00	0.000	source:	target:	Pyranones and derivatives
2231	2231	1.00	0.000	source:	target:	Pyranones and derivatives
2432	686	0.62	0.000	source:37,1070	target:1422,4816	Pyranones and derivatives
2432	815	0.61	0.000	source:37	target:4816	Pyranones and derivatives
2483	2483	1.00	0.000	source:	target:	Pyranones and derivatives
2495	2495	1.00	0.000	source:	target:	Pyranones and derivatives
2648	1022	0.41	0.000	source:867	target:1304,1346	Pyranones and derivatives
2674	2674	1.00	0.000	source:	target:	Pyranones and derivatives
2700	2700	1.00	0.000	source:	target:	Pyranones and derivatives
2782	2071	0.46	-0.000	source:4797,7283	target:	Pyranones and derivatives
2909	2909	1.00	0.000	source:	target:	Pyranones and derivatives
2938	2938	1.00	0.000	source:	target:	Pyranones and derivatives
2988	2988	1.00	0.000	source:	target:	Pyranones and derivatives
3002	3002	1.00	0.000	source:	target:	Pyranones and derivatives
3003	1995	0.63	-0.000	source:231,236,784,913,960,1234	target:	Pyranones and derivatives
3028	1760	0.41	15.995	source:1216,7687	target:66,190,1222,1228,1422,1425,4816,5100	Pyranones and derivatives
3028	2432	0.53	0.000	source:1122,1132	target:	Pyranones and derivatives
3028	686	0.64	0.000	source:37,1122,1132,1216	target:1422,1425,1534,2835,4816,5100	Pyranones and derivatives
3028	815	0.54	0.000	source:37,1132,1216,7097	target:66,1425,1534,2835,4632,4816	Pyranones and derivatives
3049	3049	1.00	0.000	source:	target:	Pyranones and derivatives
3068	3068	1.00	0.000	source:	target:	Pyranones and derivatives
3311	3311	1.00	0.000	source:	target:	Pyranones and derivatives
3507	268	0.61	0.000	source:	target:	Pyranones and derivatives
3573	3573	1.00	0.000	source:	target:	Pyranones and derivatives
4060	93	0.48	-46.044	source:56,435,473,477,508,510,674,865,1426,2562,4807,5118,7743	target:1212,1221,7639	Pyranones and derivatives
4165	268	0.70	0.000	source:	target:4968	Pyranones and derivatives
4165	3507	0.55	0.000	source:	target:	Pyranones and derivatives
4547	4547	1.00	0.000	source:	target:	Pyranones and derivatives
4679	4679	1.00	0.000	source:	target:	Pyranones and derivatives
608	93	0.48	-132.042	source:473,477,716,1422,1433,3972,4807,7743	target:1169,7639	Pyranones and derivatives
815	686	0.89	-0.000	source:	target:	Pyranones and derivatives
857	857	1.00	0.000	source:	target:	Pyranones and derivatives
89	89	1.00	0.000	source:	target:	Pyranones and derivatives
3986	3986	1	0	null	null	Pyranones and derivatives
1330	1330	1	0	null	null	Pyranones and derivatives
1837	1837	1	0	null	null	Pyranones and derivatives
3129	3129	1	0	null	null	Pyranones and derivatives
2809	2809	1	0	null	null	Pyranones and derivatives
2849	2849	1	0	null	null	Pyranones and derivatives
848	848	1	0	null	null	Pyranones and derivatives
2864	2864	1	0	null	null	Pyranones and derivatives
65	65	1	0	null	null	Pyranones and derivatives
3376	3376	1	0	null	null	Pyranones and derivatives
540	540	1	0	null	null	Pyranones and derivatives
569	569	1	0	null	null	Pyranones and derivatives
2579	2579	1	0	null	null	Pyranones and derivatives
595	595	1	0	null	null	Pyranones and derivatives
3009	3009	1	0	null	null	Pyranones and derivatives
4344	4344	1	0	null	null	Pyranones and derivatives
3079	3079	1	0	null	null	Pyranones and derivatives
2763	2763	1	0	null	null	Pyranones and derivatives
786	786	1	0	null	null	Pyranones and derivatives
1480	1480	1	0	null	null	Pyranones and derivatives
1956	1956	1	0	null	null	Pyranones and derivatives
1966	1966	1	0	null	null	Pyranones and derivatives
3229	3229	1	0	null	null	Pyranones and derivatives
2905	2905	1	0	null	null	Pyranones and derivatives
