source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	415	0.63	30.011	source:359	target:6965	Sesquiterpenoids
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Sesquiterpenoids
1019	469	0.63	46.006	source:359,6506,6917,6966	target:49,5062	Sesquiterpenoids
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Sesquiterpenoids
1180	415	0.43	-4.031	source:333,466,490,5130	target:460,944,948,962,971,974,1018,4848	Sesquiterpenoids
1180	469	0.42	11.963	source:490	target:49,59,460,515,948,971,1063,1534,4848,8441	Sesquiterpenoids
1180	904	0.45	13.979	source:333,1433	target:1534	Sesquiterpenoids
1180	953	0.43	-4.031	source:490,508,5130	target:411,460,515,944,948,962,971,974,1018,4848,6902,7210,7459,7930,8210	Sesquiterpenoids
1262	415	0.48	-20.026	source:5130,6731,6962	target:460,944,948,962,971,1018,1168,2568,4848,7549	Sesquiterpenoids
1262	427	0.51	-18.010	source:	target:	Sesquiterpenoids
1274	415	0.48	52.031	source:466	target:30,460,944,948,962,971,974,1018,1168,2564,2568,3972,4848,6350,7549,7743,8274	Sesquiterpenoids
1610	380	0.43	18.010	source:515,948,971,6965	target:6160	Sesquiterpenoids
1610	469	0.51	-2.016	source:	target:49,5062	Sesquiterpenoids
1610	904	0.88	-0.000	source:	target:	Sesquiterpenoids
1647	1647	1.00	0.000	source:	target:	Sesquiterpenoids
1827	1827	1.00	0.000	source:	target:	Sesquiterpenoids
1954	415	0.43	30.011	source:33,354,1026	target:1426	Sesquiterpenoids
1954	953	0.45	30.011	source:33	target:1426	Sesquiterpenoids
1973	1973	1.00	0.000	source:	target:	Sesquiterpenoids
2091	2075	0.49	0.000	source:6162	target:475,479	Sesquiterpenoids
2261	1019	0.42	-48.021	source:49,1225,1707,5130,6393,6580,6731,6965,7120	target:59,359,411,460,944,1018,1101,2055,4848,6218,6326,6380,6506,6917,6930,6966,7160,7350,7760,7761,7968,8274,8407	Sesquiterpenoids
2261	1180	0.41	-13.979	source:49,948,6393,6902,7210,8210,8569	target:333,490,1902,2055,7760,8274	Sesquiterpenoids
2261	1262	0.41	2.016	source:49,948,6393	target:7760,8274	Sesquiterpenoids
2261	1610	0.49	0.001	source:49	target:460,2055,7350,7760,7968	Sesquiterpenoids
2261	362	0.41	-18.010	source:30,1707,5130,6902,7210,8210,8569	target:	Sesquiterpenoids
2261	415	0.45	-18.010	source:49,1707,5130,6393,6731	target:460,944,1018,1902,2055,4848,7350,7760,7968,8274	Sesquiterpenoids
2261	469	0.45	-2.016	source:6731,7210	target:59,460,2055,4848,7760	Sesquiterpenoids
2261	904	0.47	0.000	source:49,1238,7210,8210,8569	target:2055,7760	Sesquiterpenoids
2261	953	0.41	-18.010	source:49,1707,5130,6731	target:411,460,944,1018,2055,4848,7350,7760,7968,8274	Sesquiterpenoids
2433	1610	0.51	0.001	source:	target:8441	Sesquiterpenoids
2433	1954	0.50	-48.021	source:1426	target:33,354,1195	Sesquiterpenoids
2433	2261	0.44	-0.000	source:2055,7760,7968,8274,8407	target:49,6393,6580,6731,7120	Sesquiterpenoids
2433	904	0.48	0.000	source:	target:	Sesquiterpenoids
2433	953	0.49	-18.010	source:	target:411,6580	Sesquiterpenoids
2467	2467	1.00	0.000	source:	target:	Sesquiterpenoids
2510	2510	1.00	0.000	source:	target:	Sesquiterpenoids
2553	2166	0.53	0.000	source:	target:1762,1770	Sesquiterpenoids
3056	415	0.47	-4.031	source:1026,1226,1707,5130	target:460,944,948,962,971,974,1018,1168,2568,3972,4848,7549	Sesquiterpenoids
3143	3143	1.00	0.000	source:	target:	Sesquiterpenoids
3667	3667	1.00	0.000	source:	target:	Sesquiterpenoids
