source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1048	1048	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
1174	731	0.45	-14.016	source:	target:	Tetracarboxylic acids and derivatives
1257	1257	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
1367	1125	0.44	2.016	source:	target:	Tetracarboxylic acids and derivatives
1367	606	0.47	29.974	source:	target:974,1734,1817,1912,6393,7356,8355	Tetracarboxylic acids and derivatives
1436	1103	0.62	15.995	source:	target:1428	Tetracarboxylic acids and derivatives
2384	599	0.49	-0.000	source:	target:	Tetracarboxylic acids and derivatives
2430	2430	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
2454	2454	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
3755	2384	0.49	0.000	source:139,521,6160,7569	target:117,336,1189,5090,6888,8295,8568,8661	Tetracarboxylic acids and derivatives
4247	4247	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
4253	4253	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
4437	4437	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
4727	4727	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
4801	4801	1.00	0.000	source:	target:	Tetracarboxylic acids and derivatives
4835	1367	0.44	112.088	source:7303	target:476,1216,5133,6510	Tetracarboxylic acids and derivatives
4835	606	0.42	142.062	source:70,139	target:476,974,1912,6393,7356,8355	Tetracarboxylic acids and derivatives
3605	3605	1	0	null	null	Tetracarboxylic acids and derivatives
3654	3654	1	0	null	null	Tetracarboxylic acids and derivatives
2885	2885	1	0	null	null	Tetracarboxylic acids and derivatives
509	509	1	0	null	null	Tetracarboxylic acids and derivatives
3031	3031	1	0	null	null	Tetracarboxylic acids and derivatives
2236	2236	1	0	null	null	Tetracarboxylic acids and derivatives
2916	2916	1	0	null	null	Tetracarboxylic acids and derivatives
4206	4206	1	0	null	null	Tetracarboxylic acids and derivatives
4232	4232	1	0	null	null	Tetracarboxylic acids and derivatives
4260	4260	1	0	null	null	Tetracarboxylic acids and derivatives
616	616	1	0	null	null	Tetracarboxylic acids and derivatives
