source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1029	1029	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1048	1048	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1234	390	0.46	-30.011	source:5063,8264	target:	Tricarboxylic acids and derivatives
1257	1257	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1340	1125	0.51	0.037	source:	target:	Tricarboxylic acids and derivatives
1340	390	0.44	-158.093	source:713,720	target:	Tricarboxylic acids and derivatives
1340	606	0.42	27.995	source:	target:974,1817,1912,6393,7356,8251,8355	Tricarboxylic acids and derivatives
1340	724	0.45	-86.073	source:713,7073	target:	Tricarboxylic acids and derivatives
1367	1125	0.44	2.016	source:	target:	Tricarboxylic acids and derivatives
1367	1340	0.65	1.979	source:	target:	Tricarboxylic acids and derivatives
1367	390	0.42	-156.115	source:720	target:	Tricarboxylic acids and derivatives
1367	606	0.47	29.974	source:	target:974,1734,1817,1912,6393,7356,8355	Tricarboxylic acids and derivatives
1411	1125	0.44	102.104	source:139,1044,1534	target:713,1755	Tricarboxylic acids and derivatives
1411	877	0.45	15.995	source:	target:	Tricarboxylic acids and derivatives
1436	1103	0.62	15.995	source:	target:1428	Tricarboxylic acids and derivatives
1495	1006	0.57	-0.000	source:354,1222,5379,5930,6074,7302	target:1099,1410,6962	Tricarboxylic acids and derivatives
1495	655	0.44	248.176	source:30,414,865,990,1222,1433,2816,4803,4833,5423,5930,6069,6071,6074,6211,6219,7302	target:139,359,713,1099,1207,1216,1217,1410,4801,5120,5124,5126,5127,5129,5130,5133,5135,6538	Tricarboxylic acids and derivatives
1512	1340	0.45	116.083	source:139	target:5133	Tricarboxylic acids and derivatives
1512	390	0.42	-42.011	source:70,720	target:	Tricarboxylic acids and derivatives
1512	606	0.41	144.078	source:70,139	target:1912,6393,7356,8355	Tricarboxylic acids and derivatives
1578	1411	0.41	14.015	source:8403	target:	Tricarboxylic acids and derivatives
1578	1512	0.74	0.000	source:	target:	Tricarboxylic acids and derivatives
1578	390	0.41	-42.011	source:70,1229,8403	target:	Tricarboxylic acids and derivatives
1647	1647	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1736	416	0.48	-21.982	source:57,418,423,459,727,1225,1240,5089,5111,5112,6221,6888,8230,8254,8259,8295,8297,8327,8381	target:30,59,139,180,341,427,460,865,990,1534,1541,1708,2562,2565,2816,4558,4768,4797,4848,4882,5001,5068,5124,5126,5127,5129,5379,5423,6165,6211,6218,6219,6281,6393,6565,6595,6875,6916,7021,7105,7737,8434,8607,8648,8723	Tricarboxylic acids and derivatives
1763	1340	0.42	146.094	source:139,4736,7782	target:66,720	Tricarboxylic acids and derivatives
1763	390	0.45	-12.000	source:713,4736,7782	target:1422	Tricarboxylic acids and derivatives
1808	1808	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1824	1006	0.63	0.000	source:968	target:454	Tricarboxylic acids and derivatives
1824	1495	0.52	0.000	source:31,488,1099,1410	target:1222,1236,4798,4803,5930,6069,6071,6074,7302	Tricarboxylic acids and derivatives
1870	1512	0.50	27.995	source:	target:720,7303	Tricarboxylic acids and derivatives
1870	1578	0.48	27.995	source:	target:8403	Tricarboxylic acids and derivatives
1870	1763	0.41	-2.016	source:8056	target:	Tricarboxylic acids and derivatives
1870	390	0.45	-14.016	source:1229	target:	Tricarboxylic acids and derivatives
1937	1937	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
1982	1982	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
20	20	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
202	202	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2182	1512	0.41	27.995	source:1756	target:	Tricarboxylic acids and derivatives
2182	1870	0.54	0.000	source:	target:8056	Tricarboxylic acids and derivatives
2182	390	0.44	-14.016	source:4736	target:1422	Tricarboxylic acids and derivatives
2236	390	0.42	-154.099	source:	target:	Tricarboxylic acids and derivatives
2237	1323	0.46	-0.000	source:	target:	Tricarboxylic acids and derivatives
2307	2307	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2308	2308	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2384	599	0.49	-0.000	source:	target:	Tricarboxylic acids and derivatives
2430	2430	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2454	2454	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2521	2521	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2546	2546	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2574	2574	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2703	2703	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2756	2756	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2808	2808	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2830	2830	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
283	283	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
2935	2916	0.42	0.000	source:8280,8349	target:1232	Tricarboxylic acids and derivatives
298	293	0.48	-0.000	source:	target:	Tricarboxylic acids and derivatives
3005	1734	0.42	44.026	source:	target:336,7089,8568,8684	Tricarboxylic acids and derivatives
3005	2689	0.43	85.998	source:30,59,460,487,865,1534,2565,4848,8447	target:1240,5111	Tricarboxylic acids and derivatives
3005	416	0.41	-2.016	source:57,329,418,459,470,514,709	target:884,3061,3179,6281,6393,6565,6595,6633,6875,7021,7105,7153,7707,7737,7959,8434,8723	Tricarboxylic acids and derivatives
3031	1871	0.47	-14.015	source:	target:	Tricarboxylic acids and derivatives
3046	2983	0.41	-62.016	source:486,785,958,1133,1242,7933,8254	target:6962	Tricarboxylic acids and derivatives
3196	2182	0.41	-126.067	source:1232	target:139	Tricarboxylic acids and derivatives
3196	390	0.43	-140.083	source:720	target:	Tricarboxylic acids and derivatives
3486	1874	0.43	-112.088	source:499,1026,1226,1754	target:139,1425	Tricarboxylic acids and derivatives
3486	2182	0.43	-126.103	source:1026,1212,1226,1232	target:139	Tricarboxylic acids and derivatives
3486	3196	0.47	-0.037	source:	target:1425	Tricarboxylic acids and derivatives
3486	390	0.43	-140.119	source:1224,1226	target:874,1422,1425	Tricarboxylic acids and derivatives
3722	3722	1.00	0.000	source:	target:	Tricarboxylic acids and derivatives
3737	1006	0.58	-0.000	source:6074	target:	Tricarboxylic acids and derivatives
3737	1477	0.46	-15.995	source:865,6074,6962	target:497,4818,5124	Tricarboxylic acids and derivatives
3737	1495	0.55	-0.000	source:1099,1410,6962	target:2816,4798,4803,5379,5423,6069,6071	Tricarboxylic acids and derivatives
3737	1824	0.44	-0.000	source:6074	target:31,459,488,5423	Tricarboxylic acids and derivatives
