source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1014	1014	1.00	0.000	source:	target:	Triterpenoids
1143	1143	1.00	0.000	source:	target:	Triterpenoids
1196	869	0.46	0.000	source:	target:	Triterpenoids
1222	1222	1.00	0.000	source:	target:	Triterpenoids
1267	1267	1.00	0.000	source:	target:	Triterpenoids
1485	1485	1.00	0.000	source:	target:	Triterpenoids
1982	1982	1.00	0.000	source:	target:	Triterpenoids
2123	2123	1.00	0.000	source:	target:	Triterpenoids
2456	2456	1.00	0.000	source:	target:	Triterpenoids
2514	2514	1.00	0.000	source:	target:	Triterpenoids
2672	1725	0.45	0.000	source:	target:	Triterpenoids
2674	2674	1.00	0.000	source:	target:	Triterpenoids
2779	1196	0.77	-0.000	source:7178,7925,8834	target:1109,5196,5364	Triterpenoids
2961	2961	1.00	0.000	source:	target:	Triterpenoids
3021	3021	1.00	0.000	source:	target:	Triterpenoids
3178	3178	1.00	0.000	source:	target:	Triterpenoids
3262	3262	1.00	0.000	source:	target:	Triterpenoids
3618	3618	1.00	0.000	source:	target:	Triterpenoids
3648	3648	1.00	0.000	source:	target:	Triterpenoids
383	383	1.00	0.000	source:	target:	Triterpenoids
3891	3891	1.00	0.000	source:	target:	Triterpenoids
4251	4251	1.00	0.000	source:	target:	Triterpenoids
4284	4284	1.00	0.000	source:	target:	Triterpenoids
4497	4497	1.00	0.000	source:	target:	Triterpenoids
4593	4593	1.00	0.000	source:	target:	Triterpenoids
4627	4627	1.00	0.000	source:	target:	Triterpenoids
4640	4640	1.00	0.000	source:	target:	Triterpenoids
4735	2578	0.43	-2.015	source:	target:721,734,1325,1346,4796,8427	Triterpenoids
4763	4763	1.00	0.000	source:	target:	Triterpenoids
4800	2672	0.42	-0.036	source:	target:451,497,734,2568,4744,4798,4800,4801,4802,4803,5065,6294,6565,7498,7549,8383,8397,8427,8698,8797	Triterpenoids
4837	4836	0.42	2.016	source:	target:	Triterpenoids
4849	4849	1.00	0.000	source:	target:	Triterpenoids
4385	4385	1	0	null	null	Triterpenoids
4386	4386	1	0	null	null	Triterpenoids
2468	2468	1	0	null	null	Triterpenoids
1659	1659	1	0	null	null	Triterpenoids
2998	2998	1	0	null	null	Triterpenoids
4248	4248	1	0	null	null	Triterpenoids
4272	4272	1	0	null	null	Triterpenoids
4778	4778	1	0	null	null	Triterpenoids
3138	3138	1	0	null	null	Triterpenoids
1575	1575	1	0	null	null	Triterpenoids
11	11	1	0	null	null	Triterpenoids
2007	2007	1	0	null	null	Triterpenoids
