source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1502	1227	0.47	-0.000	source:497,4942,6160	target:1132,1190,2835,3955,8491	Vinylogous acids
1538	880	0.50	1.979	source:	target:894,1331	Vinylogous acids
1723	753	0.68	0.000	source:884,1226,1236,1305,3181,6431	target:	Vinylogous acids
1937	1937	1.00	0.000	source:	target:	Vinylogous acids
222	222	1.00	0.000	source:	target:	Vinylogous acids
2814	1227	0.42	43.990	source:55,3181,4968,6160	target:329,1142,1190,4816,5197,6237	Vinylogous acids
2814	1502	0.44	43.990	source:44,707,884,898,899,912,1070,1098,1112,1123,1146,1192,1305,2835,3181,4968,8469,8491	target:27,329,497,980,1142,1221,1222,1225,4942	Vinylogous acids
2901	2204	0.42	0.000	source:7569	target:2,27	Vinylogous acids
3002	3002	1.00	0.000	source:	target:	Vinylogous acids
3030	799	0.66	0.000	source:	target:	Vinylogous acids
3174	799	0.42	12.000	source:	target:1133,1214,8447	Vinylogous acids
3604	3102	0.64	0.000	source:1221	target:1268,5014,7687,8428	Vinylogous acids
3641	3102	0.54	0.000	source:	target:329,333,466,1218,1268,1331,5014,7687,8310,8341	Vinylogous acids
3641	3604	0.66	0.000	source:	target:333,466,1221	Vinylogous acids
3979	3979	1.00	0.000	source:	target:	Vinylogous acids
4461	4461	1.00	0.000	source:	target:	Vinylogous acids
4501	1500	0.57	1.008	source:433,933,1122,1191,8447	target:1242,1268,6160	Vinylogous acids
4547	4547	1.00	0.000	source:	target:	Vinylogous acids
4793	4793	1.00	0.000	source:	target:	Vinylogous acids
4798	4798	1.00	0.000	source:	target:	Vinylogous acids
4866	680	0.48	45.990	source:59,427,475,5067	target:117,336,875,2601,6419,7089,8521,8568,8605,8661,8684,8730	Vinylogous acids
799	395	0.53	18.011	source:1133	target:31,1706,1710,3956,5079	Vinylogous acids
880	858	0.78	-0.000	source:	target:	Vinylogous acids
898	898	1	0	null	null	Vinylogous acids
3253	3253	1	0	null	null	Vinylogous acids
3763	3763	1	0	null	null	Vinylogous acids
2941	2941	1	0	null	null	Vinylogous acids
1688	1688	1	0	null	null	Vinylogous acids
3442	3442	1	0	null	null	Vinylogous acids
1807	1807	1	0	null	null	Vinylogous acids
3670	3670	1	0	null	null	Vinylogous acids
468	468	1	0	null	null	Vinylogous acids
935	935	1	0	null	null	Vinylogous acids
2864	2864	1	0	null	null	Vinylogous acids
1560	1560	1	0	null	null	Vinylogous acids
4165	4165	1	0	null	null	Vinylogous acids
1255	1255	1	0	null	null	Vinylogous acids
4858	4858	1	0	null	null	Vinylogous acids
2710	2710	1	0	null	null	Vinylogous acids
2263	2263	1	0	null	null	Vinylogous acids
808	808	1	0	null	null	Vinylogous acids
