source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	290	0.42	-194.093	source:30,59,359,411,460,481,489,502,944,948,1018,1101,1216,1238,1534,2055,2562,2564,3972,4801,4848,5079,5109,5126,5127,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8274,8407	target:443,1698,1710,6677,7572,7639,7640	Alkyl glycosides
1019	314	0.45	-76.031	source:30,59,411,460,502,865,944,962,974,1018,1101,1168,1216,1236,1238,1331,1426,1534,2055,2562,2564,2565,3972,4801,4848,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7760,7761,8274,8407	target:5062	Alkyl glycosides
1019	415	0.63	30.011	source:359	target:6965	Alkyl glycosides
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Alkyl glycosides
1019	469	0.63	46.006	source:359,6506,6917,6966	target:49,5062	Alkyl glycosides
1019	622	0.41	-222.125	source:30,56,59,359,411,427,435,473,481,489,502,865,944,948,962,1018,1101,1168,1216,1236,1238,1426,1534,2055,2562,2564,2565,3972,4801,4807,5068,5126,5127,6218,6326,6350,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8274,8407	target:443,1698,6677,7572,7639,7640	Alkyl glycosides
1019	623	0.60	-208.109	source:30,56,59,359,411,427,435,460,469,473,476,481,489,502,713,865,944,948,962,974,1018,1101,1109,1216,1236,1238,1534,2055,2562,2564,3972,4768,4801,4848,5068,5079,5109,5117,5126,5127,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8274,8407	target:443,1698,6677,7572,7639,7640	Alkyl glycosides
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Alkyl glycosides
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Alkyl glycosides
1032	953	0.56	-47.963	source:33,70,189,423,505,508,707,714,727,909,1004,1069,1112,1192,1852,4968,5089,5111,5112,5118,6221,7290,8248,8254,8297,8341,8491	target:411,435,460,487,515,865,948,971,2562,2564,2565,2568,3972,4768,4848,5068,5127,6350,6902,7210,7459,7549,7930,8210,8274	Alkyl glycosides
1050	290	0.43	28.031	source:5109	target:510,1426,1710,6350	Alkyl glycosides
1050	415	0.48	252.136	source:333,466,1698,8056	target:30,427,435,460,469,473,476,489,502,510,720,865,944,962,974,1018,1168,1216,1236,1426,2055,2562,2564,2565,2568,3972,4848,5068,6350,6965,7549,7743,8274	Alkyl glycosides
1050	622	0.65	-0.000	source:	target:	Alkyl glycosides
