source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1015	240	0.63	2.016	source:418,457	target:180,1159,1310,1708,4083,4558,5001,5124,5903,6165,6211,6595,6696,7021,7105,7153,7707,7737,7959,8248,8607,8648,8723	Alpha hydroxy acids and derivatives
1015	257	0.53	2.016	source:418,457,516,1284,5112	target:50,59,139,180,1310,1331,1433,1534,1541,1708,2835,4081,4083,4558,4818,4848,5001,5379,6165,6211,6432,6595,6696,7021,7105,7153,7707,7737,7959,8248,8316,8412,8447,8607,8648,8723	Alpha hydroxy acids and derivatives
1015	293	0.42	164.047	source:418,1220,5112	target:55,59,139,341,357,476,486,721,1169,1242,1331,1428,1433,1480,1534,1541,4083,4418,4558,4818,4848,5001,5124,5379,5903,6165,6211,6218,6219,6281,6595,6696,6875,6916,7008,7021,7044,7105,7153,7480,7659,7707,7737,7959,8206,8248,8303,8316,8406,8412,8447,8448,8607,8648,8723	Alpha hydroxy acids and derivatives
1015	316	0.41	2.016	source:457,5112	target:50,59,139,180,1310,1331,1428,1433,1534,1708,2835,4081,4083,4818,4848,5001,5124,5379,5903,6165,6211,6219,6696,6916,7105,7153,7707,7959,8248,8316,8434,8447,8607,8648,8723	Alpha hydroxy acids and derivatives
1015	416	0.42	164.047	source:418,1212,1220,5112	target:30,55,59,139,180,341,486,721,1169,1242,1305,1331,1433,1534,1541,1708,2565,2816,2835,4083,4558,4848,5001,5124,5379,6160,6165,6211,6218,6219,6281,6393,6595,6696,6875,6916,7021,7105,7153,7707,7737,7959,8248,8316,8406,8434,8447,8607,8648,8723	Alpha hydroxy acids and derivatives
1015	846	0.44	2.016	source:189,418,457,508,516,1212,1284,5112	target:50,59,139,180,487,1169,1310,1331,1433,1480,1534,1541,1708,2816,2835,4081,4083,4558,4818,4848,5001,5124,5136,5139,5146,5214,5367,5379,5903,6165,6211,6219,6238,6432,6595,6696,6875,6916,7006,7021,7044,7105,7153,7659,7707,7737,7959,8206,8248,8316,8406,8412,8434,8447,8448,8607,8648,8723	Alpha hydroxy acids and derivatives
1058	1015	0.41	-164.068	source:55,117,335,336,337,459,470,476,521,709,875,1138,1189,1190,1422,1695,4568,4835,4836,4848,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:1107,1212,1220,1284,3061,5112	Alpha hydroxy acids and derivatives
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Alpha hydroxy acids and derivatives
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	Alpha hydroxy acids and derivatives
1160	994	0.62	0.000	source:49	target:	Alpha hydroxy acids and derivatives
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Alpha hydroxy acids and derivatives
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Alpha hydroxy acids and derivatives
1315	272	0.46	-54.047	source:37,55,56,521,1208,1218,1433,4768,4777,5105,5114,5116,5117,5120,5124,5126,5135,5138,5197	target:180,1523,6877	Alpha hydroxy acids and derivatives
1361	235	0.45	0.000	source:2816	target:5126,8607	Alpha hydroxy acids and derivatives
1361	237	0.66	-0.036	source:31,36,48,457,488,521,933,1706,1708,3956,5107,5197	target:2,142,354,968,1214,1222,1710,2601,4736,4863,6069,6071,6074,6103,6229	Alpha hydroxy acids and derivatives
1412	1068	0.44	-0.000	source:3061,5198,6633,7021,7707	target:180,484,990,1004,1107,1212,1226,1237,6219,8433	Alpha hydroxy acids and derivatives
1426	1015	0.42	15.995	source:1169,1331,1433,1708,2835,6211,6962,8248,8447	target:457,508,1220,5112,6431	Alpha hydroxy acids and derivatives
1426	1058	0.41	180.064	source:1169,6211	target:49,117,335,336,337,476,484,875,1138,1189,1190,1422,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	Alpha hydroxy acids and derivatives
1426	240	0.46	18.011	source:1103,1433,2835,6962,8447	target:49,180,465,508,1159,2601,4083,4558,5903,6431,6565,6595,7737,8723	Alpha hydroxy acids and derivatives
1426	293	0.46	180.042	source:6962	target:49,341,357,476,721,1480,1541,4083,4418,4558,4818,5379,5903,6218,6219,6281,6565,6595,6875,7008,7044,7480,7659,7737,8206,8303,8412,8448,8723	Alpha hydroxy acids and derivatives
1426	316	0.64	18.011	source:	target:50,180,4081,4083,4818,5379,5903,6219,6565,8434,8723	Alpha hydroxy acids and derivatives
1426	416	0.62	180.042	source:	target:30,180,341,721,1237,1238,1541,2565,2816,4083,4558,5379,6160,6218,6219,6281,6393,6565,6595,6875,7737,8434,8723	Alpha hydroxy acids and derivatives
1426	846	0.51	18.011	source:	target:50,180,487,1480,1541,2816,4081,4083,4558,4818,5136,5139,5146,5214,5367,5379,5903,6219,6238,6565,6595,6875,7006,7044,7659,7737,8206,8412,8434,8448,8723	Alpha hydroxy acids and derivatives
1442	1442	1.00	0.000	source:	target:	Alpha hydroxy acids and derivatives
1462	1015	0.44	-164.068	source:31,59,139,336,337,459,470,476,487,709,875,1169,1242,1331,1433,1534,1708,2835,4835,4836,4848,6160,6981,7021,7089,7303,7413,7569,7707,7755,7959,8083,8248,8447,8568,8605,8609,8657,8684	target:333,466,1107,1212,1220,1226,5112,6431	Alpha hydroxy acids and derivatives
1462	1058	0.72	0.000	source:139,1169,7569,7755	target:333,466	Alpha hydroxy acids and derivatives
