source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
148	148	1.00	0.000	source:	target:	Benzopyrans
1744	1744	1.00	0.000	source:	target:	Benzopyrans
1760	483	0.44	-0.000	source:66,190,470,1099,5100,8428	target:454,884,1216,7687	Benzopyrans
1966	483	0.50	-0.000	source:8280	target:236,460,8536	Benzopyrans
2147	2147	1.00	0.000	source:	target:	Benzopyrans
2231	2231	1.00	0.000	source:	target:	Benzopyrans
2432	686	0.62	0.000	source:37,1070	target:1422,4816	Benzopyrans
2432	815	0.61	0.000	source:37	target:4816	Benzopyrans
2483	2483	1.00	0.000	source:	target:	Benzopyrans
2700	2700	1.00	0.000	source:	target:	Benzopyrans
283	283	1.00	0.000	source:	target:	Benzopyrans
2909	2909	1.00	0.000	source:	target:	Benzopyrans
2938	2938	1.00	0.000	source:	target:	Benzopyrans
3003	1995	0.63	-0.000	source:231,236,784,913,960,1234	target:	Benzopyrans
3028	1760	0.41	15.995	source:1216,7687	target:66,190,1222,1228,1422,1425,4816,5100	Benzopyrans
3028	2432	0.53	0.000	source:1122,1132	target:	Benzopyrans
3028	686	0.64	0.000	source:37,1122,1132,1216	target:1422,1425,1534,2835,4816,5100	Benzopyrans
3028	815	0.54	0.000	source:37,1132,1216,7097	target:66,1425,1534,2835,4632,4816	Benzopyrans
3049	3049	1.00	0.000	source:	target:	Benzopyrans
3092	2625	0.68	0.000	source:33	target:	Benzopyrans
3241	2625	0.56	0.000	source:33,190,355,867,1425	target:454,1234,4075	Benzopyrans
3241	3092	0.56	-0.000	source:190,355,1347,1425,1705,4691	target:454,487,4075	Benzopyrans
3311	3311	1.00	0.000	source:	target:	Benzopyrans
3378	3378	1.00	0.000	source:	target:	Benzopyrans
3507	268	0.61	0.000	source:	target:	Benzopyrans
3573	3573	1.00	0.000	source:	target:	Benzopyrans
4060	93	0.48	-46.044	source:56,435,473,477,508,510,674,865,1426,2562,4807,5118,7743	target:1212,1221,7639	Benzopyrans
4165	268	0.70	0.000	source:	target:4968	Benzopyrans
4165	3507	0.55	0.000	source:	target:	Benzopyrans
4547	4547	1.00	0.000	source:	target:	Benzopyrans
4644	3017	0.41	43.990	source:	target:329,933,5089,5111,5196	Benzopyrans
608	93	0.48	-132.042	source:473,477,716,1422,1433,3972,4807,7743	target:1169,7639	Benzopyrans
674	674	1.00	0.000	source:	target:	Benzopyrans
815	686	0.89	-0.000	source:	target:	Benzopyrans
89	89	1.00	0.000	source:	target:	Benzopyrans
1397	1397	1	0	null	null	Benzopyrans
923	923	1	0	null	null	Benzopyrans
930	930	1	0	null	null	Benzopyrans
3129	3129	1	0	null	null	Benzopyrans
2809	2809	1	0	null	null	Benzopyrans
2864	2864	1	0	null	null	Benzopyrans
1087	1087	1	0	null	null	Benzopyrans
2579	2579	1	0	null	null	Benzopyrans
3567	3567	1	0	null	null	Benzopyrans
2752	2752	1	0	null	null	Benzopyrans
540	540	1	0	null	null	Benzopyrans
1480	1480	1	0	null	null	Benzopyrans
1956	1956	1	0	null	null	Benzopyrans
595	595	1	0	null	null	Benzopyrans
4238	4238	1	0	null	null	Benzopyrans
786	786	1	0	null	null	Benzopyrans
2648	2648	1	0	null	null	Benzopyrans
1330	1330	1	0	null	null	Benzopyrans
