source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1255	493	0.42	-27.995	source:476	target:	Benzyloxycarbonyls
1374	882	0.41	208.058	source:714	target:110,481,712,895,1138,6580,6965,7120,7350,7780,8871	Benzyloxycarbonyls
1734	1638	0.44	-30.011	source:	target:6225,8083,8270	Benzyloxycarbonyls
1811	1687	0.61	-162.052	source:55,56,354,727	target:1169,2835,4967,6155	Benzyloxycarbonyls
1937	1937	1.00	0.000	source:	target:	Benzyloxycarbonyls
3587	3587	1.00	0.000	source:	target:	Benzyloxycarbonyls
3989	1734	0.41	42.011	source:1199,8083,8270	target:	Benzyloxycarbonyls
3989	914	0.42	0.000	source:1081,1199	target:5118	Benzyloxycarbonyls
3989	986	0.50	-0.000	source:341,1081,1199,2565	target:5118	Benzyloxycarbonyls
4736	3989	0.47	-0.000	source:6221	target:2565,4833,6211	Benzyloxycarbonyls
493	468	0.44	27.995	source:499,1305,7640	target:5105,5124,5126	Benzyloxycarbonyls
969	842	0.45	-14.015	source:5109,6731	target:672,865,1388,1426,6677,7491,7572,7639,7640,7743	Benzyloxycarbonyls
2902	2902	1	0	null	null	Benzyloxycarbonyls
2650	2650	1	0	null	null	Benzyloxycarbonyls
1809	1809	1	0	null	null	Benzyloxycarbonyls
3670	3670	1	0	null	null	Benzyloxycarbonyls
1097	1097	1	0	null	null	Benzyloxycarbonyls
1562	1562	1	0	null	null	Benzyloxycarbonyls
601	601	1	0	null	null	Benzyloxycarbonyls
4167	4167	1	0	null	null	Benzyloxycarbonyls
4697	4697	1	0	null	null	Benzyloxycarbonyls
1236	1236	1	0	null	null	Benzyloxycarbonyls
2576	2576	1	0	null	null	Benzyloxycarbonyls
3046	3046	1	0	null	null	Benzyloxycarbonyls
856	856	1	0	null	null	Benzyloxycarbonyls
4057	4057	1	0	null	null	Benzyloxycarbonyls
