source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1017	1017	1.00	0.000	source:	target:	Dialkyl ethers
1024	861	0.50	-0.000	source:	target:	Dialkyl ethers
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Dialkyl ethers
1032	662	0.47	162.053	source:1195	target:487,716,1698	Dialkyl ethers
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Dialkyl ethers
1041	1041	1.00	0.000	source:	target:	Dialkyl ethers
1052	1052	1.00	0.000	source:	target:	Dialkyl ethers
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Dialkyl ethers
1072	714	0.44	-162.053	source:443,716,895,7640	target:899	Dialkyl ethers
1072	838	0.53	46.005	source:	target:6731,7780	Dialkyl ethers
1083	1072	0.49	-30.011	source:	target:	Dialkyl ethers
1083	449	0.41	-48.022	source:487,502,1109,1268,1433,1698	target:56,734,3053,4168,4999,5088,6318,7290,7380,7969,8311	Dialkyl ethers
1083	662	0.47	27.995	source:1305,1433	target:7290	Dialkyl ethers
1083	666	0.48	46.005	source:	target:	Dialkyl ethers
1083	714	0.45	-192.064	source:443,484,502,716,895,1190,1698,7640	target:56,1169,2562,4768	Dialkyl ethers
1135	323	0.46	-0.000	source:	target:	Dialkyl ethers
1135	811	0.41	132.058	source:7569,8083	target:899,1004,1188,1224,4838,5090,7290,8202,8310	Dialkyl ethers
1143	1143	1.00	0.000	source:	target:	Dialkyl ethers
1165	935	0.49	-162.053	source:481,499,1227	target:427,2835	Dialkyl ethers
1177	838	0.48	0.036	source:49,7812	target:510,1698,8428	Dialkyl ethers
1186	1186	1.00	0.000	source:	target:	Dialkyl ethers
1244	1244	1.00	0.000	source:	target:	Dialkyl ethers
1295	274	0.94	-0.000	source:	target:	Dialkyl ethers
1315	1307	0.58	-0.000	source:	target:	Dialkyl ethers
1347	1072	0.41	133.006	source:813,899,4801	target:716,7350	Dialkyl ethers
1347	1083	0.42	163.016	source:813,1188	target:502,716,1268,7350	Dialkyl ethers
1347	243	0.57	114.994	source:189,813,1103,1428,4801,4807,5117,6962,8428	target:681,716,1148,1227,1263,1352,3341,3972,4168,4967,4999,5088,6318,6972,7637,7932,7969	Dialkyl ethers
1347	286	0.52	-1.053	source:813	target:672,1227,1367,1388,8540	Dialkyl ethers
1347	317	0.61	-47.058	source:189,813,1428,4807,8428	target:910,1227,1263,1352,4168,4999,6318,7350	Dialkyl ethers
1347	449	0.59	114.995	source:189,813,1109,1428,2835,4807,5117,8428	target:716,734,1148,3053,4168,4999,5088,6318,7969,8311	Dialkyl ethers
1347	662	0.46	191.011	source:44,813,898,899,912,1098,2835	target:716,6580,7350	Dialkyl ethers
