source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1016	1016	1.00	0.000	source:	target:	Monoterpenoids
1029	1029	1.00	0.000	source:	target:	Monoterpenoids
1052	1052	1.00	0.000	source:	target:	Monoterpenoids
1058	809	0.44	40.031	source:49,333,466,515,948,971	target:139,502,958,6731	Monoterpenoids
1064	281	0.51	-2.013	source:56	target:59,457,1101,1200,1433,4848,6218	Monoterpenoids
1064	311	0.50	-2.013	source:	target:59,457,1101,1200,1433,4848,5124	Monoterpenoids
1064	347	0.54	-3.993	source:	target:6993,8400	Monoterpenoids
1064	392	0.46	4.033	source:25,128,1168,4800,6988,7257,7780,8494,8772,8871	target:6350	Monoterpenoids
1064	485	0.46	370.128	source:487,712,1103,1109,1168,1428,4768,4800,5116,7257,8447,8772	target:2,354,456,489,512,517,519,727,813,873,893,1120,1171,1211,1219,2601,4968,5089,5090,5111,5112,5118	Monoterpenoids
1064	494	0.44	-18.009	source:	target:958,1101,1433	Monoterpenoids
1064	577	0.51	204.065	source:	target:59,139,457,473,962,4848,5124,6993,8400,8457	Monoterpenoids
1064	659	0.45	0.002	source:	target:30,473,1433,2562,4848	Monoterpenoids
1064	673	0.42	-18.044	source:25,56,128,7257	target:861,1101,1107,1433,4833,6211	Monoterpenoids
1064	766	0.48	-43.988	source:4800,6160	target:6350	Monoterpenoids
1064	838	0.51	354.133	source:487,4800,6988,8772	target:70,489,707,714,716,727,861,909,958,1069,1192,1216,4968,5089,5111,5112,5118,6221,8248,8254,8327,8406	Monoterpenoids
1064	893	0.46	162.055	source:25,56,1240,4800,6988,7257,8772	target:59,457,473,1433,2562	Monoterpenoids
1064	961	0.51	65.974	source:	target:34,962,1101,1433,3181,5124,7755	Monoterpenoids
1095	1071	0.41	122.036	source:	target:33,44,457,707,898,899,910,912,1098,1102,1112,1123,1146,1183,1188,4968,8469	Monoterpenoids
1095	233	0.54	-27.995	source:1331,6171	target:49	Monoterpenoids
1095	242	0.41	346.126	source:6171	target:473,476,502,510,1534,4968,5127,6103,6393,6731	Monoterpenoids
1095	279	0.41	-30.010	source:6171	target:1237,1238	Monoterpenoids
1095	388	0.50	-25.990	source:110,944,974,1018,1101,1127,1168,1169,1698,6171,7350,7968	target:1708	Monoterpenoids
1111	1111	1.00	0.000	source:	target:	Monoterpenoids
1130	1064	0.45	-0.003	source:30,473,861,1433,2562,2564,4797,4803,4848,5124	target:	Monoterpenoids
1130	241	0.45	-0.000	source:1240,7144	target:	Monoterpenoids
1130	659	0.49	-0.000	source:	target:	Monoterpenoids
1176	279	0.42	-152.047	source:50,139,427,473,707,1069,1112,1146,1192,1216,4768,4968,5379,6053,6221,7259,7755	target:443,1698,7639	Monoterpenoids
1176	506	0.46	-17.989	source:50,70,341,707,1112,1146,1216,4800,5124,6053,6221,7259,7755	target:484,489,7491,7743	Monoterpenoids
1183	233	0.41	-27.995	source:1122,1284,1331,2932,5014,6587,7569,7755,8329	target:49,4800,7312,7840	Monoterpenoids
1203	494	0.41	9.984	source:476	target:958,6509,6988,7144,7257,8772	Monoterpenoids
1203	589	0.71	0.000	source:	target:	Monoterpenoids
1203	711	0.43	-15.995	source:7312	target:	Monoterpenoids
1204	1204	1.00	0.000	source:	target:	Monoterpenoids
1220	1064	0.50	-190.050	source:1101,1433,5124	target:4800	Monoterpenoids
1220	233	0.43	-208.058	source:499,1331,7569	target:49,4800	Monoterpenoids
1220	347	0.44	-194.042	source:499,1433,5124	target:	Monoterpenoids
1220	494	0.42	-208.058	source:499,5124,7569	target:	Monoterpenoids
1220	673	0.48	-208.094	source:25,128,443,499,720,6580,6965,7120,7257,7491,7840	target:4833,6211	Monoterpenoids
1220	766	0.44	-234.037	source:720,1331,6160,6509,6580,6965,7120,7144,7491,7569	target:6350	Monoterpenoids
1220	838	0.44	164.083	source:460,484,487,5124,6988,7569,7840,8772	target:70,707,714,727,1216,1225,5089,5111,5112,5118,6221,8248,8254,8327,8406	Monoterpenoids
1250	715	0.42	30.011	source:	target:6731	Monoterpenoids
1266	552	0.42	60.021	source:56,499,1151,1698,7283,8254,8421	target:6587,8406	Monoterpenoids
1281	1281	1.00	0.000	source:	target:	Monoterpenoids
1292	1292	1.00	0.000	source:	target:	Monoterpenoids
1294	1203	0.43	-62.013	source:720	target:110,443,1190,1698,6677,7312,7491,7572,7639,7640	Monoterpenoids
1305	1064	0.48	6.008	source:59,861,1101,1238,1284,4848,5014,6993,8327,8400	target:4768	Monoterpenoids
1305	1220	0.43	196.058	source:1284,5014,8327	target:55,499,1433	Monoterpenoids
1305	311	0.47	3.995	source:5014,6993,7569,8327,8329,8400	target:55,427,1433,4768	Monoterpenoids
1305	347	0.62	2.016	source:59,515,948,971	target:	Monoterpenoids
1305	577	0.48	210.074	source:1238,1284,5014,8327	target:55,139,473,1708	Monoterpenoids
1305	766	0.45	-37.979	source:59,1284,4801,5014,6160,6509,6580,6965,6993,7120,7144,7569,8327,8329,8400	target:55,427,6350	Monoterpenoids
1305	838	0.44	360.142	source:59,460,487,515,971,4848,6988,7312,7569,8329,8772	target:33,55,70,499,510,707,714,716,727,909,1069,1192,1216,1225,4968,5089,5111,5112,5118,6221,6731,8254	Monoterpenoids
1308	241	0.53	-134.037	source:2,33,44,50,341,497,515,707,898,912,958,962,971,1052,1098,1112,1123,1146,1169,1188,1192,1216,1226,1237,1238,2055,2062,4081,4968,5136,5139,5214,5379,6053,6221,6538,7755,8243,8251,8349,8469	target:443,1708,2565,6677,6988,7639	Monoterpenoids
1321	1114	0.45	-0.000	source:341,865,1200,2835	target:1852,7572,7640,8297	Monoterpenoids
1321	835	0.43	0.000	source:	target:6509,7144,7572,7640	Monoterpenoids
1335	624	0.43	-134.058	source:473,2562,8251	target:515,948,971,1428	Monoterpenoids
1335	766	0.42	-176.032	source:2562,6160,6580,6965,7120,7491,8251	target:1428,5079	Monoterpenoids
1348	1348	1.00	0.000	source:	target:	Monoterpenoids
1372	1107	0.48	0.000	source:	target:	Monoterpenoids
1416	1416	1.00	0.000	source:	target:	Monoterpenoids
1422	1422	1.00	0.000	source:	target:	Monoterpenoids
1446	1250	0.45	0.000	source:	target:	Monoterpenoids
1446	659	0.44	-158.057	source:489,499,720,962,6993,8400	target:30,2565,7491	Monoterpenoids
1450	1450	1.00	0.000	source:	target:	Monoterpenoids
1460	1064	0.45	-160.039	source:59,473,962,1192,1433,1534,2562,4848	target:1240,4800	Monoterpenoids
1460	1220	0.42	30.011	source:1534,2562	target:7840	Monoterpenoids
1460	347	0.46	-164.032	source:59,1192,1433,1534,2562	target:1240,4801,6993,7312,7840,8329,8400	Monoterpenoids
1482	1064	0.48	-190.050	source:1433,5124	target:4800	Monoterpenoids
1482	1220	0.64	-0.000	source:	target:499	Monoterpenoids
1482	1460	0.45	-30.011	source:5127	target:2562	Monoterpenoids
1482	233	0.42	-208.059	source:1331,5127	target:411,4800,7312	Monoterpenoids
1482	435	0.44	-46.006	source:25,7257	target:499,1147	Monoterpenoids
1482	494	0.41	-208.058	source:476,5124	target:958,1127	Monoterpenoids
1482	506	0.46	-76.016	source:443,5124,6677,7572,7639,7640	target:865,1426,2562,7743	Monoterpenoids
1509	855	0.44	26.015	source:427,865,1221,4768	target:720,5124,6988,7569,8772	Monoterpenoids
1571	494	0.45	-2.016	source:	target:56,958	Monoterpenoids
1571	496	0.66	-0.000	source:1331	target:56,484	Monoterpenoids
1571	673	0.45	-2.052	source:25,128,443,7257	target:33,515,861,948,971,4833,5105,6211	Monoterpenoids
1571	744	0.60	2.016	source:944,1127	target:	Monoterpenoids
1571	855	0.41	30.010	source:443,1698,7257	target:56,484,515,948,971,5105,5124	Monoterpenoids
1611	1064	0.44	-158.060	source:473,489,716,958,962,1101,2562	target:56,1428,4800,7257,8772	Monoterpenoids
1611	1460	0.50	1.979	source:	target:1534,5105,6509,7144	Monoterpenoids
1626	1220	0.46	10.029	source:44,497,707,898,1098,1112,1123,1146,8469	target:443,499,1698,7968	Monoterpenoids
1626	1482	0.54	10.029	source:44,707,898,1098,1112,1123,1127,1146,8469	target:56,443,515,948,971,1063,7968	Monoterpenoids
1626	296	0.42	198.073	source:707,898,909,1069,1098,1112,1123,1146,1331,1433,2835,8447,8469	target:142,443,515,517,813,918,920,948,971,1120,1141,1210,1219,1230	Monoterpenoids
1629	485	0.47	10.029	source:34,44,49,474,476,672,734,785,884,898,909,910,912,962,974,1004,1069,1098,1123,1183,1367,1388,3053,4999,6419,8230,8311,8491,8540	target:443,456,512,517,519,813,873,893,1120,1171,1211,1219,1698,6677,7639,7760,7968,8252	Monoterpenoids
1631	1064	0.46	-160.039	source:457,473,489,962,1433,5118,8248,8406	target:487,4800,8772	Monoterpenoids
1631	1460	0.67	0.000	source:1240,5118	target:484,487,4848	Monoterpenoids
1631	1482	0.43	30.011	source:499,5118,8248,8406	target:484,487,515,948,971,1063,5124,8772	Monoterpenoids
1631	1611	0.48	-1.979	source:476,1428,5105,5118,8248,8406	target:484,487,716,865,958,7569	Monoterpenoids
1656	1656	1.00	0.000	source:	target:	Monoterpenoids
1664	1664	1.00	0.000	source:	target:	Monoterpenoids
1694	1114	0.41	170.094	source:865,1190,1428,1708,4833,5124,5126,6211	target:2,44,56,128,489,505,508,707,884,898,912,1098,1102,1112,1123,1183,1226,1240,1852,2062,5014,5089,5111,5112,5118,6053,6221,7283,7572,7640,7755,8083,8252,8254,8270,8285,8297,8299,8327,8341,8349,8421,8469,8657	Monoterpenoids
1694	574	0.43	32.026	source:	target:25,128,1004,1240,1698,6509,6677,7312,7350,7572,7639,7640,7840,8083,8252,8270,8657,8772	Monoterpenoids
1698	1220	0.43	-138.068	source:502,1534,2562	target:	Monoterpenoids
1698	1335	0.41	-196.074	source:341,411,502,861,948,971,1433,5079,6509,6731,6988,7144,8329	target:	Monoterpenoids
1698	296	0.41	49.976	source:411,469,476,1331,1433,7491,8329,8447	target:517,813,918,920,1120,1141,1210,1219,1230	Monoterpenoids
1698	426	0.43	-184.074	source:139,502,510,948,971,6731,8329	target:	Monoterpenoids
1758	1335	0.44	-29.989	source:44,707,861,898,912,958,1098,1123,1146,1237,1238,1242,1433,5079,6221,6509,6981,7144,7755,8248,8469	target:484,487,8251	Monoterpenoids
1762	1321	0.44	3.995	source:8274,8563	target:515,971,6171,6981,7780,8280,8421,8494,8871	Monoterpenoids
1789	1789	1.00	0.000	source:	target:	Monoterpenoids
1815	722	0.42	-14.016	source:25,128,895,1240,5068	target:1331	Monoterpenoids
1836	1095	0.42	-48.021	source:30,34,457,473,499,865,1426,2562,2565,3181,4797,4803,5127,8126,8329	target:1698,6171,6677	Monoterpenoids
1836	1108	0.52	0.000	source:30,484	target:1268,1284	Monoterpenoids
1836	241	0.46	-58.005	source:1240	target:6677	Monoterpenoids
1836	710	0.41	0.000	source:30,484,865,2565,3181,8126	target:505,1284,2932,5014,6171,6221	Monoterpenoids
1839	1839	1.00	0.000	source:	target:	Monoterpenoids
