source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Organonitrogen compounds
1038	1038	1.00	0.000	source:	target:	Organonitrogen compounds
1048	1048	1.00	0.000	source:	target:	Organonitrogen compounds
1052	1052	1.00	0.000	source:	target:	Organonitrogen compounds
108	108	1.00	0.000	source:	target:	Organonitrogen compounds
1129	1129	1.00	0.000	source:	target:	Organonitrogen compounds
1136	1136	1.00	0.000	source:	target:	Organonitrogen compounds
1150	1150	1.00	0.000	source:	target:	Organonitrogen compounds
117	117	1.00	0.000	source:	target:	Organonitrogen compounds
1210	1210	1.00	0.000	source:	target:	Organonitrogen compounds
1225	1225	1.00	0.000	source:	target:	Organonitrogen compounds
1230	1230	1.00	0.000	source:	target:	Organonitrogen compounds
1242	409	0.41	-72.040	source:117,336,337,720,861,875,895,898,1068,1120,1138,1141,1189,1190,1192,1207,1211,1217,1228,1236,1268,1284,1428,1695,4568,4835,5135,6225,7089,7569,7572,7640,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:235,354,399,430,438,463,467,473,491,887,903,939,966,978,1015,1032,1047,1182,1202,2055	Organonitrogen compounds
1276	1276	1.00	0.000	source:	target:	Organonitrogen compounds
1284	1284	1.00	0.000	source:	target:	Organonitrogen compounds
1286	1286	1.00	0.000	source:	target:	Organonitrogen compounds
1298	1298	1.00	0.000	source:	target:	Organonitrogen compounds
134	134	1.00	0.000	source:	target:	Organonitrogen compounds
1347	319	0.46	163.015	source:44,707,714,898,899,909,912,944,962,974,1018,1052,1098,1103,1112,1123,1127,1146,1168,1188,1192,1216,1224,1225,1237,1238,1240,1331,1428,4801,4968,5089,5118,6160,8248,8341,8469	target:142,453,512,515,519,918,920,948,967,971,1068,1171,1184,5190,5290,5334,6965	Organonitrogen compounds
1358	1358	1.00	0.000	source:	target:	Organonitrogen compounds
1370	1370	1.00	0.000	source:	target:	Organonitrogen compounds
140	140	1.00	0.000	source:	target:	Organonitrogen compounds
1430	1430	1.00	0.000	source:	target:	Organonitrogen compounds
1432	1432	1.00	0.000	source:	target:	Organonitrogen compounds
1450	1450	1.00	0.000	source:	target:	Organonitrogen compounds
1465	1465	1.00	0.000	source:	target:	Organonitrogen compounds
147	147	1.00	0.000	source:	target:	Organonitrogen compounds
1496	1496	1.00	0.000	source:	target:	Organonitrogen compounds
1513	1513	1.00	0.000	source:	target:	Organonitrogen compounds
1525	1525	1.00	0.000	source:	target:	Organonitrogen compounds
1586	1586	1.00	0.000	source:	target:	Organonitrogen compounds
16	16	1.00	0.000	source:	target:	Organonitrogen compounds
1624	1624	1.00	0.000	source:	target:	Organonitrogen compounds
1628	1628	1.00	0.000	source:	target:	Organonitrogen compounds
1640	1640	1.00	0.000	source:	target:	Organonitrogen compounds
1658	1658	1.00	0.000	source:	target:	Organonitrogen compounds
1679	1679	1.00	0.000	source:	target:	Organonitrogen compounds
1684	1684	1.00	0.000	source:	target:	Organonitrogen compounds
1695	1695	1.00	0.000	source:	target:	Organonitrogen compounds
1705	1705	1.00	0.000	source:	target:	Organonitrogen compounds
1712	1712	1.00	0.000	source:	target:	Organonitrogen compounds
1747	1747	1.00	0.000	source:	target:	Organonitrogen compounds
1753	1753	1.00	0.000	source:	target:	Organonitrogen compounds
179	179	1.00	0.000	source:	target:	Organonitrogen compounds
1808	1808	1.00	0.000	source:	target:	Organonitrogen compounds
1847	1847	1.00	0.000	source:	target:	Organonitrogen compounds
186	186	1.00	0.000	source:	target:	Organonitrogen compounds
1863	1863	1.00	0.000	source:	target:	Organonitrogen compounds
1875	1875	1.00	0.000	source:	target:	Organonitrogen compounds
1878	1878	1.00	0.000	source:	target:	Organonitrogen compounds
1879	1879	1.00	0.000	source:	target:	Organonitrogen compounds
1905	1905	1.00	0.000	source:	target:	Organonitrogen compounds
1910	1910	1.00	0.000	source:	target:	Organonitrogen compounds
1920	1201	0.44	-105.933	source:300,409,430,463,467,485,491,519,935,939,6244,6499,6538,6924,7152	target:336,515,948,971,8083,8270,8447	Organonitrogen compounds
1920	146	0.41	-33.818	source:300,409,430,463,467,473,491,935,939,6244,6499,6538,6924,7152,7755	target:117,336,337,481,875,1138,1189,1228,1433,4568,4810,5067,5117,5137,5334,7089,8083,8447,8521,8605,8661	Organonitrogen compounds
193	172	0.74	-0.000	source:	target:5137	Organonitrogen compounds
1942	1942	1.00	0.000	source:	target:	Organonitrogen compounds
1978	1978	1.00	0.000	source:	target:	Organonitrogen compounds
1988	1988	1.00	0.000	source:	target:	Organonitrogen compounds
2011	2011	1.00	0.000	source:	target:	Organonitrogen compounds
20	20	1.00	0.000	source:	target:	Organonitrogen compounds
202	202	1.00	0.000	source:	target:	Organonitrogen compounds
2080	2080	1.00	0.000	source:	target:	Organonitrogen compounds
2082	2082	1.00	0.000	source:	target:	Organonitrogen compounds
2097	2097	1.00	0.000	source:	target:	Organonitrogen compounds
2143	2143	1.00	0.000	source:	target:	Organonitrogen compounds
2155	2155	1.00	0.000	source:	target:	Organonitrogen compounds
2156	2156	1.00	0.000	source:	target:	Organonitrogen compounds
2214	2214	1.00	0.000	source:	target:	Organonitrogen compounds
2241	2241	1.00	0.000	source:	target:	Organonitrogen compounds
2264	2264	1.00	0.000	source:	target:	Organonitrogen compounds
2307	2307	1.00	0.000	source:	target:	Organonitrogen compounds
2315	2315	1.00	0.000	source:	target:	Organonitrogen compounds
2347	2347	1.00	0.000	source:	target:	Organonitrogen compounds
2348	2348	1.00	0.000	source:	target:	Organonitrogen compounds
2359	2359	1.00	0.000	source:	target:	Organonitrogen compounds
2361	2361	1.00	0.000	source:	target:	Organonitrogen compounds
2441	2441	1.00	0.000	source:	target:	Organonitrogen compounds
2450	2450	1.00	0.000	source:	target:	Organonitrogen compounds
2535	2535	1.00	0.000	source:	target:	Organonitrogen compounds
2543	2543	1.00	0.000	source:	target:	Organonitrogen compounds
2548	2548	1.00	0.000	source:	target:	Organonitrogen compounds
2560	2560	1.00	0.000	source:	target:	Organonitrogen compounds
2565	1590	0.41	-3.995	source:385,413,424,431,463,480,491,923	target:333,459,466,706,708,709,785,931,1023,1051,1058,1083	Organonitrogen compounds
2580	2580	1.00	0.000	source:	target:	Organonitrogen compounds
2587	1060	0.41	41.001	source:44,944,962,974,1018,1052,1168,1188	target:456,458,484,1109,4810,4842,5069,5109,5148,5354,5701	Organonitrogen compounds
2587	1347	0.58	241.105	source:7350	target:707,714,720,909,1026,1103,1109,1224,1225,1240,1331,1428,4801,4807,4968,5089,5117,5118,6160,8248,8341,8406	Organonitrogen compounds
2587	2050	0.50	388.112	source:336,1695,4568,6225,6677,7350,7572,7639,7640,7760,8083,8252,8270,8463,8568,8609,8657,8661,8730	target:461,707,720,785,981,1141,1184	Organonitrogen compounds
2587	319	0.51	404.121	source:44,944,962,974,1018,1052,1168,1188	target:142,453,484,512,515,720,920,948,967,971,1068,1109,1141,1171,1184,5116,5117,5126,5190,5334,6965	Organonitrogen compounds
2587	485	0.46	436.111	source:44,487,944,962,974,1018,1052,1168,1188	target:2,25,33,128,354,456,512,515,720,727,948,971,1026,1171,1195,1219,1240,2601,4863,4968,5089,5090,5111,5112,5118,7780,8871	Organonitrogen compounds
2587	975	0.46	436.111	source:44,487,944,974,1018,1052,1168,1188,1211,7350,7639	target:25,33,128,354,456,720,727,1026,1195,1224,1240,4863,4968,5089,5090,5111,5112,5118,6160,6580,6731,6965,8248,8297,8871	Organonitrogen compounds
2626	2587	0.46	-408.116	source:25,33,128,476,720,909,1026,1103,1109,1195,1331,4968,5079,5109,5117,5118,6160,6580,6965,7120,7491,7780,8248,8494,8871	target:44,487,944,1018,1052,1188	Organonitrogen compounds
2670	2670	1.00	0.000	source:	target:	Organonitrogen compounds
2686	2686	1.00	0.000	source:	target:	Organonitrogen compounds
2719	2719	1.00	0.000	source:	target:	Organonitrogen compounds
2734	2734	1.00	0.000	source:	target:	Organonitrogen compounds
2772	2772	1.00	0.000	source:	target:	Organonitrogen compounds
2801	2801	1.00	0.000	source:	target:	Organonitrogen compounds
28	28	1.00	0.000	source:	target:	Organonitrogen compounds
2832	2832	1.00	0.000	source:	target:	Organonitrogen compounds
2834	2834	1.00	0.000	source:	target:	Organonitrogen compounds
2850	2850	1.00	0.000	source:	target:	Organonitrogen compounds
2891	562	0.44	0.000	source:	target:	Organonitrogen compounds
2897	2897	1.00	0.000	source:	target:	Organonitrogen compounds
2927	2927	1.00	0.000	source:	target:	Organonitrogen compounds
29	29	1.00	0.000	source:	target:	Organonitrogen compounds
2929	2929	1.00	0.000	source:	target:	Organonitrogen compounds
2931	2931	1.00	0.000	source:	target:	Organonitrogen compounds
295	295	1.00	0.000	source:	target:	Organonitrogen compounds
2971	2971	1.00	0.000	source:	target:	Organonitrogen compounds
2973	687	0.44	-257.029	source:56,300,409,430,449,463,467,473,477,485,491,509,935,939,2055,3972,4263,6244,6499,6924	target:110,458,484,895,1138,1143,1166,1189,1228,5192,5692,6677,6869,7089,7572,7640,8083,8252,8521,8605,8609,8657,8684,8730	Organonitrogen compounds
3048	3048	1.00	0.000	source:	target:	Organonitrogen compounds
3136	3136	1.00	0.000	source:	target:	Organonitrogen compounds
3156	3156	1.00	0.000	source:	target:	Organonitrogen compounds
3165	3165	1.00	0.000	source:	target:	Organonitrogen compounds
326	326	1.00	0.000	source:	target:	Organonitrogen compounds
3279	3279	1.00	0.000	source:	target:	Organonitrogen compounds
3282	3282	1.00	0.000	source:	target:	Organonitrogen compounds
3	3	1.00	0.000	source:	target:	Organonitrogen compounds
332	332	1.00	0.000	source:	target:	Organonitrogen compounds
3335	3335	1.00	0.000	source:	target:	Organonitrogen compounds
3353	3353	1.00	0.000	source:	target:	Organonitrogen compounds
34	34	1.00	0.000	source:	target:	Organonitrogen compounds
3475	3475	1.00	0.000	source:	target:	Organonitrogen compounds
3511	2050	0.45	229.069	source:336,1109,1219,1695,4568,6225,7572,7640,7760,8083,8252,8270,8463,8568,8609,8657,8661,8730	target:44,426,461,499,707,784,785,886,898,912,946,970,981,992,1066,1077,1083,1098,1112,1123,1146,8469	Organonitrogen compounds
3517	3517	1.00	0.000	source:	target:	Organonitrogen compounds
3591	3591	1.00	0.000	source:	target:	Organonitrogen compounds
3637	3511	0.56	-15.995	source:473,1700,4768	target:1219	Organonitrogen compounds
3694	3694	1.00	0.000	source:	target:	Organonitrogen compounds
3729	3729	1.00	0.000	source:	target:	Organonitrogen compounds
