source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1138	1100	0.46	0.000	source:	target:	Pyrans
1143	1143	1.00	0.000	source:	target:	Pyrans
1156	420	0.50	-0.000	source:2	target:674,1284,1902,6171	Pyrans
1480	1138	0.41	-116.039	source:44,57,427,473,474,486,707,714,720,785,861,884,898,899,909,912,944,958,962,974,1018,1026,1052,1069,1098,1112,1123,1127,1146,1168,1169,1188,1192,1216,1225,1236,1237,1238,2562,4768,4777,5067,5079,8469	target:117,336,337,443,484,895,1695,1698,1902,6225,6677,7303,7413,7572,7639,7640,7760,7968,8270,8463,8568,8605,8609,8657,8661,8684,8730	Pyrans
1744	1744	1.00	0.000	source:	target:	Pyrans
1760	1591	0.41	0.000	source:190,236,784,937,960,1228,1229,8428	target:	Pyrans
2059	1156	0.43	27.995	source:1284	target:433,476	Pyrans
2059	873	0.56	0.000	source:470,1229,1268,1284,6160	target:4863	Pyrans
2231	2231	1.00	0.000	source:	target:	Pyrans
2432	686	0.62	0.000	source:37,1070	target:1422,4816	Pyrans
2432	815	0.61	0.000	source:37	target:4816	Pyrans
2483	2483	1.00	0.000	source:	target:	Pyrans
2495	2495	1.00	0.000	source:	target:	Pyrans
2519	1100	0.52	30.011	source:	target:1695,1698,8657	Pyrans
2519	1138	0.65	30.010	source:	target:1695,1698,6677,7413,7572,7639,7640,7760,8270,8657	Pyrans
2519	1480	0.44	146.049	source:49,117,336,337,484,895,6225,8568,8605,8661,8684,8730	target:44,57,427,473,474,486,707,714,720,785,861,884,898,899,909,912,944,958,962,974,1018,1026,1052,1069,1098,1112,1123,1127,1146,1168,1169,1188,1192,1216,1225,1236,1237,1238,1284,1331,2562,4768,4777,5067,6160,8469	Pyrans
2674	2674	1.00	0.000	source:	target:	Pyrans
2700	2700	1.00	0.000	source:	target:	Pyrans
2782	2071	0.46	-0.000	source:4797,7283	target:	Pyrans
2829	2829	1.00	0.000	source:	target:	Pyrans
2849	773	0.47	-0.000	source:329,1142	target:356	Pyrans
2905	2059	0.46	0.000	source:142,476,484,968,6103	target:66,414,470,861,1268,1284,1428,1433,2835,6160	Pyrans
2905	873	0.48	0.000	source:484,968,5379,6103	target:861,4807	Pyrans
2909	2909	1.00	0.000	source:	target:	Pyrans
2938	2938	1.00	0.000	source:	target:	Pyrans
2961	2961	1.00	0.000	source:	target:	Pyrans
2988	2988	1.00	0.000	source:	target:	Pyrans
3002	3002	1.00	0.000	source:	target:	Pyrans
3003	1995	0.63	-0.000	source:231,236,784,913,960,1234	target:	Pyrans
3028	1760	0.41	15.995	source:1216,7687	target:66,190,1222,1228,1422,1425,4816,5100	Pyrans
3028	2432	0.53	0.000	source:1122,1132	target:	Pyrans
3028	686	0.64	0.000	source:37,1122,1132,1216	target:1422,1425,1534,2835,4816,5100	Pyrans
3028	815	0.54	0.000	source:37,1132,1216,7097	target:66,1425,1534,2835,4632,4816	Pyrans
3049	3049	1.00	0.000	source:	target:	Pyrans
3068	3068	1.00	0.000	source:	target:	Pyrans
3311	3311	1.00	0.000	source:	target:	Pyrans
3507	268	0.61	0.000	source:	target:	Pyrans
3573	3573	1.00	0.000	source:	target:	Pyrans
3764	2849	0.67	-0.000	source:66,356,1099	target:329,510,933	Pyrans
3764	773	0.62	-0.000	source:66	target:933,3955,8406	Pyrans
3791	2519	0.52	-106.026	source:1695,8657	target:	Pyrans
3824	3824	1.00	0.000	source:	target:	Pyrans
4060	93	0.48	-46.044	source:56,435,473,477,508,510,674,865,1426,2562,4807,5118,7743	target:1212,1221,7639	Pyrans
4134	2519	0.51	-222.073	source:55,521,716,1695,8657	target:	Pyrans
4165	268	0.70	0.000	source:	target:4968	Pyrans
4165	3507	0.55	0.000	source:	target:	Pyrans
4344	1140	0.70	0.000	source:	target:	Pyrans
4547	4547	1.00	0.000	source:	target:	Pyrans
4679	4679	1.00	0.000	source:	target:	Pyrans
4763	4763	1.00	0.000	source:	target:	Pyrans
4849	4849	1.00	0.000	source:	target:	Pyrans
608	93	0.48	-132.042	source:473,477,716,1422,1433,3972,4807,7743	target:1169,7639	Pyrans
815	686	0.89	-0.000	source:	target:	Pyrans
815	773	0.47	2.015	source:44,66,707,898,899,912,913,1107,1112,1146,1181,1199,7687,8469	target:37,3955,5197	Pyrans
857	857	1.00	0.000	source:	target:	Pyrans
89	89	1.00	0.000	source:	target:	Pyrans
2468	2468	1	0	null	null	Pyrans
4248	4248	1	0	null	null	Pyrans
540	540	1	0	null	null	Pyrans
595	595	1	0	null	null	Pyrans
2648	2648	1	0	null	null	Pyrans
1330	1330	1	0	null	null	Pyrans
3986	3986	1	0	null	null	Pyrans
1375	1375	1	0	null	null	Pyrans
1837	1837	1	0	null	null	Pyrans
3129	3129	1	0	null	null	Pyrans
3612	3612	1	0	null	null	Pyrans
786	786	1	0	null	null	Pyrans
2809	2809	1	0	null	null	Pyrans
1530	1530	1	0	null	null	Pyrans
2864	2864	1	0	null	null	Pyrans
4116	4116	1	0	null	null	Pyrans
3376	3376	1	0	null	null	Pyrans
2579	2579	1	0	null	null	Pyrans
65	65	1	0	null	null	Pyrans
3079	3079	1	0	null	null	Pyrans
1417	1417	1	0	null	null	Pyrans
1956	1956	1	0	null	null	Pyrans
1966	1966	1	0	null	null	Pyrans
848	848	1	0	null	null	Pyrans
