source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Pyrimidones
108	108	1.00	0.000	source:	target:	Pyrimidones
1129	1129	1.00	0.000	source:	target:	Pyrimidones
117	117	1.00	0.000	source:	target:	Pyrimidones
1210	1210	1.00	0.000	source:	target:	Pyrimidones
1276	1276	1.00	0.000	source:	target:	Pyrimidones
1284	1284	1.00	0.000	source:	target:	Pyrimidones
1430	1430	1.00	0.000	source:	target:	Pyrimidones
1432	1432	1.00	0.000	source:	target:	Pyrimidones
1658	1658	1.00	0.000	source:	target:	Pyrimidones
1679	1679	1.00	0.000	source:	target:	Pyrimidones
1847	1847	1.00	0.000	source:	target:	Pyrimidones
1878	1878	1.00	0.000	source:	target:	Pyrimidones
1942	1942	1.00	0.000	source:	target:	Pyrimidones
2011	2011	1.00	0.000	source:	target:	Pyrimidones
2082	2082	1.00	0.000	source:	target:	Pyrimidones
2143	2143	1.00	0.000	source:	target:	Pyrimidones
2348	2348	1.00	0.000	source:	target:	Pyrimidones
2450	2450	1.00	0.000	source:	target:	Pyrimidones
2543	2543	1.00	0.000	source:	target:	Pyrimidones
2686	2686	1.00	0.000	source:	target:	Pyrimidones
2719	2719	1.00	0.000	source:	target:	Pyrimidones
2832	2832	1.00	0.000	source:	target:	Pyrimidones
2834	2834	1.00	0.000	source:	target:	Pyrimidones
2850	2850	1.00	0.000	source:	target:	Pyrimidones
2927	2927	1.00	0.000	source:	target:	Pyrimidones
2931	2931	1.00	0.000	source:	target:	Pyrimidones
3048	3048	1.00	0.000	source:	target:	Pyrimidones
3165	3165	1.00	0.000	source:	target:	Pyrimidones
332	332	1.00	0.000	source:	target:	Pyrimidones
3353	3353	1.00	0.000	source:	target:	Pyrimidones
3475	3475	1.00	0.000	source:	target:	Pyrimidones
3694	3694	1.00	0.000	source:	target:	Pyrimidones
382	382	1.00	0.000	source:	target:	Pyrimidones
3973	3973	1.00	0.000	source:	target:	Pyrimidones
418	418	1.00	0.000	source:	target:	Pyrimidones
4397	4397	1.00	0.000	source:	target:	Pyrimidones
4614	4614	1.00	0.000	source:	target:	Pyrimidones
4716	4716	1.00	0.000	source:	target:	Pyrimidones
4870	4870	1.00	0.000	source:	target:	Pyrimidones
54	54	1.00	0.000	source:	target:	Pyrimidones
600	600	1.00	0.000	source:	target:	Pyrimidones
652	652	1.00	0.000	source:	target:	Pyrimidones
742	742	1.00	0.000	source:	target:	Pyrimidones
763	763	1.00	0.000	source:	target:	Pyrimidones
883	883	1.00	0.000	source:	target:	Pyrimidones
1242	1242	1	0	null	null	Pyrimidones
1757	1757	1	0	null	null	Pyrimidones
1775	1775	1	0	null	null	Pyrimidones
1796	1796	1	0	null	null	Pyrimidones
677	677	1	0	null	null	Pyrimidones
4513	4513	1	0	null	null	Pyrimidones
3286	3286	1	0	null	null	Pyrimidones
894	894	1	0	null	null	Pyrimidones
38	38	1	0	null	null	Pyrimidones
2137	2137	1	0	null	null	Pyrimidones
3934	3934	1	0	null	null	Pyrimidones
3646	3646	1	0	null	null	Pyrimidones
2848	2848	1	0	null	null	Pyrimidones
1590	1590	1	0	null	null	Pyrimidones
3348	3348	1	0	null	null	Pyrimidones
