source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1014	1014	1.00	0.000	source:	target:	Tertiary alcohols
1015	240	0.63	2.016	source:418,457	target:180,1159,1310,1708,4083,4558,5001,5124,5903,6165,6211,6595,6696,7021,7105,7153,7707,7737,7959,8248,8607,8648,8723	Tertiary alcohols
1015	257	0.53	2.016	source:418,457,516,1284,5112	target:50,59,139,180,1310,1331,1433,1534,1541,1708,2835,4081,4083,4558,4818,4848,5001,5379,6165,6211,6432,6595,6696,7021,7105,7153,7707,7737,7959,8248,8316,8412,8447,8607,8648,8723	Tertiary alcohols
1015	293	0.42	164.047	source:418,1220,5112	target:55,59,139,341,357,476,486,721,1169,1242,1331,1428,1433,1480,1534,1541,4083,4418,4558,4818,4848,5001,5124,5379,5903,6165,6211,6218,6219,6281,6595,6696,6875,6916,7008,7021,7044,7105,7153,7480,7659,7707,7737,7959,8206,8248,8303,8316,8406,8412,8447,8448,8607,8648,8723	Tertiary alcohols
1015	316	0.41	2.016	source:457,5112	target:50,59,139,180,1310,1331,1428,1433,1534,1708,2835,4081,4083,4818,4848,5001,5124,5379,5903,6165,6211,6219,6696,6916,7105,7153,7707,7959,8248,8316,8434,8447,8607,8648,8723	Tertiary alcohols
1015	416	0.42	164.047	source:418,1212,1220,5112	target:30,55,59,139,180,341,486,721,1169,1242,1305,1331,1433,1534,1541,1708,2565,2816,2835,4083,4558,4848,5001,5124,5379,6160,6165,6211,6218,6219,6281,6393,6595,6696,6875,6916,7021,7105,7153,7707,7737,7959,8248,8316,8406,8434,8447,8607,8648,8723	Tertiary alcohols
1015	509	0.43	378.092	source:457,5068	target:55,469,470,476,477,481,486,521,709,721,727,734,968,2055,2062,4835,5118,6103,7755	Tertiary alcohols
1015	598	0.42	186.029	source:457,473,1109,1220,4777,5067,5068,5112	target:55,459,476,486,721,1227,1240,1422,6160,7021,7105,7153,7707,7959,8248,8280,8295,8327,8406	Tertiary alcohols
1015	846	0.44	2.016	source:189,418,457,508,516,1212,1284,5112	target:50,59,139,180,487,1169,1310,1331,1433,1480,1534,1541,1708,2816,2835,4081,4083,4558,4818,4848,5001,5124,5136,5139,5146,5214,5367,5379,5903,6165,6211,6219,6238,6432,6595,6696,6875,6916,7006,7021,7044,7105,7153,7659,7707,7737,7959,8206,8248,8316,8406,8412,8434,8447,8448,8607,8648,8723	Tertiary alcohols
1019	320	0.45	-70.078	source:59,359,411,435,460,502,510,948,1534,4848,5079,5109,6218,6380,6917,6966,7160	target:333,1240,6580,6965,7120	Tertiary alcohols
1019	392	0.41	-122.072	source:59,359,411,435,502,944,962,974,1018,1101,1168,1238,1534,2055,3972,4848,5126,6218,6326,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8274,8407	target:443,1698,6677,7491,7572,7639,7640	Tertiary alcohols
1019	415	0.63	30.011	source:359	target:6965	Tertiary alcohols
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Tertiary alcohols
1019	446	0.43	-70.078	source:30,59,359,411,435,460,502,510,865,1101,1109,1331,1426,1534,2562,2564,2565,4848,6218,6326,6350,6380,6885,6917,6930,6966,7160,7549	target:333,707,1192,1226,1240,6580,6962,6965,7120	Tertiary alcohols
1019	462	0.50	-92.062	source:59,359,411,460,502,944,962,1018,1101,1109,1168,1216,1238,1534,2564,3972,4801,4848,5068,5117,5126,6218,7549	target:1433,1710	Tertiary alcohols
1019	469	0.63	46.006	source:359,6506,6917,6966	target:49,5062	Tertiary alcohols
1019	533	0.64	46.006	source:6326,6380,6506,6917,6966,7160,7761	target:6965	Tertiary alcohols
1019	653	0.49	-56.062	source:59,359,411,460,469,476,948,1109,1534,2564,4801,4848,5079,5109,5117,5126,5127,6218,7549	target:474,707,909,1069,1192,1852,6674,6720,7822,7928,7945,8178	Tertiary alcohols
1019	658	0.44	-54.083	source:56,59,359,411,435,460,469,476,502,948,1216,1238,1534,2564,4848,5068,5079,5109,5126,5127,6218,6930,7549	target:454,474,505,909,1004,1069,1112,1146,1148,1181,1192,1268,3340,4075,6962,6972,8376,8469,8491	Tertiary alcohols
1019	670	0.50	-84.093	source:56,359,411,435,476,489,502,948,1216,1238,1534,2564,3972,5079,6218,6326,6350,6380,6885,6917,6930,6966,7160,7549,7761	target:6962,7569	Tertiary alcohols
1019	756	0.50	-138.067	source:59,359,411,460,489,502,948,1101,1216,1238,1534,2564,3972,4801,4848,5068,5079,5109,5117,5126,5127,6218,6326,6380,6885,6917,6930,6966,7160,7549,7761,8407	target:1433,1710,6962	Tertiary alcohols
1019	806	0.66	-102.068	source:59,359,411,435,460,502,510,948,1101,1109,1331,1534,2564,4801,4848,5079,5126,6218,6380,6885,6917,6930,6966,7160,7549,8407	target:707,1192,1852,6674,6720,7822,8469	Tertiary alcohols
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Tertiary alcohols
1058	1015	0.41	-164.068	source:55,117,335,336,337,459,470,476,521,709,875,1138,1189,1190,1422,1695,4568,4835,4836,4848,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:1107,1212,1220,1284,3061,5112	Tertiary alcohols
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Tertiary alcohols
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	Tertiary alcohols
