source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1723	372	0.85	0.000	source:1233,1305,1331,3181	target:27,142,968,6103	Hydroxybenzoic acid derivatives
1723	753	0.68	0.000	source:884,1226,1236,1305,3181,6431	target:	Hydroxybenzoic acid derivatives
1937	1937	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
222	222	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
3095	3095	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
3328	853	0.52	0.000	source:707	target:	Hydroxybenzoic acid derivatives
3358	3358	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
3670	514	0.52	-0.001	source:	target:1695,2055,7089,8270,8463,8568,8605,8609,8657,8684	Hydroxybenzoic acid derivatives
3979	3979	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
4547	4547	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
4798	4798	1.00	0.000	source:	target:	Hydroxybenzoic acid derivatives
611	514	0.49	162.053	source:1132,1190,2835,7350,7968	target:2,6058	Hydroxybenzoic acid derivatives
671	454	0.58	-0.000	source:5152	target:72,487,898,899,912,1098,1190,1200,6053,6221,6641,7569,8469	Hydroxybenzoic acid derivatives
753	372	0.77	0.000	source:	target:142,1212,1236,6103	Hydroxybenzoic acid derivatives
784	514	0.51	162.053	source:1190	target:6058	Hydroxybenzoic acid derivatives
898	784	0.43	-192.064	source:25,128,6509,6580,6677,6965,7144,7572,7639,7640,7780,8494,8871	target:898,899,1169,1188,3181,7259	Hydroxybenzoic acid derivatives
906	784	0.64	-30.011	source:	target:8243	Hydroxybenzoic acid derivatives
967	784	0.61	-162.053	source:	target:50,1190,3181,8126	Hydroxybenzoic acid derivatives
3004	3004	1	0	null	null	Hydroxybenzoic acid derivatives
2263	2263	1	0	null	null	Hydroxybenzoic acid derivatives
885	885	1	0	null	null	Hydroxybenzoic acid derivatives
4036	4036	1	0	null	null	Hydroxybenzoic acid derivatives
500	500	1	0	null	null	Hydroxybenzoic acid derivatives
3253	3253	1	0	null	null	Hydroxybenzoic acid derivatives
559	559	1	0	null	null	Hydroxybenzoic acid derivatives
1118	1118	1	0	null	null	Hydroxybenzoic acid derivatives
2935	2935	1	0	null	null	Hydroxybenzoic acid derivatives
1687	1687	1	0	null	null	Hydroxybenzoic acid derivatives
273	273	1	0	null	null	Hydroxybenzoic acid derivatives
901	901	1	0	null	null	Hydroxybenzoic acid derivatives
3664	3664	1	0	null	null	Hydroxybenzoic acid derivatives
468	468	1	0	null	null	Hydroxybenzoic acid derivatives
2857	2857	1	0	null	null	Hydroxybenzoic acid derivatives
1560	1560	1	0	null	null	Hydroxybenzoic acid derivatives
3333	3333	1	0	null	null	Hydroxybenzoic acid derivatives
3391	3391	1	0	null	null	Hydroxybenzoic acid derivatives
1227	1227	1	0	null	null	Hydroxybenzoic acid derivatives
1255	1255	1	0	null	null	Hydroxybenzoic acid derivatives
