source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	1129	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1136	1136	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1210	1210	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1276	1276	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1432	1432	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1624	1624	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1658	1658	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1747	1747	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1847	1847	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1942	1942	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2082	2082	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2155	2155	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2156	2156	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2348	2348	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2361	2361	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2450	2450	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2543	2543	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2580	2580	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2686	2686	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2719	2719	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
2834	2834	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3165	3165	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
326	326	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3279	3279	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
332	332	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3475	3475	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3591	3591	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3694	3694	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
382	382	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
3973	3973	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
418	418	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
4376	4376	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
4397	4397	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
4549	4549	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
4716	4716	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
4870	4870	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
54	54	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
55	55	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
600	600	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
652	652	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
742	742	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
763	763	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
883	883	1.00	0.000	source:	target:	Nucleosides, nucleotides, and analogues
1757	1757	1	0	null	null	Nucleosides, nucleotides, and analogues
4334	4334	1	0	null	null	Nucleosides, nucleotides, and analogues
1775	1775	1	0	null	null	Nucleosides, nucleotides, and analogues
677	677	1	0	null	null	Nucleosides, nucleotides, and analogues
2788	2788	1	0	null	null	Nucleosides, nucleotides, and analogues
1920	1920	1	0	null	null	Nucleosides, nucleotides, and analogues
1471	1471	1	0	null	null	Nucleosides, nucleotides, and analogues
4513	4513	1	0	null	null	Nucleosides, nucleotides, and analogues
3286	3286	1	0	null	null	Nucleosides, nucleotides, and analogues
894	894	1	0	null	null	Nucleosides, nucleotides, and analogues
3934	3934	1	0	null	null	Nucleosides, nucleotides, and analogues
2669	2669	1	0	null	null	Nucleosides, nucleotides, and analogues
1884	1884	1	0	null	null	Nucleosides, nucleotides, and analogues
3646	3646	1	0	null	null	Nucleosides, nucleotides, and analogues
2848	2848	1	0	null	null	Nucleosides, nucleotides, and analogues
409	409	1	0	null	null	Nucleosides, nucleotides, and analogues
3348	3348	1	0	null	null	Nucleosides, nucleotides, and analogues
