source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Tetrahydrofurans
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Tetrahydrofurans
1136	1136	1.00	0.000	source:	target:	Tetrahydrofurans
1181	984	0.41	0.000	source:5062,5116	target:6966	Tetrahydrofurans
1186	1186	1.00	0.000	source:	target:	Tetrahydrofurans
1230	1230	1.00	0.000	source:	target:	Tetrahydrofurans
1257	1257	1.00	0.000	source:	target:	Tetrahydrofurans
1276	1276	1.00	0.000	source:	target:	Tetrahydrofurans
1284	1284	1.00	0.000	source:	target:	Tetrahydrofurans
1295	274	0.94	-0.000	source:	target:	Tetrahydrofurans
1388	317	0.48	-46.006	source:8230	target:1263,1352,4168,4999,7350,8252	Tetrahydrofurans
1430	1430	1.00	0.000	source:	target:	Tetrahydrofurans
1447	828	0.46	2.016	source:1283,3341,5004,5014,6431,8321	target:470,3955,5364	Tetrahydrofurans
1497	1497	1.00	0.000	source:	target:	Tetrahydrofurans
1658	1658	1.00	0.000	source:	target:	Tetrahydrofurans
1808	1808	1.00	0.000	source:	target:	Tetrahydrofurans
1827	1827	1.00	0.000	source:	target:	Tetrahydrofurans
1842	999	0.42	-0.000	source:1268,5014	target:479	Tetrahydrofurans
1895	1895	1.00	0.000	source:	target:	Tetrahydrofurans
1952	676	0.41	254.100	source:466,1233,1708,4833,5105,5116,5124,6211	target:499,716,1426,1698,2562,6580,6677,6965,7120,7350,7413,7491,7572,7639,7640,7760,8083,8252,8270,8463,8609,8657	Tetrahydrofurans
1955	1388	0.44	0.001	source:4768,4807,8447	target:8202	Tetrahydrofurans
2011	2011	1.00	0.000	source:	target:	Tetrahydrofurans
2060	2060	1.00	0.000	source:	target:	Tetrahydrofurans
2081	1746	0.49	0.000	source:	target:	Tetrahydrofurans
2089	1345	0.41	-18.061	source:59,721,1044,5129,8327	target:335,336,337,875,1695,4568,4835,4836,6225,7089,7413,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Tetrahydrofurans
2123	2123	1.00	0.000	source:	target:	Tetrahydrofurans
2155	2155	1.00	0.000	source:	target:	Tetrahydrofurans
2316	1703	0.61	2.016	source:7413	target:	Tetrahydrofurans
2316	349	0.41	-17.990	source:2,948,1063,1109,1304,1346,2055,4942,7755,8285,8421,8428	target:31,110,117,335,336,337,484,875,895,1138,1189,1263,1695,4835,4836,4967,6161,6318,6869,7089,7572,7637,7640,7932,8463,8521,8568,8605,8609,8657,8661,8684,8730	Tetrahydrofurans
2361	2361	1.00	0.000	source:	target:	Tetrahydrofurans
238	238	1.00	0.000	source:	target:	Tetrahydrofurans
2405	2405	1.00	0.000	source:	target:	Tetrahydrofurans
2414	444	0.41	0.000	source:484,948	target:7380,7932,8202	Tetrahydrofurans
2414	800	0.43	0.000	source:948	target:7380,8407	Tetrahydrofurans
2580	2580	1.00	0.000	source:	target:	Tetrahydrofurans
2592	377	0.48	94.065	source:34,4801,4999,8311,8381,8871	target:475,716,2055,4982,6171,6677,6962,7639,8252,8285,8299,8421	Tetrahydrofurans
2592	444	0.51	-67.987	source:128,727,1422,4801,8311	target:443,1698,6677,6962,7639,8252,8299	Tetrahydrofurans
2592	800	0.42	-67.987	source:1422,3341,4999	target:6962,7637,8407	Tetrahydrofurans
2592	982	0.41	-230.040	source:110,117,128,329,335,336,337,418,451,459,481,709,727,875,895,1138,1142,1189,1695,4568,4835,4836,5120,5135,5423,6225,6981,7089,7303,7413,8104,8311,8463,8521,8568,8605,8609,8657,8661,8684,8730,8871	target:6962	Tetrahydrofurans
261	261	1.00	0.000	source:	target:	Tetrahydrofurans
2895	2592	0.43	-0.000	source:475,1284,5014,6509,8299	target:110,329,418,895,1138,1695,4999,6225,7089,8202,8311,8381,8463,8605,8609,8657,8684,8730	Tetrahydrofurans
2917	1119	0.43	-182.094	source:502,1127,5114,6731	target:899,5090,8410	Tetrahydrofurans
3030	321	0.63	0.000	source:	target:	Tetrahydrofurans
3165	3165	1.00	0.000	source:	target:	Tetrahydrofurans
317	243	0.72	162.052	source:	target:716,1148,2055,3972,8407	Tetrahydrofurans
3192	2414	0.41	-15.995	source:427,473,510,1147,1268,1426,1433,2562,4768,5116,5126,7755,8447	target:354,1226,1304,3053,5090,5111,5112,6333,8254	Tetrahydrofurans
3237	3237	1.00	0.000	source:	target:	Tetrahydrofurans
326	326	1.00	0.000	source:	target:	Tetrahydrofurans
3297	3297	1.00	0.000	source:	target:	Tetrahydrofurans
3475	3475	1.00	0.000	source:	target:	Tetrahydrofurans
3544	349	0.44	0.036	source:948,971,1109,1304,1346,2055,6587,8273,8327,8428	target:484,502,4967,6161,6318,7637,8202	Tetrahydrofurans
3591	3591	1.00	0.000	source:	target:	Tetrahydrofurans
3683	355	0.41	46.036	source:473,716,2562,6580,6965,7120,7491	target:33,44,56,57,70,333,423,466,469,474,486,505,508,510,521,707,714,785,861,884,898,899,909,910,912,944,962,974,1004,1018,1026,1052,1069,1070,1098,1102,1109,1112,1123,1127,1146,1168,1183,1188,1192,1195,1216,1224,1225,1236,1237,1238,1240,1242,1331,4968,5067,5089,5111,5112,5118,6160,6221,7290,7743,8248,8254,8280,8341,8406,8469,8491	Tetrahydrofurans
3683	676	0.85	0.000	source:	target:	Tetrahydrofurans
3694	3694	1.00	0.000	source:	target:	Tetrahydrofurans
3786	3683	0.53	-162.053	source:723	target:	Tetrahydrofurans
3786	676	0.55	-162.053	source:723	target:	Tetrahydrofurans
386	355	0.70	0.000	source:55	target:	Tetrahydrofurans
3877	1703	0.45	2.016	source:2062	target:4807,5127	Tetrahydrofurans
3877	2316	0.46	-0.000	source:	target:1063,4807	Tetrahydrofurans
3877	2917	0.43	-27.995	source:1004,2062,3341,4928	target:	Tetrahydrofurans
3877	3544	0.42	-18.026	source:3341,8202,8310	target:31,49,117,329,336,337,875,1138,1189,1695,4835,5116,6587,7089,7303,7572,8273,8463,8521,8568,8605,8609,8657,8661,8684,8730	Tetrahydrofurans
389	389	1.00	0.000	source:	target:	Tetrahydrofurans
3949	2414	0.41	-162.053	source:716,727,3341	target:899,6333	Tetrahydrofurans
395	321	0.45	-18.011	source:31,3956	target:	Tetrahydrofurans
4016	2917	0.60	-0.000	source:	target:	Tetrahydrofurans
4088	3683	0.52	0.000	source:	target:	Tetrahydrofurans
4088	3786	0.42	162.053	source:	target:723	Tetrahydrofurans
4088	676	0.49	0.000	source:	target:	Tetrahydrofurans
418	418	1.00	0.000	source:	target:	Tetrahydrofurans
4187	395	0.44	13.980	source:470,514	target:1710	Tetrahydrofurans
4219	317	0.59	-0.000	source:1101,1147	target:1352	Tetrahydrofurans
4284	4284	1.00	0.000	source:	target:	Tetrahydrofurans
4294	4294	1.00	0.000	source:	target:	Tetrahydrofurans
4397	4397	1.00	0.000	source:	target:	Tetrahydrofurans
4403	4403	1.00	0.000	source:	target:	Tetrahydrofurans
4411	4411	1.00	0.000	source:	target:	Tetrahydrofurans
4418	1427	0.89	0.000	source:	target:	Tetrahydrofurans
444	377	0.56	162.052	source:	target:55,716,727	Tetrahydrofurans
4461	4461	1.00	0.000	source:	target:	Tetrahydrofurans
4463	4463	1.00	0.000	source:	target:	Tetrahydrofurans
4649	2398	0.43	-25.956	source:33,707,714,962,1195,1237,4968,6981	target:110,484,487,510,716,7350,7968,8252	Tetrahydrofurans
4721	4721	1.00	0.000	source:	target:	Tetrahydrofurans
4797	349	0.43	0.000	source:1109	target:6161,7640,8020	Tetrahydrofurans
4797	621	0.46	162.053	source:56,1109,1195,4801,4807,6731	target:716,1148,2055,7640	Tetrahydrofurans
4870	4870	1.00	0.000	source:	target:	Tetrahydrofurans
519	519	1.00	0.000	source:	target:	Tetrahydrofurans
527	355	0.44	0.000	source:6972	target:	Tetrahydrofurans
54	54	1.00	0.000	source:	target:	Tetrahydrofurans
566	566	1.00	0.000	source:	target:	Tetrahydrofurans
