source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1100	587	0.48	-132.043	source:110,117,336,337,466,487,875,895,933,1133,1138,1189,1207,1220,1228,1233,1695,1698,4568,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Beta hydroxy acids and derivatives
1100	810	0.44	76.052	source:142,968,980,4736,5105,6103	target:	Beta hydroxy acids and derivatives
1100	903	0.44	32.026	source:49,142,968,980,1698,4736,6103	target:	Beta hydroxy acids and derivatives
1106	236	0.47	-156.004	source:36,48,110,117,329,333,335,337,418,459,466,481,487,709,875,933,1133,1138,1189,1190,1228,3955,3956,4568,5423,6225,6869,7089,7303,8104,8521,8568,8605,8661,8684,8730	target:443,1523,6772,6877,7921,8071,8388	Beta hydroxy acids and derivatives
1106	361	0.42	-186.015	source:36,48,110,117,329,333,335,337,418,459,466,481,487,488,709,875,933,1133,1138,1189,1190,1207,1217,1228,3955,3956,4568,4835,5124,5423,6225,6869,7089,7303,8104,8521,8568,8605,8661,8684,8730	target:2,354,443,465,1523,4863,6772,6877,8071	Beta hydroxy acids and derivatives
1106	587	0.49	-188.031	source:110,117,333,337,466,481,487,875,933,1133,1138,1189,1207,1228,1233,4568,6225,6869,7089,7303,8521,8568,8605,8661,8684,8730	target:4863	Beta hydroxy acids and derivatives
1106	769	0.45	-141.989	source:49,110,117,142,329,333,335,337,466,481,484,875,1133,1138,1189,4568,6225,6869,7089,7303,8521,8568,8605,8661,8684,8730	target:8056	Beta hydroxy acids and derivatives
1106	810	0.55	20.065	source:142,5105	target:	Beta hydroxy acids and derivatives
1106	920	0.43	-188.031	source:48,110,117,329,333,335,337,418,459,466,481,487,709,875,1063,1133,1138,1189,1207,1217,1228,1233,4568,5120,5124,5126,5135,5423,6225,6869,7089,7303,8104,8521,8568,8605,8661,8684,8730	target:2,354,2601,4863	Beta hydroxy acids and derivatives
1138	1100	0.46	0.000	source:	target:	Beta hydroxy acids and derivatives
1138	1106	0.56	55.988	source:443,1698,6677,7413,7572,7639,7640,7760,8270	target:5079	Beta hydroxy acids and derivatives
1138	236	0.46	-100.016	source:36,48,110,117,329,335,336,337,418,459,487,706,709,713,875,895,933,1133,1138,1189,1190,1228,1695,1698,3955,3956,4568,5423,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1523,6772,6877,7921,8071,8388	Beta hydroxy acids and derivatives
1138	587	0.59	-132.043	source:110,117,336,337,487,706,713,875,895,933,1133,1138,1189,1207,1220,1228,1233,1695,1698,4568,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:5079	Beta hydroxy acids and derivatives
1138	769	0.50	-86.001	source:110,117,329,335,336,337,484,706,713,875,895,1133,1138,1189,1695,1698,4568,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Beta hydroxy acids and derivatives
1138	810	0.55	76.052	source:5105,6677,7639,7640	target:	Beta hydroxy acids and derivatives
1138	903	0.46	32.026	source:713,1698,7572,7639,7640	target:	Beta hydroxy acids and derivatives
1138	920	0.48	-132.043	source:48,110,117,329,335,336,337,418,459,487,706,709,713,875,895,1133,1138,1189,1207,1217,1220,1228,1233,1695,1698,4568,5120,5124,5126,5135,5423,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:2,354,2601	Beta hydroxy acids and derivatives
2510	2510	1.00	0.000	source:	target:	Beta hydroxy acids and derivatives
2519	1100	0.52	30.011	source:	target:1695,1698,8657	Beta hydroxy acids and derivatives
2519	1106	0.54	85.998	source:	target:	Beta hydroxy acids and derivatives
2519	1138	0.65	30.010	source:	target:1695,1698,6677,7413,7572,7639,7640,7760,8270,8657	Beta hydroxy acids and derivatives
2519	236	0.45	-70.006	source:36,48,110,117,329,335,336,337,418,459,487,709,713,875,895,933,1133,1138,1189,1190,1228,3955,3956,4568,5423,6225,6869,7089,8104,8521,8568,8605,8661,8684,8730	target:1523,6772,6877,7921,8071,8388	Beta hydroxy acids and derivatives
2519	361	0.41	-100.017	source:36,48,110,117,329,335,336,337,418,459,487,488,709,713,875,895,933,1133,1138,1189,1190,1207,1228,3955,3956,4568,4835,5423,6225,6869,7089,8104,8521,8568,8605,8661,8684,8730	target:2,180,465,1523,6772,6877,8071	Beta hydroxy acids and derivatives
2519	587	0.58	-102.032	source:110,117,336,337,487,713,875,895,933,1133,1138,1189,1207,1228,4568,6225,6869,7089,8521,8568,8605,8661,8684,8730	target:	Beta hydroxy acids and derivatives
2519	594	0.44	-42.011	source:110,117,329,335,336,337,418,470,487,713,875,895,1133,1138,1189,1190,4568,6225,6869,7089,8104,8521,8568,8605,8661,8684,8730	target:180,1331,2835	Beta hydroxy acids and derivatives
2519	769	0.55	-55.990	source:49,110,117,329,335,336,337,484,713,875,895,1133,1138,1189,4568,6225,6869,7089,8521,8568,8605,8661,8684,8730	target:	Beta hydroxy acids and derivatives
2519	802	0.46	-56.027	source:48,110,117,335,336,337,470,487,488,514,709,713,875,895,1133,1138,1189,1190,1228,4568,6225,6869,7089,8104,8521,8568,8605,8661,8684,8730	target:2,180,2601	Beta hydroxy acids and derivatives
2519	810	0.51	106.063	source:5105	target:1695,8657	Beta hydroxy acids and derivatives
2519	903	0.49	62.036	source:49,713	target:1695,8270	Beta hydroxy acids and derivatives
2519	920	0.48	-102.032	source:48,110,117,329,335,336,337,418,459,487,709,713,875,895,1133,1138,1189,1207,1228,4568,5120,5135,5423,6225,6869,7089,8104,8521,8568,8605,8661,8684,8730	target:2,2601	Beta hydroxy acids and derivatives
2755	236	0.46	-26.016	source:36,329,335,418,459,487,709,933,1190,1228,3955,3956,5423,7303,8104	target:443,1212,1220,1221,1233,1523,6772,6877,7102,7921,8071,8388	Beta hydroxy acids and derivatives
361	236	0.49	30.011	source:	target:1207,1217,1220,4835,5124	Beta hydroxy acids and derivatives
3791	2519	0.52	-106.026	source:1695,8657	target:	Beta hydroxy acids and derivatives
3791	361	0.42	-206.043	source:36,48,110,117,329,333,335,336,337,418,459,466,487,488,706,709,875,895,933,1138,1189,1190,1207,1217,1220,1228,1695,3955,3956,4568,4835,5124,5423,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:465,1523,6772,6877,8071	Beta hydroxy acids and derivatives
3791	587	0.56	-208.059	source:110,117,333,336,337,466,487,706,875,895,933,1138,1189,1207,1220,1228,1233,1695,4568,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Beta hydroxy acids and derivatives
