source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1136	1136	1.00	0.000	source:	target:	Imidolactams
1150	1150	1.00	0.000	source:	target:	Imidolactams
1210	1210	1.00	0.000	source:	target:	Imidolactams
1286	1286	1.00	0.000	source:	target:	Imidolactams
1358	1358	1.00	0.000	source:	target:	Imidolactams
1705	1705	1.00	0.000	source:	target:	Imidolactams
1747	1747	1.00	0.000	source:	target:	Imidolactams
1988	1988	1.00	0.000	source:	target:	Imidolactams
2155	2155	1.00	0.000	source:	target:	Imidolactams
2156	2156	1.00	0.000	source:	target:	Imidolactams
2348	2348	1.00	0.000	source:	target:	Imidolactams
2361	2361	1.00	0.000	source:	target:	Imidolactams
2719	2719	1.00	0.000	source:	target:	Imidolactams
2734	2734	1.00	0.000	source:	target:	Imidolactams
2801	2801	1.00	0.000	source:	target:	Imidolactams
28	28	1.00	0.000	source:	target:	Imidolactams
2971	2971	1.00	0.000	source:	target:	Imidolactams
3165	3165	1.00	0.000	source:	target:	Imidolactams
326	326	1.00	0.000	source:	target:	Imidolactams
3279	3279	1.00	0.000	source:	target:	Imidolactams
3282	3282	1.00	0.000	source:	target:	Imidolactams
3	3	1.00	0.000	source:	target:	Imidolactams
3591	3591	1.00	0.000	source:	target:	Imidolactams
3729	3729	1.00	0.000	source:	target:	Imidolactams
4175	4175	1.00	0.000	source:	target:	Imidolactams
4376	4376	1.00	0.000	source:	target:	Imidolactams
4397	4397	1.00	0.000	source:	target:	Imidolactams
4487	4487	1.00	0.000	source:	target:	Imidolactams
4549	4549	1.00	0.000	source:	target:	Imidolactams
4723	2050	0.46	192.064	source:430,463,467,473,485,491,1109	target:461,707,898,958,992,1077,1098,1112,1123,1146,1216,1217,1228,1236,1237,8469	Imidolactams
4755	4755	1.00	0.000	source:	target:	Imidolactams
652	652	1.00	0.000	source:	target:	Imidolactams
67	67	1.00	0.000	source:	target:	Imidolactams
747	747	1.00	0.000	source:	target:	Imidolactams
947	947	1.00	0.000	source:	target:	Imidolactams
2669	2669	1	0	null	null	Imidolactams
409	409	1	0	null	null	Imidolactams
1757	1757	1	0	null	null	Imidolactams
4334	4334	1	0	null	null	Imidolactams
2788	2788	1	0	null	null	Imidolactams
1471	1471	1	0	null	null	Imidolactams
