source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1225	1225	1.00	0.000	source:	target:	Organosulfur compounds
1357	596	0.61	162.053	source:7102,8056	target:31,49,142,329,335,336,337,418,459,484,709,875,1138,1189,1228,1695,1698,4568,4835,4836,5105,5107,5423,6103,6225,6677,6869,7089,7303,7413,7572,7640,7760,7968,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Organosulfur compounds
1442	1442	1.00	0.000	source:	target:	Organosulfur compounds
1712	1712	1.00	0.000	source:	target:	Organosulfur compounds
1747	1747	1.00	0.000	source:	target:	Organosulfur compounds
1905	1905	1.00	0.000	source:	target:	Organosulfur compounds
1910	1910	1.00	0.000	source:	target:	Organosulfur compounds
2080	2080	1.00	0.000	source:	target:	Organosulfur compounds
2348	2348	1.00	0.000	source:	target:	Organosulfur compounds
2359	2359	1.00	0.000	source:	target:	Organosulfur compounds
2403	2403	1.00	0.000	source:	target:	Organosulfur compounds
2670	2670	1.00	0.000	source:	target:	Organosulfur compounds
2686	2686	1.00	0.000	source:	target:	Organosulfur compounds
2734	2734	1.00	0.000	source:	target:	Organosulfur compounds
2801	2801	1.00	0.000	source:	target:	Organosulfur compounds
2836	2836	1.00	0.000	source:	target:	Organosulfur compounds
2855	2855	1.00	0.000	source:	target:	Organosulfur compounds
2927	2927	1.00	0.000	source:	target:	Organosulfur compounds
2929	2929	1.00	0.000	source:	target:	Organosulfur compounds
2945	2945	1.00	0.000	source:	target:	Organosulfur compounds
2971	2971	1.00	0.000	source:	target:	Organosulfur compounds
3136	3136	1.00	0.000	source:	target:	Organosulfur compounds
3517	3517	1.00	0.000	source:	target:	Organosulfur compounds
3729	3729	1.00	0.000	source:	target:	Organosulfur compounds
3777	1357	0.46	-162.053	source:31,49,329,335,336,337,418,443,451,459,484,709,875,1189,1695,1698,4568,4835,4836,5105,5107,5423,6225,6677,6869,7089,7303,7350,7413,7572,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8661,8684,8730	target:7102,8056	Organosulfur compounds
3777	596	0.79	0.000	source:	target:	Organosulfur compounds
3883	3883	1.00	0.000	source:	target:	Organosulfur compounds
4397	4397	1.00	0.000	source:	target:	Organosulfur compounds
4509	4509	1.00	0.000	source:	target:	Organosulfur compounds
4536	4536	1.00	0.000	source:	target:	Organosulfur compounds
4773	4773	1.00	0.000	source:	target:	Organosulfur compounds
4795	4795	1.00	0.000	source:	target:	Organosulfur compounds
52	52	1.00	0.000	source:	target:	Organosulfur compounds
2636	2636	1	0	null	null	Organosulfur compounds
2848	2848	1	0	null	null	Organosulfur compounds
4141	4141	1	0	null	null	Organosulfur compounds
4612	4612	1	0	null	null	Organosulfur compounds
1779	1779	1	0	null	null	Organosulfur compounds
740	740	1	0	null	null	Organosulfur compounds
4570	4570	1	0	null	null	Organosulfur compounds
797	797	1	0	null	null	Organosulfur compounds
4595	4595	1	0	null	null	Organosulfur compounds
1105	1105	1	0	null	null	Organosulfur compounds
2923	2923	1	0	null	null	Organosulfur compounds
2973	2973	1	0	null	null	Organosulfur compounds
3430	3430	1	0	null	null	Organosulfur compounds
