source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1097	461	0.45	-204.063	source:354,489,5111,5112,5118	target:341,427,898,899,1021,1101,1151,1169,1188,1426,2835,3181,5379,7907,8126,8254	Methoxybenzoic acids and derivatives
1525	1525	1.00	0.000	source:	target:	Methoxybenzoic acids and derivatives
3255	1840	0.41	32.012	source:486,785,1268,1428,4942,6369	target:56,1190,1902,6225,7760,8083,8270	Methoxybenzoic acids and derivatives
3255	493	0.44	164.018	source:427,473,502,510,1225,1268,1331,4777,4942,5067	target:2,110,484,499,895,1138,1902,2062,5379,6225,6677,6965,7259,7350,7572,7640,7760,7968,8083,8243,8270	Methoxybenzoic acids and derivatives
3255	514	0.45	194.028	source:427,473,2835,4942,6369	target:2,50,2062,4081,5379,6058,8126,8243,8270	Methoxybenzoic acids and derivatives
3255	554	0.49	1.965	source:427,473,1240	target:5379,6225,7259,7760,8083,8270	Methoxybenzoic acids and derivatives
3255	680	0.42	256.065	source:427,1169,1268,1428,2835,4942,5067,6369,7687	target:2,56,354,359,497,1227,1809,2062,2601,5089,5111,5112,6419,8243	Methoxybenzoic acids and derivatives
3587	3587	1.00	0.000	source:	target:	Methoxybenzoic acids and derivatives
3670	514	0.52	-0.001	source:	target:1695,2055,7089,8270,8463,8568,8605,8609,8657,8684	Methoxybenzoic acids and derivatives
3850	1071	0.41	-30.011	source:5214,8243	target:	Methoxybenzoic acids and derivatives
3850	739	0.41	-194.057	source:25,50,59,128,139,341,427,460,473,481,499,712,1240,1534,2055,4081,4768,4801,4807,4848,5062,5068,5079,5105,5109,5116,5117,5214,5379,6053,6509,6965,6988,7144,7755,7780,7840,8243,8349,8494,8871	target:1132,1181,1428,7404	Methoxybenzoic acids and derivatives
493	461	0.49	-116.011	source:484,6677	target:427,473,476,1225,8254	Methoxybenzoic acids and derivatives
493	468	0.44	27.995	source:499,1305,7640	target:5105,5124,5126	Methoxybenzoic acids and derivatives
554	461	0.42	46.042	source:486	target:427,473,7907,8254	Methoxybenzoic acids and derivatives
554	493	0.41	162.053	source:1331	target:110,484,499,6677,6965,7572,7640	Methoxybenzoic acids and derivatives
611	514	0.49	162.053	source:1132,1190,2835,7350,7968	target:2,6058	Methoxybenzoic acids and derivatives
784	461	0.43	16.031	source:486	target:1426,7907	Methoxybenzoic acids and derivatives
784	514	0.51	162.053	source:1190	target:6058	Methoxybenzoic acids and derivatives
880	858	0.78	-0.000	source:	target:	Methoxybenzoic acids and derivatives
898	784	0.43	-192.064	source:25,128,6509,6580,6677,6965,7144,7572,7639,7640,7780,8494,8871	target:898,899,1169,1188,3181,7259	Methoxybenzoic acids and derivatives
906	784	0.64	-30.011	source:	target:8243	Methoxybenzoic acids and derivatives
967	784	0.61	-162.053	source:	target:50,1190,3181,8126	Methoxybenzoic acids and derivatives
3253	3253	1	0	null	null	Methoxybenzoic acids and derivatives
2935	2935	1	0	null	null	Methoxybenzoic acids and derivatives
1176	1176	1	0	null	null	Methoxybenzoic acids and derivatives
1346	1346	1	0	null	null	Methoxybenzoic acids and derivatives
454	454	1	0	null	null	Methoxybenzoic acids and derivatives
952	952	1	0	null	null	Methoxybenzoic acids and derivatives
968	968	1	0	null	null	Methoxybenzoic acids and derivatives
2395	2395	1	0	null	null	Methoxybenzoic acids and derivatives
1560	1560	1	0	null	null	Methoxybenzoic acids and derivatives
1562	1562	1	0	null	null	Methoxybenzoic acids and derivatives
