source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1150	1150	1.00	0.000	source:	target:	Amines
1210	1210	1.00	0.000	source:	target:	Amines
1286	1286	1.00	0.000	source:	target:	Amines
1358	1358	1.00	0.000	source:	target:	Amines
140	140	1.00	0.000	source:	target:	Amines
1586	1586	1.00	0.000	source:	target:	Amines
1658	1658	1.00	0.000	source:	target:	Amines
1679	1679	1.00	0.000	source:	target:	Amines
1747	1747	1.00	0.000	source:	target:	Amines
1808	1808	1.00	0.000	source:	target:	Amines
1847	1847	1.00	0.000	source:	target:	Amines
1875	1875	1.00	0.000	source:	target:	Amines
1920	146	0.41	-33.818	source:300,409,430,463,467,473,491,935,939,6244,6499,6538,6924,7152,7755	target:117,336,337,481,875,1138,1189,1228,1433,4568,4810,5067,5117,5137,5334,7089,8083,8447,8521,8605,8661	Amines
193	172	0.74	-0.000	source:	target:5137	Amines
1988	1988	1.00	0.000	source:	target:	Amines
20	20	1.00	0.000	source:	target:	Amines
202	202	1.00	0.000	source:	target:	Amines
2082	2082	1.00	0.000	source:	target:	Amines
2156	2156	1.00	0.000	source:	target:	Amines
2315	2315	1.00	0.000	source:	target:	Amines
2348	2348	1.00	0.000	source:	target:	Amines
2361	2361	1.00	0.000	source:	target:	Amines
2543	2543	1.00	0.000	source:	target:	Amines
2719	2719	1.00	0.000	source:	target:	Amines
2772	2772	1.00	0.000	source:	target:	Amines
28	28	1.00	0.000	source:	target:	Amines
29	29	1.00	0.000	source:	target:	Amines
2931	2931	1.00	0.000	source:	target:	Amines
2971	2971	1.00	0.000	source:	target:	Amines
3165	3165	1.00	0.000	source:	target:	Amines
326	326	1.00	0.000	source:	target:	Amines
3279	3279	1.00	0.000	source:	target:	Amines
3282	3282	1.00	0.000	source:	target:	Amines
3	3	1.00	0.000	source:	target:	Amines
34	34	1.00	0.000	source:	target:	Amines
3591	3591	1.00	0.000	source:	target:	Amines
3729	3729	1.00	0.000	source:	target:	Amines
3794	3794	1.00	0.000	source:	target:	Amines
3868	3868	1.00	0.000	source:	target:	Amines
4175	4175	1.00	0.000	source:	target:	Amines
418	418	1.00	0.000	source:	target:	Amines
4316	4316	1.00	0.000	source:	target:	Amines
4376	4376	1.00	0.000	source:	target:	Amines
4397	4397	1.00	0.000	source:	target:	Amines
4487	4487	1.00	0.000	source:	target:	Amines
4549	4549	1.00	0.000	source:	target:	Amines
4614	4614	1.00	0.000	source:	target:	Amines
4723	2050	0.46	192.064	source:430,463,467,473,485,491,1109	target:461,707,898,958,992,1077,1098,1112,1123,1146,1216,1217,1228,1236,1237,8469	Amines
4728	4728	1.00	0.000	source:	target:	Amines
4870	4870	1.00	0.000	source:	target:	Amines
519	519	1.00	0.000	source:	target:	Amines
54	54	1.00	0.000	source:	target:	Amines
55	55	1.00	0.000	source:	target:	Amines
600	600	1.00	0.000	source:	target:	Amines
652	652	1.00	0.000	source:	target:	Amines
67	67	1.00	0.000	source:	target:	Amines
742	742	1.00	0.000	source:	target:	Amines
747	747	1.00	0.000	source:	target:	Amines
795	795	1.00	0.000	source:	target:	Amines
8	8	1.00	0.000	source:	target:	Amines
91	91	1.00	0.000	source:	target:	Amines
947	947	1.00	0.000	source:	target:	Amines
2669	2669	1	0	null	null	Amines
1347	1347	1	0	null	null	Amines
38	38	1	0	null	null	Amines
1884	1884	1	0	null	null	Amines
3654	3654	1	0	null	null	Amines
2848	2848	1	0	null	null	Amines
1092	1092	1	0	null	null	Amines
4625	4625	1	0	null	null	Amines
4653	4653	1	0	null	null	Amines
1757	1757	1	0	null	null	Amines
4334	4334	1	0	null	null	Amines
2232	2232	1	0	null	null	Amines
409	409	1	0	null	null	Amines
1471	1471	1	0	null	null	Amines
4067	4067	1	0	null	null	Amines
4541	4541	1	0	null	null	Amines
104	104	1	0	null	null	Amines
3286	3286	1	0	null	null	Amines
1609	1609	1	0	null	null	Amines
