source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1136	1136	1.00	0.000	source:	target:	Azoles
1210	1210	1.00	0.000	source:	target:	Azoles
1276	1276	1.00	0.000	source:	target:	Azoles
1358	1358	1.00	0.000	source:	target:	Azoles
1624	1624	1.00	0.000	source:	target:	Azoles
1640	1640	1.00	0.000	source:	target:	Azoles
1705	1705	1.00	0.000	source:	target:	Azoles
1747	1747	1.00	0.000	source:	target:	Azoles
1988	1988	1.00	0.000	source:	target:	Azoles
2080	2080	1.00	0.000	source:	target:	Azoles
2143	2143	1.00	0.000	source:	target:	Azoles
2156	2156	1.00	0.000	source:	target:	Azoles
2347	2347	1.00	0.000	source:	target:	Azoles
2348	2348	1.00	0.000	source:	target:	Azoles
2359	2359	1.00	0.000	source:	target:	Azoles
2361	2361	1.00	0.000	source:	target:	Azoles
2580	2580	1.00	0.000	source:	target:	Azoles
3165	3165	1.00	0.000	source:	target:	Azoles
326	326	1.00	0.000	source:	target:	Azoles
3591	3591	1.00	0.000	source:	target:	Azoles
3694	3694	1.00	0.000	source:	target:	Azoles
3973	3973	1.00	0.000	source:	target:	Azoles
4376	4376	1.00	0.000	source:	target:	Azoles
4549	4549	1.00	0.000	source:	target:	Azoles
4716	4716	1.00	0.000	source:	target:	Azoles
4755	4755	1.00	0.000	source:	target:	Azoles
52	52	1.00	0.000	source:	target:	Azoles
600	600	1.00	0.000	source:	target:	Azoles
742	742	1.00	0.000	source:	target:	Azoles
883	883	1.00	0.000	source:	target:	Azoles
947	947	1.00	0.000	source:	target:	Azoles
2669	2669	1	0	null	null	Azoles
3646	3646	1	0	null	null	Azoles
1796	1796	1	0	null	null	Azoles
2788	2788	1	0	null	null	Azoles
1471	1471	1	0	null	null	Azoles
409	409	1	0	null	null	Azoles
3934	3934	1	0	null	null	Azoles
