source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1004	184	0.70	-0.000	source:1433,5062	target:	Fatty acids and conjugates
1073	526	0.65	0.000	source:1762	target:	Fatty acids and conjugates
1073	636	0.48	0.000	source:1762,1790	target:	Fatty acids and conjugates
1073	683	0.46	18.011	source:1754,1762,1790	target:1167,1409,4816	Fatty acids and conjugates
1096	1096	1.00	0.000	source:	target:	Fatty acids and conjugates
110	110	1.00	0.000	source:	target:	Fatty acids and conjugates
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Fatty acids and conjugates
1151	504	0.56	-0.000	source:	target:	Fatty acids and conjugates
1160	994	0.62	0.000	source:49	target:	Fatty acids and conjugates
1163	1047	0.44	128.121	source:8428,8447	target:56,414,452,469,475,479,489,492,508,516,1107,1752,1755,1756,1766,1776,1778,1790,5079,5100,5105,5107,5109,5114,5116,5117,5120,5135,5138,5145,7073	Fatty acids and conjugates
1163	801	0.48	18.011	source:	target:66,180,414,427,473,492,521,867,1099,1107,1209,1433,1710,2562,4833,5079,5100,5105,5109,5145,6219	Fatty acids and conjugates
1163	867	0.41	2.052	source:	target:55,180,427,510,521,1099,1422,1707,1710,4777,4833,5079,5100,5105,5109,5145,6219,6350	Fatty acids and conjugates
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Fatty acids and conjugates
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Fatty acids and conjugates
1209	594	0.47	80.011	source:55,59,521,1506	target:31,180,414,452,492,1207,1209,1217,1221,1233,1331,1410,1706,2835,4835,4836,5105,5107,5109,5114,5116,5117,5120,5124,5126,5135,5138,6962	Fatty acids and conjugates
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Fatty acids and conjugates
127	127	1.00	0.000	source:	target:	Fatty acids and conjugates
1303	526	0.41	-15.995	source:359,450,1409,1760,6510	target:4736,6574	Fatty acids and conjugates
1320	781	0.41	-114.105	source:1240,1755,1756,1790,6510,7073,8211,8399	target:867,874,1099,5117	Fatty acids and conjugates
1364	781	0.96	-0.000	source:	target:	Fatty acids and conjugates
1378	169	0.47	0.036	source:497,1956,2601	target:469,490,521,1758,8581	Fatty acids and conjugates
1378	60	0.83	-0.000	source:	target:1817	Fatty acids and conjugates
1394	154	0.66	-0.000	source:	target:1762	Fatty acids and conjugates
1394	201	0.63	0.000	source:55,1069	target:	Fatty acids and conjugates
140	140	1.00	0.000	source:	target:	Fatty acids and conjugates
1410	1304	0.70	-0.000	source:	target:	Fatty acids and conjugates
1443	1023	0.41	-98.073	source:55,469	target:	Fatty acids and conjugates
145	145	1.00	0.000	source:	target:	Fatty acids and conjugates
1466	516	0.42	2.016	source:944,8399	target:	Fatty acids and conjugates
1466	966	0.56	-0.002	source:944,974	target:	Fatty acids and conjugates
1468	1023	0.45	-0.000	source:	target:6221	Fatty acids and conjugates
1508	1004	0.60	0.000	source:433,4844	target:	Fatty acids and conjugates
1508	184	0.68	0.000	source:415,1428,1433,1710,4844,5062,8447	target:	Fatty acids and conjugates
1510	1510	1.00	0.000	source:	target:	Fatty acids and conjugates
1524	263	0.57	-0.000	source:477	target:	Fatty acids and conjugates
1582	229	0.62	-0.000	source:1240	target:1760,1766,8001,8211	Fatty acids and conjugates
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Fatty acids and conjugates
1593	1164	0.47	43.990	source:	target:	Fatty acids and conjugates
1614	1117	0.64	-0.000	source:	target:450,1425	Fatty acids and conjugates
1614	209	0.46	0.037	source:1433	target:490,874,1216,1217,1760,1766,5129,5130,5133,8001,8211	Fatty acids and conjugates
1614	40	0.53	-0.000	source:55,361,475,1790	target:1217,1760,1766,7356,8001,8211	Fatty acids and conjugates
1649	1649	1.00	0.000	source:	target:	Fatty acids and conjugates
1665	994	0.49	2.016	source:49,968,2601,6103	target:30,66,415,473,865,1708,2562,2564,7302	Fatty acids and conjugates
169	156	0.65	-0.000	source:1766,8581	target:476,1220	Fatty acids and conjugates
1727	121	0.47	0.000	source:	target:4736	Fatty acids and conjugates
1727	182	0.68	0.000	source:55,475,521,1758,1762,1770,1778,1790	target:466,706,707,713,1236,1239,1304,4800,4801,6294	Fatty acids and conjugates
1727	356	0.43	-2.015	source:	target:1817,4736	Fatty acids and conjugates
1727	510	0.45	0.000	source:	target:4736	Fatty acids and conjugates
1727	610	0.45	-114.141	source:1026,1224,1756,1758,1762,1770,7073,8211	target:867,874,4816,4863	Fatty acids and conjugates
1765	781	0.44	-66.011	source:359,414,1534,1809	target:874,1099,1216,5133	Fatty acids and conjugates
179	179	1.00	0.000	source:	target:	Fatty acids and conjugates
1802	248	0.44	-15.995	source:37,1109,1433,5197	target:56,490,508,1817,4736,5127	Fatty acids and conjugates
1818	1394	0.81	-0.000	source:7900	target:55,469,521	Fatty acids and conjugates
