source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	415	0.63	30.011	source:359	target:6965	Ketones
1019	427	0.51	32.027	source:59,359,411,460,1101,4848,6218	target:490,1225,1240,1707,5130,6432	Ketones
1019	469	0.63	46.006	source:359,6506,6917,6966	target:49,5062	Ketones
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Ketones
1597	1179	0.47	-0.000	source:	target:	Ketones
1610	380	0.43	18.010	source:515,948,971,6965	target:6160	Ketones
1610	469	0.51	-2.016	source:	target:49,5062	Ketones
1610	904	0.88	-0.000	source:	target:	Ketones
1636	1636	1.00	0.000	source:	target:	Ketones
1954	415	0.43	30.011	source:33,354,1026	target:1426	Ketones
1954	953	0.45	30.011	source:33	target:1426	Ketones
2205	2205	1.00	0.000	source:	target:	Ketones
2212	2212	1.00	0.000	source:	target:	Ketones
2261	1019	0.42	-48.021	source:49,1225,1707,5130,6393,6580,6731,6965,7120	target:59,359,411,460,944,1018,1101,2055,4848,6218,6326,6380,6506,6917,6930,6966,7160,7350,7760,7761,7968,8274,8407	Ketones
2261	1610	0.49	0.001	source:49	target:460,2055,7350,7760,7968	Ketones
2261	362	0.41	-18.010	source:30,1707,5130,6902,7210,8210,8569	target:	Ketones
2261	415	0.45	-18.010	source:49,1707,5130,6393,6731	target:460,944,1018,1902,2055,4848,7350,7760,7968,8274	Ketones
2261	469	0.45	-2.016	source:6731,7210	target:59,460,2055,4848,7760	Ketones
2261	904	0.47	0.000	source:49,1238,7210,8210,8569	target:2055,7760	Ketones
2261	953	0.41	-18.010	source:49,1707,5130,6731	target:411,460,944,1018,2055,4848,7350,7760,7968,8274	Ketones
3611	3611	1.00	0.000	source:	target:	Ketones
3782	1019	0.51	-30.011	source:33,1225,1240,1433	target:30,59,411,460,865,1101,2565,4848,6218,6326,6380,6506,6885,6917,6930,6966,7160,7761	Ketones
3782	362	0.66	-0.000	source:	target:	Ketones
3782	415	0.57	-0.000	source:33,1026	target:30,460,865,2565,4848	Ketones
3782	427	0.53	2.016	source:33,1428	target:865,5130,6380,6432,6917,6930,6966,7160,7761	Ketones
3897	427	0.55	0.000	source:	target:490,6380,6966,7160	Ketones
3897	953	0.44	-2.015	source:508,1707	target:411,4848	Ketones
4136	399	0.44	-0.000	source:	target:	Ketones
415	362	0.45	-0.000	source:30	target:33,1026	Ketones
4235	399	0.41	0.000	source:	target:5116	Ketones
4235	4136	0.46	0.000	source:	target:	Ketones
427	415	0.53	-2.016	source:466,490,1707,5130	target:460,1902,4848	Ketones
4571	4571	1.00	0.000	source:	target:	Ketones
469	362	0.41	-15.995	source:30,59,6885	target:33	Ketones
469	380	0.42	20.027	source:49,515,948,971,1063,5062,7549	target:	Ketones
469	415	0.48	-15.995	source:49,5062,8441	target:	Ketones
4793	4793	1.00	0.000	source:	target:	Ketones
4814	1019	0.57	13.979	source:490,1225,1240,1427,5130	target:30,59,359,411,460,1101,1109,1534,4848,5079,6218,6885	Ketones
4814	1610	0.50	62.001	source:490,1427,6326,6380,6506,6966,7160,7761	target:30,460,515,971,1534,6885,6965,8441	Ketones
4814	2261	0.50	62.000	source:490,1427,2055,6326,6380,6506,6917,6930,6966,7160,7760,7761,8274,8407	target:30,49,6393,6580,6731,6965,7120	Ketones
