source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1062	321	0.43	-2.016	source:514,3956	target:	Lactones
1062	395	0.59	15.995	source:514,1133	target:	Lactones
1062	799	0.47	-2.016	source:514,1706,3956	target:	Lactones
1259	1062	0.58	-2.016	source:	target:49,1133,2601	Lactones
1259	395	0.43	13.979	source:470,514	target:	Lactones
1259	799	0.42	-4.031	source:31,470,514,1706,1708,5079,5135	target:1133,1214	Lactones
1827	1827	1.00	0.000	source:	target:	Lactones
1890	643	0.45	-1.979	source:142,484,980,1222,4736,4833,5379,6211	target:470,514,6160	Lactones
1903	643	0.57	-0.000	source:	target:6160	Lactones
1948	1062	0.42	15.995	source:1506	target:514,516,1133,1190,1433	Lactones
1948	1259	0.43	18.011	source:	target:31,470,514,516,1433	Lactones
1948	321	0.43	13.979	source:1506	target:1214,1433	Lactones
1948	643	0.44	26.016	source:142,484,968,980,1506,6103	target:59,460,470,514,1433,2835,6962	Lactones
2168	1890	0.67	-0.000	source:	target:	Lactones
2168	1948	0.45	-27.995	source:50,59,427,1433,4081,5198,5214,5367,5379	target:1506	Lactones
2168	321	0.45	-14.016	source:50,59,427,3956,4081,4768,4818,5198,5214,5367,5379	target:	Lactones
2168	643	0.53	-1.979	source:50,142,484,968,980,4081,4736,4833,5198,5214,5367,5379,6103,6211	target:470,514,6160,6962	Lactones
2231	2231	1.00	0.000	source:	target:	Lactones
2518	2518	1.00	0.000	source:	target:	Lactones
2708	530	0.41	15.995	source:	target:56,57,861,5116,5124	Lactones
2708	873	0.54	0.000	source:	target:861	Lactones
2742	1890	0.52	15.995	source:	target:473,1222,1433	Lactones
2742	2168	0.54	15.995	source:1052,1168	target:1433,5198,5214	Lactones
2841	1062	0.42	-27.995	source:59,427,473,4768,5379	target:2,49,354,514,1133,2601	Lactones
2841	1890	0.49	-15.995	source:	target:	Lactones
2841	1948	0.45	-43.990	source:59,427,473,1433,5379	target:2	Lactones
2841	2168	0.45	-15.995	source:	target:	Lactones
2841	643	0.51	-17.974	source:484,990,4736,4833,5379,6211	target:470,514,1103,6160,6962	Lactones
2841	799	0.41	-30.011	source:59,427,473,1706,3956,4768,5135,5379	target:1133,1214	Lactones
2905	2708	0.50	-0.000	source:	target:1209,1428,1433	Lactones
2905	873	0.48	0.000	source:484,968,5379,6103	target:861,4807	Lactones
3030	1062	0.42	2.016	source:	target:514	Lactones
3030	321	0.63	0.000	source:	target:	Lactones
3030	799	0.66	0.000	source:	target:	Lactones
3311	3311	1.00	0.000	source:	target:	Lactones
3789	1062	0.55	-2.016	source:1902,4835,4836	target:2,49,142,354,968,980,1133,2601,4736,5105,6103	Lactones
3789	1259	0.82	0.000	source:	target:980	Lactones
3789	1948	0.49	-18.011	source:31,470,514,1902,4835,4836,5423	target:2,142,968,980,1506,6103	Lactones
3789	395	0.43	13.980	source:459,470,514,1902	target:2,142,968,980,1710,4736,5105,6103	Lactones
395	321	0.45	-18.011	source:31,3956	target:	Lactones
4187	1062	0.52	-2.016	source:4835,4836	target:49,1133,2601	Lactones
4187	1259	0.80	0.000	source:	target:	Lactones
4187	1948	0.45	-18.011	source:31,470,514,1433,4835,4836,5423	target:1506	Lactones
4187	3789	0.81	-0.000	source:5105	target:	Lactones
4187	395	0.44	13.980	source:470,514	target:1710	Lactones
4187	799	0.44	-4.031	source:31,452,470,514,1706,1708,3956,4835,4836,5126,5135,5423	target:1133	Lactones
4244	4244	1.00	0.000	source:	target:	Lactones
4379	1890	0.52	0.000	source:470	target:	Lactones
4379	2168	0.52	0.000	source:470	target:	Lactones
4379	2742	0.49	-15.995	source:470,1433	target:974,1052	Lactones
4379	643	0.44	-1.979	source:142,484,980,990,4736,4833,6211	target:	Lactones
4411	4411	1.00	0.000	source:	target:	Lactones
4574	2407	0.47	-0.000	source:	target:	Lactones
4679	4679	1.00	0.000	source:	target:	Lactones
4798	4798	1.00	0.000	source:	target:	Lactones
799	321	0.67	-0.000	source:	target:5079	Lactones
799	395	0.53	18.011	source:1133	target:31,1706,1710,3956,5079	Lactones
873	530	0.47	15.995	source:	target:484,674,968	Lactones
3411	3411	1	0	null	null	Lactones
815	815	1	0	null	null	Lactones
3944	3944	1	0	null	null	Lactones
3129	3129	1	0	null	null	Lactones
595	595	1	0	null	null	Lactones
4693	4693	1	0	null	null	Lactones
4869	4869	1	0	null	null	Lactones
