source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1466	516	0.42	2.016	source:944,8399	target:	Lineolic acids and derivatives
1466	966	0.56	-0.002	source:944,974	target:	Lineolic acids and derivatives
1582	229	0.62	-0.000	source:1240	target:1760,1766,8001,8211	Lineolic acids and derivatives
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Lineolic acids and derivatives
1597	1179	0.47	-0.000	source:	target:	Lineolic acids and derivatives
1597	727	0.59	0.000	source:1234	target:	Lineolic acids and derivatives
258	258	1.00	0.000	source:	target:	Lineolic acids and derivatives
2820	1597	0.66	0.000	source:	target:	Lineolic acids and derivatives
2820	727	0.66	0.000	source:477,4800	target:	Lineolic acids and derivatives
3190	1179	0.44	-0.000	source:1216,1790	target:1706,5105,5116	Lineolic acids and derivatives
3190	1597	0.45	0.000	source:1217,1790	target:1234,5116	Lineolic acids and derivatives
4101	325	0.47	0.000	source:	target:4783	Lineolic acids and derivatives
4103	4099	0.47	-0.000	source:	target:	Lineolic acids and derivatives
432	366	0.62	0.000	source:	target:	Lineolic acids and derivatives
4389	645	0.45	0.000	source:8001	target:	Lineolic acids and derivatives
455	366	0.41	-0.000	source:	target:	Lineolic acids and derivatives
4750	251	0.45	-0.000	source:	target:1191	Lineolic acids and derivatives
4750	405	0.48	-0.000	source:	target:	Lineolic acids and derivatives
4750	4103	0.59	-2.016	source:	target:	Lineolic acids and derivatives
488	364	0.42	0.000	source:	target:59	Lineolic acids and derivatives
516	231	0.41	-98.074	source:493,1216,1224,1762,1770,1790,5130,5135,5145,8211	target:	Lineolic acids and derivatives
580	580	1.00	0.000	source:	target:	Lineolic acids and derivatives
433	433	1	0	null	null	Lineolic acids and derivatives
107	107	1	0	null	null	Lineolic acids and derivatives
1443	1443	1	0	null	null	Lineolic acids and derivatives
4081	4081	1	0	null	null	Lineolic acids and derivatives
1151	1151	1	0	null	null	Lineolic acids and derivatives
324	324	1	0	null	null	Lineolic acids and derivatives
329	329	1	0	null	null	Lineolic acids and derivatives
4292	4292	1	0	null	null	Lineolic acids and derivatives
570	570	1	0	null	null	Lineolic acids and derivatives
