source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
110	110	1.00	0.000	source:	target:	Medium-chain fatty acids
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Medium-chain fatty acids
1303	526	0.41	-15.995	source:359,450,1409,1760,6510	target:4736,6574	Medium-chain fatty acids
1364	781	0.96	-0.000	source:	target:	Medium-chain fatty acids
1510	1510	1.00	0.000	source:	target:	Medium-chain fatty acids
1593	1164	0.47	43.990	source:	target:	Medium-chain fatty acids
1614	1117	0.64	-0.000	source:	target:450,1425	Medium-chain fatty acids
1614	209	0.46	0.037	source:1433	target:490,874,1216,1217,1760,1766,5129,5130,5133,8001,8211	Medium-chain fatty acids
1614	40	0.53	-0.000	source:55,361,475,1790	target:1217,1760,1766,7356,8001,8211	Medium-chain fatty acids
1860	1164	0.59	-0.000	source:1912,7356	target:	Medium-chain fatty acids
1899	1117	0.52	-0.000	source:	target:1103	Medium-chain fatty acids
1899	1614	0.55	0.000	source:1217,1766	target:	Medium-chain fatty acids
1899	213	0.46	0.036	source:2601,6237	target:490,521,5130	Medium-chain fatty acids
1899	40	0.76	-0.000	source:361,6237	target:497,8211	Medium-chain fatty acids
1950	1950	1.00	0.000	source:	target:	Medium-chain fatty acids
2056	1164	0.47	43.990	source:55,521	target:479,874,1195	Medium-chain fatty acids
2056	1593	0.46	-0.000	source:	target:66,1195	Medium-chain fatty acids
209	40	0.41	-0.037	source:361,521,874,5133	target:451,497	Medium-chain fatty acids
2106	2106	1.00	0.000	source:	target:	Medium-chain fatty acids
213	209	0.54	0.000	source:	target:1760,8211	Medium-chain fatty acids
213	40	0.54	-0.036	source:361,469,521	target:492,497,1760,1817,2601,7356,8211	Medium-chain fatty acids
2247	2202	0.43	-0.000	source:1095,1770	target:66,513	Medium-chain fatty acids
2266	378	0.43	0.000	source:37,477,5197	target:	Medium-chain fatty acids
2339	1303	0.45	0.000	source:	target:450	Medium-chain fatty acids
2339	526	0.41	-15.995	source:1409	target:6574	Medium-chain fatty acids
2500	1899	0.41	0.000	source:	target:	Medium-chain fatty acids
2641	526	0.72	0.000	source:1207,1760,5124,6510,7356	target:	Medium-chain fatty acids
2641	636	0.69	0.000	source:1109	target:1147	Medium-chain fatty acids
2678	2678	1.00	0.000	source:	target:	Medium-chain fatty acids
2754	2695	0.55	-0.000	source:	target:	Medium-chain fatty acids
2784	2784	1.00	0.000	source:	target:	Medium-chain fatty acids
2803	68	0.48	1.979	source:55,361,450,521	target:2,484,515,948,968,971,980,1817,2601,4736,5062,5105,5145,6103	Medium-chain fatty acids
2861	56	0.58	0.000	source:477,1409	target:1756,1766,7073	Medium-chain fatty acids
2861	620	0.50	0.000	source:	target:1534,1756,1766	Medium-chain fatty acids
2861	71	0.47	1.979	source:55,361,521	target:1220,1232,1756,1760,1766,7073,7356,8211	Medium-chain fatty acids
3007	2056	0.48	0.000	source:1534	target:6237	Medium-chain fatty acids
3126	2641	0.54	-0.000	source:477,513,1409,1762	target:1760,1766	Medium-chain fatty acids
3126	2803	0.43	0.036	source:2,484,515,948,968,971,980,1762,1770,1790,2601,4736,5062,5105,5145,6103	target:450,1766	Medium-chain fatty acids
3126	526	0.61	0.000	source:476,477,513,521,1409,1762,1770,5124,5126	target:	Medium-chain fatty acids
3126	636	0.59	0.000	source:476,477,513,1109,1409,1762,1770,1790	target:1101,1147,1760,1766	Medium-chain fatty acids
3126	683	0.43	18.011	source:476,477,1754,1762,1770,1790	target:1167,1760,1766	Medium-chain fatty acids
3254	2861	0.76	-0.000	source:1790	target:	Medium-chain fatty acids
3254	56	0.57	0.000	source:476,477	target:1766,7073	Medium-chain fatty acids
3254	620	0.44	0.000	source:	target:1766	Medium-chain fatty acids
3254	71	0.41	1.979	source:55,476,521	target:1220,1232,1760,1766,5105,5126,5130,7073,8211	Medium-chain fatty acids
3393	209	0.41	2.016	source:	target:1760,1766,1778,8001,8211	Medium-chain fatty acids
3393	213	0.54	2.016	source:513	target:5138	Medium-chain fatty acids
3447	2851	0.53	-0.000	source:	target:	Medium-chain fatty acids
3454	2167	0.48	0.000	source:	target:1965	Medium-chain fatty acids
3569	1164	0.46	-0.000	source:1912,7356,8001	target:414,1195,5127	Medium-chain fatty acids
3569	1860	0.53	0.000	source:	target:466,513,1425	Medium-chain fatty acids
3596	318	0.48	-0.036	source:414,521	target:37,1912,4736	Medium-chain fatty acids
3596	3447	0.44	0.000	source:	target:	Medium-chain fatty acids
3598	318	0.55	-0.000	source:	target:	Medium-chain fatty acids
3598	3596	0.43	0.036	source:1912,4736	target:414,1752	Medium-chain fatty acids
3749	1303	0.45	-0.000	source:66,451,1099,4736,4783	target:359,6510	Medium-chain fatty acids
3749	3535	0.66	-0.000	source:4736,4783	target:4844	Medium-chain fatty acids
3883	3883	1.00	0.000	source:	target:	Medium-chain fatty acids
4095	1524	0.65	0.000	source:	target:477	Medium-chain fatty acids
4112	236	0.55	-0.000	source:	target:	Medium-chain fatty acids
4112	802	0.49	13.979	source:443,470,514,1523,1902,6772,8071,8388	target:142,484,968,980,6103,6229	Medium-chain fatty acids
4131	1117	0.49	-0.000	source:451,1191,5127	target:1103,1167	Medium-chain fatty acids
4131	1614	0.69	0.000	source:513,867,1217,1425,4816,7356	target:	Medium-chain fatty acids
4131	1899	0.65	-0.000	source:1762,1770	target:	Medium-chain fatty acids
4131	209	0.51	0.037	source:451,476,493,867,1191,1425,1762,1770,4816,4844,6237	target:521,5133,8211	Medium-chain fatty acids
4131	213	0.41	0.036	source:513,867,1191,1425,1762,1770,1790,1817,2601,4816,4844,6237,7356	target:521	Medium-chain fatty acids
4131	3393	0.41	-1.979	source:451,493,1191,1425,1778,1817,4844,5138,6237,7356	target:521	Medium-chain fatty acids
4131	40	0.72	-0.000	source:469,476,513,867,1191,1425,1762,1770,1790,4816,4844,6237	target:497,8211	Medium-chain fatty acids
4170	1117	0.43	-0.000	source:451,1216,5127	target:1103	Medium-chain fatty acids
4170	1614	0.64	-0.000	source:513,867,1216,1217,4816,8379	target:	Medium-chain fatty acids
4170	1899	0.59	-0.000	source:1762,8379	target:	Medium-chain fatty acids
4170	209	0.59	0.036	source:451,867,1706,1762,4816,8379	target:521,8211	Medium-chain fatty acids
4170	213	0.45	0.036	source:492,513,867,1762,2601,4816,8379	target:521	Medium-chain fatty acids
4170	2500	0.43	-0.000	source:1762,8379	target:	Medium-chain fatty acids
4170	3393	0.45	-1.979	source:451,492,1706,1778,5138	target:521	Medium-chain fatty acids
4170	40	0.78	-0.000	source:361,469,513,867,1762,4816,8379	target:8211	Medium-chain fatty acids
4170	4131	0.91	-0.000	source:	target:	Medium-chain fatty acids
4209	1023	0.57	-0.000	source:	target:6221	Medium-chain fatty acids
4209	2270	0.49	18.011	source:1534,1746,1755,6574	target:1095,1099,1167,1425	Medium-chain fatty acids
4510	1164	0.78	-0.000	source:	target:1195,5127	Medium-chain fatty acids
4510	1593	0.47	-43.990	source:	target:1195	Medium-chain fatty acids
4510	1860	0.50	0.000	source:	target:1817,1912,7356	Medium-chain fatty acids
4510	2056	0.45	-43.990	source:479,874,5107	target:55,521,1212	Medium-chain fatty acids
4556	610	0.64	-0.000	source:	target:493,5116	Medium-chain fatty acids
4556	71	0.61	0.000	source:361,894	target:56,493,1752,1755,1809,4736,5116,6510,7356,8211	Medium-chain fatty acids
4626	3682	0.53	-0.000	source:1109	target:7073	Medium-chain fatty acids
4626	610	0.48	-0.036	source:	target:2,1212,1232,2601,4816,4844	Medium-chain fatty acids
4626	71	0.48	-0.036	source:55,476,521,1095	target:2,1212,1220,1232,1754,2601,7073,7356	Medium-chain fatty acids
4626	781	0.43	-28.031	source:477	target:5133	Medium-chain fatty acids
4738	1117	0.50	-0.000	source:	target:450,1103,1425	Medium-chain fatty acids
4738	1614	0.71	0.000	source:1760	target:1790	Medium-chain fatty acids
4738	1899	0.50	0.000	source:497	target:6237	Medium-chain fatty acids
4738	40	0.69	-0.000	source:55	target:8211	Medium-chain fatty acids
4738	4131	0.50	0.000	source:497	target:469,867,1191,1425,1762,1770,1790,4816,4844,5127,6237	Medium-chain fatty acids
4738	4170	0.51	0.000	source:	target:469,867,1216,1762,4816,5127,8379	Medium-chain fatty acids
610	71	0.68	0.000	source:55,476,521,4816,4844,6237	target:1756,7073,8211	Medium-chain fatty acids
620	610	0.43	1.979	source:1534,1756	target:493,867,874,1212,1232,4816,4844,5126,6237	Medium-chain fatty acids
636	526	0.68	0.000	source:1147,1760	target:	Medium-chain fatty acids
683	526	0.45	-18.011	source:521,1167,1409,1760,4816,5124,5126	target:1754,6574	Medium-chain fatty acids
700	700	1.00	0.000	source:	target:	Medium-chain fatty acids
781	610	0.43	27.995	source:	target:4844,6237	Medium-chain fatty acids
802	236	0.43	-13.979	source:6229	target:443,470,514,1523,1902,6772,8071,8388	Medium-chain fatty acids
839	209	0.55	0.000	source:	target:521,1109	Medium-chain fatty acids
839	213	0.47	-0.000	source:492,2601	target:521	Medium-chain fatty acids
1148	1148	1	0	null	null	Medium-chain fatty acids
594	594	1	0	null	null	Medium-chain fatty acids
4722	4722	1	0	null	null	Medium-chain fatty acids
2193	2193	1	0	null	null	Medium-chain fatty acids
3634	3634	1	0	null	null	Medium-chain fatty acids
406	406	1	0	null	null	Medium-chain fatty acids
2374	2374	1	0	null	null	Medium-chain fatty acids
4138	4138	1	0	null	null	Medium-chain fatty acids
934	934	1	0	null	null	Medium-chain fatty acids
4154	4154	1	0	null	null	Medium-chain fatty acids
4166	4166	1	0	null	null	Medium-chain fatty acids
4628	4628	1	0	null	null	Medium-chain fatty acids
2018	2018	1	0	null	null	Medium-chain fatty acids
3396	3396	1	0	null	null	Medium-chain fatty acids
161	161	1	0	null	null	Medium-chain fatty acids
98	98	1	0	null	null	Medium-chain fatty acids
4829	4829	1	0	null	null	Medium-chain fatty acids
2796	2796	1	0	null	null	Medium-chain fatty acids
370	370	1	0	null	null	Medium-chain fatty acids
4539	4539	1	0	null	null	Medium-chain fatty acids
