source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1169	315	0.41	2.016	source:27,333,354,451,466,1224,1283,1304,1346,5004,5107,5364,5931,8259	target:70,894,1142,1181,1268,1331,2835,3181,3340,4928	Methoxyphenols
1321	1114	0.45	-0.000	source:341,865,1200,2835	target:1852,7572,7640,8297	Methoxyphenols
1321	906	0.53	-16.031	source:476,477,1426,8494	target:487,6126	Methoxyphenols
1349	1349	1.00	0.000	source:	target:	Methoxyphenols
1449	315	0.47	-326.048	source:27,31,117,335,336,337,354,451,459,499,709,875,1138,1189,1209,1695,4568,4835,4836,5107,5120,5135,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1169,1181,2835,3340	Methoxyphenols
1449	341	0.55	-117.990	source:486	target:8871	Methoxyphenols
1715	1715	1.00	0.000	source:	target:	Methoxyphenols
1839	1839	1.00	0.000	source:	target:	Methoxyphenols
2102	1114	0.43	0.000	source:30,341,865,1021,1081,1200,2564,2565,5126	target:34,1852,5089,7572,7640,8297	Methoxyphenols
2102	1321	0.68	0.000	source:	target:	Methoxyphenols
2102	408	0.41	56.026	source:30,139,341,476,865,1021,1052,1081,1101,1151,1169,1200,1226,1268,1284,2562,2564,2565,4768,6171,8421	target:354,490,499,1852,2932,5089,6580,6587,6720,6965,6993,7120,8273,8297,8329,8400,8457	Methoxyphenols
2102	906	0.44	-16.031	source:30,476,1426,2564,2565	target:34,487	Methoxyphenols
2610	2020	0.87	-0.000	source:	target:	Methoxyphenols
2649	1321	0.44	18.047	source:714,3053,8297	target:341,473,476,865,1200,1426,2562,4768	Methoxyphenols
2649	461	0.43	-11.964	source:489,3053,5111,5112,5118,8297,8327	target:341,473,476,1021,1151,1426,5379,7907	Methoxyphenols
2649	906	0.50	2.016	source:56,489,508,3053,3179,8297	target:50,487,510,1151,1268,4081,5379,6126	Methoxyphenols
331	315	0.48	-208.058	source:27,31,117,335,336,337,451,459,709,875,1209,1695,4568,4801,4835,4836,5062,5105,5107,5120,5135,5364,5423,6225,6869,7089,7303,7413,8104,8329,8463,8521,8568,8605,8661,8684,8730	target:486,1052,1070,1147,1169,1181,1188,2835,3340	Methoxyphenols
3360	3360	1.00	0.000	source:	target:	Methoxyphenols
341	315	0.51	-208.058	source:27,31,117,329,335,336,337,418,451,459,709,875,1209,1695,4568,4835,4836,5062,5107,5120,5135,5364,5423,7089,7303,7413,8104,8270,8463,8521,8568,8605,8661,8684,8730,8871	target:486,1169,1181,1188,2835	Methoxyphenols
341	331	0.53	0.000	source:	target:	Methoxyphenols
3499	1449	0.41	326.048	source:1132,1169,1181,2835,3340,5090	target:27,31,117,335,336,337,354,451,459,475,499,709,720,875,1138,1189,1695,4568,4835,4836,5107,5114,5120,5135,5138,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Methoxyphenols
3499	315	0.80	0.000	source:	target:	Methoxyphenols
3499	331	0.53	208.058	source:486,1052,1070,1132,1147,1169,1181,1188,2835,3340	target:27,31,117,335,336,337,451,459,475,709,720,875,1695,4568,4801,4835,4836,5062,5067,5105,5107,5114,5117,5120,5135,5138,5364,5423,6225,6869,7089,7303,7413,8104,8329,8463,8521,8568,8605,8661,8684,8730	Methoxyphenols
3499	341	0.45	208.058	source:486,1132,1169,1181,1188,2835	target:27,31,117,329,335,336,337,418,451,459,475,709,720,875,1695,4568,4835,4836,5062,5107,5114,5117,5120,5135,5138,5364,5423,7089,7303,7413,8104,8270,8463,8521,8568,8605,8661,8684,8730,8871	Methoxyphenols
3544	618	0.51	2.016	source:49	target:	Methoxyphenols
3775	315	0.61	0.000	source:7687	target:476	Methoxyphenols
3775	3472	0.41	45.969	source:1225,5088,5090,6419,8202	target:36,1209,3955,5014,5079,6171,8421	Methoxyphenols
3775	3499	0.56	-0.000	source:720	target:	Methoxyphenols
3775	752	0.43	0.000	source:	target:333,466,7969	Methoxyphenols
3850	1071	0.41	-30.011	source:5214,8243	target:	Methoxyphenols
389	389	1.00	0.000	source:	target:	Methoxyphenols
3962	331	0.43	208.058	source:486,4168,5004,5088,8230,8259,8310,8321,8347	target:31,36,70,117,335,336,337,457,459,475,709,875,894,1142,1209,1695,3955,4568,4801,4835,4836,5062,5067,5079,5105,5107,5109,5114,5117,5120,5135,5138,5197,5423,6225,6869,7089,7303,7413,7743,8104,8329,8463,8521,8568,8605,8661,8684,8730	Methoxyphenols
3962	3499	0.45	-0.000	source:27,466,499,720,1304,1346,5004,8259,8321,8347	target:70,894,1132,1142,1181,1268,3340,5197	Methoxyphenols
3962	3775	0.55	-0.000	source:466,8347	target:894,3181	Methoxyphenols
3962	752	0.44	0.000	source:	target:70,674,3181,7969	Methoxyphenols
4157	1344	0.42	-194.058	source:2,56,57,70,359,415,452,489,515,714,720,785,884,899,948,971,1225,1228,2932,4075,4777,4844,4942,5067,5089,5100,5109,5111,5112,5114,5117,5118,5145,6237,6587,7569,8341,8406	target:59	Methoxyphenols
4581	4581	1.00	0.000	source:	target:	Methoxyphenols
4604	2813	0.57	0.000	source:470,1153,1227	target:1191,1422	Methoxyphenols
566	566	1.00	0.000	source:	target:	Methoxyphenols
831	831	1.00	0.000	source:	target:	Methoxyphenols
1795	1795	1	0	null	null	Methoxyphenols
1404	1404	1	0	null	null	Methoxyphenols
707	707	1	0	null	null	Methoxyphenols
294	294	1	0	null	null	Methoxyphenols
761	761	1	0	null	null	Methoxyphenols
1489	1489	1	0	null	null	Methoxyphenols
3758	3758	1	0	null	null	Methoxyphenols
454	454	1	0	null	null	Methoxyphenols
1197	1197	1	0	null	null	Methoxyphenols
484	484	1	0	null	null	Methoxyphenols
1686	1686	1	0	null	null	Methoxyphenols
982	982	1	0	null	null	Methoxyphenols
611	611	1	0	null	null	Methoxyphenols
2689	2689	1	0	null	null	Methoxyphenols
1820	1820	1	0	null	null	Methoxyphenols
690	690	1	0	null	null	Methoxyphenols
1068	1068	1	0	null	null	Methoxyphenols
354	354	1	0	null	null	Methoxyphenols
861	861	1	0	null	null	Methoxyphenols
898	898	1	0	null	null	Methoxyphenols
2005	2005	1	0	null	null	Methoxyphenols
4687	4687	1	0	null	null	Methoxyphenols
