source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1358	1358	1.00	0.000	source:	target:	Primary amines
1586	1586	1.00	0.000	source:	target:	Primary amines
1658	1658	1.00	0.000	source:	target:	Primary amines
1747	1747	1.00	0.000	source:	target:	Primary amines
1847	1847	1.00	0.000	source:	target:	Primary amines
193	172	0.74	-0.000	source:	target:5137	Primary amines
1988	1988	1.00	0.000	source:	target:	Primary amines
20	20	1.00	0.000	source:	target:	Primary amines
2082	2082	1.00	0.000	source:	target:	Primary amines
2156	2156	1.00	0.000	source:	target:	Primary amines
2361	2361	1.00	0.000	source:	target:	Primary amines
28	28	1.00	0.000	source:	target:	Primary amines
2971	2971	1.00	0.000	source:	target:	Primary amines
3165	3165	1.00	0.000	source:	target:	Primary amines
326	326	1.00	0.000	source:	target:	Primary amines
3279	3279	1.00	0.000	source:	target:	Primary amines
3282	3282	1.00	0.000	source:	target:	Primary amines
34	34	1.00	0.000	source:	target:	Primary amines
3591	3591	1.00	0.000	source:	target:	Primary amines
4175	4175	1.00	0.000	source:	target:	Primary amines
418	418	1.00	0.000	source:	target:	Primary amines
4376	4376	1.00	0.000	source:	target:	Primary amines
4397	4397	1.00	0.000	source:	target:	Primary amines
4549	4549	1.00	0.000	source:	target:	Primary amines
652	652	1.00	0.000	source:	target:	Primary amines
742	742	1.00	0.000	source:	target:	Primary amines
947	947	1.00	0.000	source:	target:	Primary amines
4625	4625	1	0	null	null	Primary amines
4653	4653	1	0	null	null	Primary amines
1757	1757	1	0	null	null	Primary amines
4334	4334	1	0	null	null	Primary amines
409	409	1	0	null	null	Primary amines
2232	2232	1	0	null	null	Primary amines
1471	1471	1	0	null	null	Primary amines
4067	4067	1	0	null	null	Primary amines
4541	4541	1	0	null	null	Primary amines
146	146	1	0	null	null	Primary amines
3286	3286	1	0	null	null	Primary amines
4723	4723	1	0	null	null	Primary amines
2669	2669	1	0	null	null	Primary amines
2848	2848	1	0	null	null	Primary amines
1092	1092	1	0	null	null	Primary amines
