source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1003	1003	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
108	108	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1129	1129	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1136	1136	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
117	117	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1210	1210	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1242	409	0.41	-72.040	source:117,336,337,720,861,875,895,898,1068,1120,1138,1141,1189,1190,1192,1207,1211,1217,1228,1236,1268,1284,1428,1695,4568,4835,5135,6225,7089,7569,7572,7640,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:235,354,399,430,438,463,467,473,491,887,903,939,966,978,1015,1032,1047,1182,1202,2055	Pyrimidines and pyrimidine derivatives
1276	1276	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1284	1284	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1358	1358	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1430	1430	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1432	1432	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1624	1624	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1658	1658	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1679	1679	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1705	1705	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1747	1747	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1847	1847	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1878	1878	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
1942	1942	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2011	2011	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2143	2143	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2156	2156	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2347	2347	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2348	2348	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2361	2361	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2450	2450	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2543	2543	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2580	2580	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2686	2686	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2719	2719	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
28	28	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2832	2832	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2834	2834	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2850	2850	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2927	2927	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2931	2931	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2971	2971	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3048	3048	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3165	3165	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
326	326	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3279	3279	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3282	3282	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
332	332	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3353	3353	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3475	3475	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3591	3591	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3694	3694	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3729	3729	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
382	382	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
3973	3973	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4175	4175	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4376	4376	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4397	4397	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4549	4549	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4716	4716	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4755	4755	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
4870	4870	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
54	54	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
600	600	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
652	652	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
67	67	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
742	742	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
763	763	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
883	883	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
947	947	1.00	0.000	source:	target:	Pyrimidines and pyrimidine derivatives
2137	2137	1	0	null	null	Pyrimidines and pyrimidine derivatives
3934	3934	1	0	null	null	Pyrimidines and pyrimidine derivatives
2669	2669	1	0	null	null	Pyrimidines and pyrimidine derivatives
1884	1884	1	0	null	null	Pyrimidines and pyrimidine derivatives
3646	3646	1	0	null	null	Pyrimidines and pyrimidine derivatives
2848	2848	1	0	null	null	Pyrimidines and pyrimidine derivatives
1590	1590	1	0	null	null	Pyrimidines and pyrimidine derivatives
4174	4174	1	0	null	null	Pyrimidines and pyrimidine derivatives
3348	3348	1	0	null	null	Pyrimidines and pyrimidine derivatives
1757	1757	1	0	null	null	Pyrimidines and pyrimidine derivatives
4334	4334	1	0	null	null	Pyrimidines and pyrimidine derivatives
1775	1775	1	0	null	null	Pyrimidines and pyrimidine derivatives
677	677	1	0	null	null	Pyrimidines and pyrimidine derivatives
1796	1796	1	0	null	null	Pyrimidines and pyrimidine derivatives
38	38	1	0	null	null	Pyrimidines and pyrimidine derivatives
2750	2750	1	0	null	null	Pyrimidines and pyrimidine derivatives
2788	2788	1	0	null	null	Pyrimidines and pyrimidine derivatives
1471	1471	1	0	null	null	Pyrimidines and pyrimidine derivatives
4513	4513	1	0	null	null	Pyrimidines and pyrimidine derivatives
894	894	1	0	null	null	Pyrimidines and pyrimidine derivatives
3286	3286	1	0	null	null	Pyrimidines and pyrimidine derivatives
4723	4723	1	0	null	null	Pyrimidines and pyrimidine derivatives
