source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1136	1136	1.00	0.000	source:	target:	Substituted imidazoles
1210	1210	1.00	0.000	source:	target:	Substituted imidazoles
1276	1276	1.00	0.000	source:	target:	Substituted imidazoles
1624	1624	1.00	0.000	source:	target:	Substituted imidazoles
1705	1705	1.00	0.000	source:	target:	Substituted imidazoles
1747	1747	1.00	0.000	source:	target:	Substituted imidazoles
1847	1847	1.00	0.000	source:	target:	Substituted imidazoles
2155	2155	1.00	0.000	source:	target:	Substituted imidazoles
2156	2156	1.00	0.000	source:	target:	Substituted imidazoles
2348	2348	1.00	0.000	source:	target:	Substituted imidazoles
2361	2361	1.00	0.000	source:	target:	Substituted imidazoles
2580	2580	1.00	0.000	source:	target:	Substituted imidazoles
2719	2719	1.00	0.000	source:	target:	Substituted imidazoles
3165	3165	1.00	0.000	source:	target:	Substituted imidazoles
326	326	1.00	0.000	source:	target:	Substituted imidazoles
3591	3591	1.00	0.000	source:	target:	Substituted imidazoles
3694	3694	1.00	0.000	source:	target:	Substituted imidazoles
3973	3973	1.00	0.000	source:	target:	Substituted imidazoles
4376	4376	1.00	0.000	source:	target:	Substituted imidazoles
4549	4549	1.00	0.000	source:	target:	Substituted imidazoles
4755	4755	1.00	0.000	source:	target:	Substituted imidazoles
55	55	1.00	0.000	source:	target:	Substituted imidazoles
600	600	1.00	0.000	source:	target:	Substituted imidazoles
742	742	1.00	0.000	source:	target:	Substituted imidazoles
883	883	1.00	0.000	source:	target:	Substituted imidazoles
947	947	1.00	0.000	source:	target:	Substituted imidazoles
409	409	1	0	null	null	Substituted imidazoles
3934	3934	1	0	null	null	Substituted imidazoles
2669	2669	1	0	null	null	Substituted imidazoles
3646	3646	1	0	null	null	Substituted imidazoles
1757	1757	1	0	null	null	Substituted imidazoles
4334	4334	1	0	null	null	Substituted imidazoles
2788	2788	1	0	null	null	Substituted imidazoles
1471	1471	1	0	null	null	Substituted imidazoles
