source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1073	526	0.65	0.000	source:1762	target:	Unsaturated fatty acids
1073	636	0.48	0.000	source:1762,1790	target:	Unsaturated fatty acids
1163	1056	0.74	-0.000	source:	target:	Unsaturated fatty acids
127	127	1.00	0.000	source:	target:	Unsaturated fatty acids
1443	1023	0.41	-98.073	source:55,469	target:	Unsaturated fatty acids
1466	516	0.42	2.016	source:944,8399	target:	Unsaturated fatty acids
1466	966	0.56	-0.002	source:944,974	target:	Unsaturated fatty acids
1582	336	0.44	0.000	source:1240,1757,4800	target:1760,1766,1776,1778,6314,6351,7093,8001,8211	Unsaturated fatty acids
1872	1872	1.00	0.000	source:	target:	Unsaturated fatty acids
1919	405	0.51	0.036	source:1228	target:492,5133	Unsaturated fatty acids
2116	2116	1.00	0.000	source:	target:	Unsaturated fatty acids
2277	2277	1.00	0.000	source:	target:	Unsaturated fatty acids
2297	2297	1.00	0.000	source:	target:	Unsaturated fatty acids
231	98	0.51	0.000	source:1168	target:5130,5145	Unsaturated fatty acids
2339	526	0.41	-15.995	source:1409	target:6574	Unsaturated fatty acids
2391	1919	0.46	-18.010	source:	target:	Unsaturated fatty acids
2391	570	0.48	-1.979	source:37,497	target:415,4844,5107	Unsaturated fatty acids
2501	2501	1.00	0.000	source:	target:	Unsaturated fatty acids
2534	231	0.43	-0.000	source:27,5130,5364	target:1168	Unsaturated fatty acids
2534	98	0.47	0.000	source:1817,1956,7356	target:	Unsaturated fatty acids
258	258	1.00	0.000	source:	target:	Unsaturated fatty acids
2641	1073	0.53	0.000	source:59,6510	target:1762	Unsaturated fatty acids
2641	526	0.72	0.000	source:1207,1760,5124,6510,7356	target:	Unsaturated fatty acids
2641	636	0.69	0.000	source:1109	target:1147	Unsaturated fatty acids
2695	1354	0.57	-0.000	source:497,1760,1766,1776,7782	target:1216,1217	Unsaturated fatty acids
2698	2698	1.00	0.000	source:	target:	Unsaturated fatty acids
2754	2695	0.55	-0.000	source:	target:	Unsaturated fatty acids
3105	3105	1.00	0.000	source:	target:	Unsaturated fatty acids
3332	3332	1.00	0.000	source:	target:	Unsaturated fatty acids
3447	1163	0.45	-112.126	source:56,359,452,475,479,508,521,867,1195,1534,1752,1756,1760,1766,1776,1778,5079,5100,5105,5109,5114,5116,5117,5120,5138,5145,7073,8001	target:433,1095,1191,1428,8428,8447	Unsaturated fatty acids
3447	2851	0.53	-0.000	source:	target:	Unsaturated fatty acids
3543	3543	1.00	0.000	source:	target:	Unsaturated fatty acids
3596	3447	0.44	0.000	source:	target:	Unsaturated fatty acids
3598	3596	0.43	0.036	source:1912,4736	target:414,1752	Unsaturated fatty acids
3634	173	0.45	-0.000	source:57,59,460,874,1422,1706,4816	target:1790	Unsaturated fatty acids
405	356	0.62	2.015	source:	target:	Unsaturated fatty acids
4101	168	0.47	2.016	source:1167	target:477,1790,6351,7093	Unsaturated fatty acids
4101	325	0.47	0.000	source:	target:4783	Unsaturated fatty acids
4103	4099	0.47	-0.000	source:	target:	Unsaturated fatty acids
412	107	0.45	-17.974	source:4844,5107,6237,8264	target:476,521,1026,1790	Unsaturated fatty acids
4209	1023	0.57	-0.000	source:	target:6221	Unsaturated fatty acids
4209	1163	0.44	-98.110	source:56,452,475,479,489,490,508,1044,1107,1195,1207,1212,1534,1746,1752,1754,1755,1756,1760,1766,1776,1778,1809,1817,1956,5079,5100,5105,5109,5114,5116,5117,5120,5124,5126,5127,5129,5130,5135,5138,5145,6510,6574,7073,7356,8001,8211	target:433,1095,1428,8428,8447	Unsaturated fatty acids
432	366	0.62	0.000	source:	target:	Unsaturated fatty acids
4362	2851	0.46	-0.000	source:	target:	Unsaturated fatty acids
4362	3447	0.44	0.000	source:962	target:513,867,4816	Unsaturated fatty acids
4362	3596	0.61	-0.000	source:962,4736	target:414,450,513,867,4816	Unsaturated fatty acids
4389	645	0.45	0.000	source:8001	target:	Unsaturated fatty acids
4416	4406	0.52	0.000	source:	target:8399	Unsaturated fatty acids
