source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1129	1129	1.00	0.000	source:	target:	Alkyl phosphates
1271	1271	1.00	0.000	source:	target:	Alkyl phosphates
1276	1276	1.00	0.000	source:	target:	Alkyl phosphates
1432	1432	1.00	0.000	source:	target:	Alkyl phosphates
1658	1658	1.00	0.000	source:	target:	Alkyl phosphates
1690	1690	1.00	0.000	source:	target:	Alkyl phosphates
20	20	1.00	0.000	source:	target:	Alkyl phosphates
2082	2082	1.00	0.000	source:	target:	Alkyl phosphates
2274	2274	1.00	0.000	source:	target:	Alkyl phosphates
234	234	1.00	0.000	source:	target:	Alkyl phosphates
2361	2361	1.00	0.000	source:	target:	Alkyl phosphates
2543	2543	1.00	0.000	source:	target:	Alkyl phosphates
2585	2585	1.00	0.000	source:	target:	Alkyl phosphates
2789	2789	1.00	0.000	source:	target:	Alkyl phosphates
2834	2834	1.00	0.000	source:	target:	Alkyl phosphates
2954	1544	0.52	0.000	source:3956	target:	Alkyl phosphates
2972	2972	1.00	0.000	source:	target:	Alkyl phosphates
3111	3111	1.00	0.000	source:	target:	Alkyl phosphates
3591	3591	1.00	0.000	source:	target:	Alkyl phosphates
3864	3864	1.00	0.000	source:	target:	Alkyl phosphates
3868	3868	1.00	0.000	source:	target:	Alkyl phosphates
418	418	1.00	0.000	source:	target:	Alkyl phosphates
4316	4316	1.00	0.000	source:	target:	Alkyl phosphates
4375	4375	1.00	0.000	source:	target:	Alkyl phosphates
4427	4427	1.00	0.000	source:	target:	Alkyl phosphates
4484	4484	1.00	0.000	source:	target:	Alkyl phosphates
4614	4614	1.00	0.000	source:	target:	Alkyl phosphates
4755	4755	1.00	0.000	source:	target:	Alkyl phosphates
4855	1413	0.53	-142.136	source:2,50,359,1109,1331,1428,1708,4081,4818,5117,5127,5198,5214,5367,6238,7854,8206,8212,8428,8447,8607	target:4836	Alkyl phosphates
4870	4870	1.00	0.000	source:	target:	Alkyl phosphates
54	54	1.00	0.000	source:	target:	Alkyl phosphates
55	55	1.00	0.000	source:	target:	Alkyl phosphates
558	558	1.00	0.000	source:	target:	Alkyl phosphates
652	652	1.00	0.000	source:	target:	Alkyl phosphates
763	763	1.00	0.000	source:	target:	Alkyl phosphates
4161	4161	1	0	null	null	Alkyl phosphates
770	770	1	0	null	null	Alkyl phosphates
779	779	1	0	null	null	Alkyl phosphates
36	36	1	0	null	null	Alkyl phosphates
2232	2232	1	0	null	null	Alkyl phosphates
1433	1433	1	0	null	null	Alkyl phosphates
1920	1920	1	0	null	null	Alkyl phosphates
2492	2492	1	0	null	null	Alkyl phosphates
1170	1170	1	0	null	null	Alkyl phosphates
2973	2973	1	0	null	null	Alkyl phosphates
