source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Carboxylic acid esters
1058	416	0.47	-0.021	source:57,117,329,335,336,337,418,459,470,484,514,709,875,1138,1189,1190,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	target:139,341,486,714,721,785,884,1169,1305,2816,3061,4083,4558,4882,5001,5379,6165,6211,6219,6281,6393,6595,6875,6916,7105,7737,8316,8406,8434,8648,8723	Carboxylic acid esters
1058	598	0.43	21.961	source:117,335,336,337,427,470,473,484,514,521,865,875,1138,1189,1695,2562,4568,4768,4777,4807,4835,5067,5068,5423,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:486,714,721,785,884,1227,3061,7105,8280,8295,8327,8406	Carboxylic acid esters
1074	1058	0.61	0.000	source:139,3061,4083	target:	Carboxylic acid esters
1074	240	0.46	-162.053	source:31,57,110,117,329,335,336,337,418,457,459,470,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:180,465,714,1107,1159,1226,1310,4558,4833,4882,5001,5903,6165,6431,8648,8723	Carboxylic acid esters
1074	416	0.42	-0.021	source:31,57,110,117,329,335,336,337,418,459,470,484,514,709,875,895,1138,1189,1190,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:30,180,486,714,721,785,884,1103,1169,1237,1238,2565,2816,4558,4833,4882,5001,6165,6219,6875,6916,8434,8648,8723	Carboxylic acid esters
1074	846	0.41	-162.052	source:2,31,57,110,117,329,335,336,337,418,457,459,470,514,516,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:50,180,714,1070,1103,1122,1169,1310,1480,2816,4081,4558,4818,4833,4882,5001,5146,5214,5367,5903,6165,6219,6238,6875,6916,7006,7044,7659,8206,8412,8434,8448,8648,8723	Carboxylic acid esters
1174	731	0.45	-14.016	source:	target:	Carboxylic acid esters
1186	1186	1.00	0.000	source:	target:	Carboxylic acid esters
1255	493	0.42	-27.995	source:476	target:	Carboxylic acid esters
1255	637	0.41	0.052	source:50,110,481,895,1902,4081,5379,6677,6965,7120,7350,7572,7640	target:423,721,1240,5089,5111,5112,8297,8341	Carboxylic acid esters
1305	577	0.48	210.074	source:1238,1284,5014,8327	target:55,139,473,1708	Carboxylic acid esters
1345	240	0.41	-166.063	source:57,329,335,336,337,418,457,459,470,477,514,521,709,875,1103,1225,1695,2055,2835,4568,4835,4836,5118,6160,6221,6225,6962,7089,7303,7413,7755,8083,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:49,180,465,865,1044,1107,1159,1310,2601,3053,3061,3179,4083,4558,4833,4863,4882,5001,5068,5129,5903,6165,6211,6333,6431,6565,6595,6633,6696,7021,7105,7153,7707,7737,7959,8648,8723	Carboxylic acid esters
1345	416	0.45	-4.031	source:57,329,335,336,337,418,459,470,477,514,709,875,1225,1695,2055,4568,4835,4836,6221,6225,7089,7303,7413,7755,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:30,59,180,721,865,990,1541,2565,2816,3061,3179,4083,4558,4833,4848,4882,5001,5068,5129,6165,6211,6218,6219,6281,6333,6393,6565,6595,6633,6696,6875,6916,7021,7105,7153,7707,7737,7959,8316,8434,8648,8723	Carboxylic acid esters
1372	1107	0.48	0.000	source:	target:	Carboxylic acid esters
1374	1345	0.42	27.995	source:	target:	Carboxylic acid esters
1374	882	0.41	208.058	source:714	target:110,481,712,895,1138,6580,6965,7120,7350,7780,8871	Carboxylic acid esters
1400	1400	1.00	0.000	source:	target:	Carboxylic acid esters
1412	1068	0.44	-0.000	source:3061,5198,6633,7021,7707	target:180,484,990,1004,1107,1212,1226,1237,6219,8433	Carboxylic acid esters
1416	1416	1.00	0.000	source:	target:	Carboxylic acid esters
1426	1058	0.41	180.064	source:1169,6211	target:49,117,335,336,337,476,484,875,1138,1189,1190,1422,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	Carboxylic acid esters
1426	240	0.46	18.011	source:1103,1433,2835,6962,8447	target:49,180,465,508,1159,2601,4083,4558,5903,6431,6565,6595,7737,8723	Carboxylic acid esters
1426	293	0.46	180.042	source:6962	target:49,341,357,476,721,1480,1541,4083,4418,4558,4818,5379,5903,6218,6219,6281,6565,6595,6875,7008,7044,7480,7659,7737,8206,8303,8412,8448,8723	Carboxylic acid esters
1426	316	0.64	18.011	source:	target:50,180,4081,4083,4818,5379,5903,6219,6565,8434,8723	Carboxylic acid esters
1426	416	0.62	180.042	source:	target:30,180,341,721,1237,1238,1541,2565,2816,4083,4558,5379,6160,6218,6219,6281,6393,6565,6595,6875,7737,8434,8723	Carboxylic acid esters
1426	846	0.51	18.011	source:	target:50,180,487,1480,1541,2816,4081,4083,4558,4818,5136,5139,5146,5214,5367,5379,5903,6219,6238,6565,6595,6875,7006,7044,7659,7737,8206,8412,8434,8448,8723	Carboxylic acid esters
1429	240	0.43	18.010	source:1103,1433,2835,6962,7569,7687	target:49,180,427,465,473,865,1159,1310,2562,2601,4083,4558,4768,4777,4783,4797,4803,4833,4882,5001,5068,5423,5903,6165,6211,6565,6595,6696,7021,7153,7737,8607,8648,8723	Carboxylic acid esters
1446	1250	0.45	0.000	source:	target:	Carboxylic acid esters
1462	1058	0.72	0.000	source:139,1169,7569,7755	target:333,466	Carboxylic acid esters
1462	1074	0.71	0.000	source:1103,1169,6981,7569	target:	Carboxylic acid esters
1462	1426	0.45	-180.063	source:31,336,337,476,487,508,875,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:333,466,6211	Carboxylic acid esters
1462	240	0.48	-162.052	source:31,329,336,337,418,459,470,487,514,709,875,1103,1433,2835,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8447,8568,8605,8609,8657,8684	target:180,333,466,714,1107,1159,1226,1310,2601,3053,4803,4833,4882,5001,5903,6165,6211,6431,6565,8723	Carboxylic acid esters
1462	293	0.41	-0.021	source:31,329,336,337,418,459,470,487,514,709,875,4835,4836,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:357,486,714,721,785,990,1428,1480,4418,4818,4833,4882,5001,5903,6165,6211,6219,6565,6916,7044,7480,7659,8206,8303,8316,8412,8448,8723	Carboxylic acid esters
1462	416	0.56	-0.021	source:31,329,336,337,418,459,470,514,709,875,4835,4836,6981,7089,7303,7413,7755,8083,8104,8568,8605,8609,8657,8684	target:180,486,714,721,785,990,2816,4833,4882,5001,6165,6211,6219,6393,6565,6916,8316,8434,8723	Carboxylic acid esters
1462	846	0.41	-162.052	source:31,329,336,337,418,459,470,508,514,516,709,875,4835,4836,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:180,466,714,990,1310,1480,2816,4818,4833,4882,5001,5146,5214,5367,5903,6165,6211,6219,6238,6565,6916,7006,7044,7659,8206,8316,8412,8434,8448,8723	Carboxylic acid esters
1475	1058	0.53	162.053	source:714,1107,3061,4882,6211,7105,7737,8723	target:57,117,329,335,336,337,418,459,470,476,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	Carboxylic acid esters
1475	1074	0.45	162.052	source:714,1107,1226,4833,4882,8723	target:31,57,110,117,139,329,335,336,337,418,457,459,470,476,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	Carboxylic acid esters
1475	1345	0.53	166.063	source:49,865,1044,1107,3061,4833,4882,5129,6211,6565,6633,6696,7021,7105,7153,7707,7737,7959,8723	target:57,329,335,336,337,418,457,459,470,477,514,521,709,875,1225,1284,1695,2055,4568,4835,4836,5118,6160,6225,7089,7303,7755,8083,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Carboxylic acid esters
1475	1426	0.41	-18.011	source:49,6565,7737,8723	target:1122,1433,8447	Carboxylic acid esters
1475	1462	0.42	162.052	source:466,714,1107,1226,4833,4882,6211,6565,8723	target:31,139,329,336,337,418,459,470,476,487,514,709,875,1433,4835,4836,6160,7089,7303,7569,7755,8083,8447,8568,8605,8609,8657,8684	Carboxylic acid esters
