source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1058	240	0.45	-162.053	source:55,57,117,329,335,336,337,418,459,470,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,7413,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	target:714,1107,1159,1310,2601,3061,4083,4558,4882,5001,5903,6165,6211,6595,7105,7737,8648,8723	Dicarboxylic acids and derivatives
1073	526	0.65	0.000	source:1762	target:	Dicarboxylic acids and derivatives
1073	636	0.48	0.000	source:1762,1790	target:	Dicarboxylic acids and derivatives
1073	683	0.46	18.011	source:1754,1762,1790	target:1167,1409,4816	Dicarboxylic acids and derivatives
1074	1058	0.61	0.000	source:139,3061,4083	target:	Dicarboxylic acids and derivatives
1074	240	0.46	-162.053	source:31,57,110,117,329,335,336,337,418,457,459,470,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:180,465,714,1107,1159,1226,1310,4558,4833,4882,5001,5903,6165,6431,8648,8723	Dicarboxylic acids and derivatives
1074	846	0.41	-162.052	source:2,31,57,110,117,329,335,336,337,418,457,459,470,514,516,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,7413,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:50,180,714,1070,1103,1122,1169,1310,1480,2816,4081,4558,4818,4833,4882,5001,5146,5214,5367,5903,6165,6219,6238,6875,6916,7006,7044,7659,8206,8412,8434,8448,8648,8723	Dicarboxylic acids and derivatives
110	110	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1117	40	0.53	0.000	source:55,361,476,1103,1284,1425	target:451,8001,8211	Dicarboxylic acids and derivatives
1145	1145	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1157	567	0.63	-0.000	source:	target:1790	Dicarboxylic acids and derivatives
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Dicarboxylic acids and derivatives
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Dicarboxylic acids and derivatives
1303	526	0.41	-15.995	source:359,450,1409,1760,6510	target:4736,6574	Dicarboxylic acids and derivatives
1378	60	0.83	-0.000	source:	target:1817	Dicarboxylic acids and derivatives
1412	1068	0.44	-0.000	source:3061,5198,6633,7021,7707	target:180,484,990,1004,1107,1212,1226,1237,6219,8433	Dicarboxylic acids and derivatives
1426	1058	0.41	180.064	source:1169,6211	target:49,117,335,336,337,476,484,875,1138,1189,1190,1422,1695,4568,4835,4836,7089,7303,7413,8083,8104,8463,8521,8568,8605,8609,8657,8684,8730	Dicarboxylic acids and derivatives
1426	240	0.46	18.011	source:1103,1433,2835,6962,8447	target:49,180,465,508,1159,2601,4083,4558,5903,6431,6565,6595,7737,8723	Dicarboxylic acids and derivatives
1426	316	0.64	18.011	source:	target:50,180,4081,4083,4818,5379,5903,6219,6565,8434,8723	Dicarboxylic acids and derivatives
1426	846	0.51	18.011	source:	target:50,180,487,1480,1541,2816,4081,4083,4558,4818,5136,5139,5146,5214,5367,5379,5903,6219,6238,6565,6595,6875,7006,7044,7659,7737,8206,8412,8434,8448,8723	Dicarboxylic acids and derivatives
1462	1058	0.72	0.000	source:139,1169,7569,7755	target:333,466	Dicarboxylic acids and derivatives
1462	1074	0.71	0.000	source:1103,1169,6981,7569	target:	Dicarboxylic acids and derivatives
1462	1426	0.45	-180.063	source:31,336,337,476,487,508,875,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:333,466,6211	Dicarboxylic acids and derivatives
1462	240	0.48	-162.052	source:31,329,336,337,418,459,470,487,514,709,875,1103,1433,2835,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8447,8568,8605,8609,8657,8684	target:180,333,466,714,1107,1159,1226,1310,2601,3053,4803,4833,4882,5001,5903,6165,6211,6431,6565,8723	Dicarboxylic acids and derivatives
1462	846	0.41	-162.052	source:31,329,336,337,418,459,470,508,514,516,709,875,4835,4836,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	target:180,466,714,990,1310,1480,2816,4818,4833,4882,5001,5146,5214,5367,5903,6165,6211,6219,6238,6565,6916,7006,7044,7659,8206,8316,8412,8434,8448,8723	Dicarboxylic acids and derivatives
1468	1023	0.45	-0.000	source:	target:6221	Dicarboxylic acids and derivatives
1475	1058	0.53	162.053	source:714,1107,3061,4882,6211,7105,7737,8723	target:57,117,329,335,336,337,418,459,470,476,514,521,709,875,1138,1189,1422,1695,4568,4835,4836,7089,7303,8083,8447,8463,8521,8568,8605,8609,8657,8684,8730	Dicarboxylic acids and derivatives
1475	1074	0.45	162.052	source:714,1107,1226,4833,4882,8723	target:31,57,110,117,139,329,335,336,337,418,457,459,470,476,514,709,875,895,1138,1189,1388,1695,4568,4835,4836,7089,7303,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	Dicarboxylic acids and derivatives
1475	1426	0.41	-18.011	source:49,6565,7737,8723	target:1122,1433,8447	Dicarboxylic acids and derivatives
1475	1462	0.42	162.052	source:466,714,1107,1226,4833,4882,6211,6565,8723	target:31,139,329,336,337,418,459,470,476,487,514,709,875,1433,4835,4836,6160,7089,7303,7569,7755,8083,8447,8568,8605,8609,8657,8684	Dicarboxylic acids and derivatives
1475	240	0.66	-0.000	source:	target:1159,4803	Dicarboxylic acids and derivatives
1475	257	0.58	0.000	source:	target:50,139,1433,4081,4818,8412,8447	Dicarboxylic acids and derivatives
1475	316	0.50	0.000	source:	target:50,139,1428,1433,4081,4818,8447	Dicarboxylic acids and derivatives
1475	846	0.61	0.000	source:2	target:50,139,487,1070,1122,1433,1480,2816,4081,4818,5136,5139,5146,5214,5367,6238,6875,7006,7044,7659,8206,8412,8447,8448	Dicarboxylic acids and derivatives
1490	1475	0.43	-0.000	source:30,50,139,487,1122,1428,1433,2565,2816,4081,4803,4818,5136,5139,5146,5198,5214,5367,6218,6885,8206,8303,8412,8447	target:1044,8469	Dicarboxylic acids and derivatives
1490	240	0.57	-0.000	source:50,55,487,1428,1433,2835,4818,5214,6218,6885,8206,8303,8412,8447	target:1044,1159,2601,6431,8469	Dicarboxylic acids and derivatives
1490	257	0.47	0.000	source:55	target:1044,8469	Dicarboxylic acids and derivatives
1490	846	0.44	0.000	source:	target:1044,7006,8469	Dicarboxylic acids and derivatives
1524	263	0.57	-0.000	source:477	target:	Dicarboxylic acids and derivatives
1614	1117	0.64	-0.000	source:	target:450,1425	Dicarboxylic acids and derivatives
1614	40	0.53	-0.000	source:55,361,475,1790	target:1217,1760,1766,7356,8001,8211	Dicarboxylic acids and derivatives
1649	1649	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1661	1661	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1827	1827	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1860	1164	0.59	-0.000	source:1912,7356	target:	Dicarboxylic acids and derivatives
1860	191	0.49	2.016	source:	target:359,1216,1217,1754,1902,5130,5423,6510,6538,7552,7755,8355	Dicarboxylic acids and derivatives
186	186	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
191	40	0.65	-74.037	source:37,359,361,415,499,513,514,867,1191,1902,1965,4816,4844,5197,5423,6237,6538,7552,7755,8355	target:	Dicarboxylic acids and derivatives
197	136	0.45	-28.031	source:	target:	Dicarboxylic acids and derivatives
2098	1493	0.47	0.000	source:433,5197	target:1103	Dicarboxylic acids and derivatives
2206	309	0.42	-172.184	source:55,56,359,452,469,475,479,489,508,513,516,521,1109,1110,1207,1208,1217,1705,1752,1760,1766,1776,1778,1965,5114,5116,5117,5120,5124,5126,5127,5130,5135,5138,6294,6538,8001	target:497,1428,1498,1710,8428,8447	Dicarboxylic acids and derivatives
2225	1047	0.42	0.000	source:	target:1755,1790,7073	Dicarboxylic acids and derivatives
2226	2226	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
2277	2277	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
2279	1326	0.66	0.000	source:	target:4736	Dicarboxylic acids and derivatives
2288	1010	0.44	0.000	source:180,990,4797,6219	target:7153,8327	Dicarboxylic acids and derivatives
2339	1303	0.45	0.000	source:	target:450	Dicarboxylic acids and derivatives
2339	526	0.41	-15.995	source:1409	target:6574	Dicarboxylic acids and derivatives
2497	2193	0.44	2.016	source:142,497,968,1212,1754,1755,1756,1912,1956,6510,7356	target:874,5107	Dicarboxylic acids and derivatives
2497	318	0.45	-2.015	source:	target:37,466,5197	Dicarboxylic acids and derivatives
2497	370	0.53	0.000	source:6510,7073	target:361	Dicarboxylic acids and derivatives
2497	488	0.43	-18.011	source:1755,1756,6510,7073	target:469,476,4801	Dicarboxylic acids and derivatives
2498	1303	0.50	0.000	source:451,4736	target:	Dicarboxylic acids and derivatives
257	240	0.75	-0.001	source:50,1103,1433,2835,4818,8412,8447	target:2601	Dicarboxylic acids and derivatives
2641	1073	0.53	0.000	source:59,6510	target:1762	Dicarboxylic acids and derivatives
2641	526	0.72	0.000	source:1207,1760,5124,6510,7356	target:	Dicarboxylic acids and derivatives
2641	636	0.69	0.000	source:1109	target:1147	Dicarboxylic acids and derivatives
2678	2678	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
28	28	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
2872	1164	0.41	0.000	source:359,1912,7356,8056	target:	Dicarboxylic acids and derivatives
2872	1860	0.43	0.000	source:359,1790	target:	Dicarboxylic acids and derivatives
2912	1047	0.59	0.000	source:	target:	Dicarboxylic acids and derivatives
2912	2225	0.41	0.000	source:1754,1817,6510	target:	Dicarboxylic acids and derivatives
2930	1614	0.59	0.000	source:513,1216,1217,4816	target:1433,1790	Dicarboxylic acids and derivatives
2930	40	0.62	-0.000	source:55,361,469,476,513,521,1103,4816	target:1766,1809,8001,8211	Dicarboxylic acids and derivatives
2937	2632	0.46	0.000	source:55	target:	Dicarboxylic acids and derivatives
2937	68	0.41	-72.022	source:37,55,139,361,433,450,521,867,1095,1191,4816,4844,5107,5197,6237	target:5126,5127,5129,6510,7356,8211	Dicarboxylic acids and derivatives
3006	2141	0.43	16.031	source:513,1103	target:139,476,477,521,1760,1766,5130	Dicarboxylic acids and derivatives
3059	181	0.86	0.000	source:475,490,1790	target:6071	Dicarboxylic acids and derivatives
3070	3070	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
3103	1073	0.41	-92.048	source:37,57,139,359,414,450,513,867,874,1167,1218,1409,1410,1425,1706,4816,5135,5197,6538	target:1107,1212,1762	Dicarboxylic acids and derivatives
3108	3108	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
316	240	0.50	-0.000	source:50,1103,1428,1433,2835,4818,8447	target:1159,3053,6595	Dicarboxylic acids and derivatives
3273	1058	0.49	0.000	source:7760	target:	Dicarboxylic acids and derivatives
3273	1074	0.48	-0.000	source:481,1103	target:139,1388,4083	Dicarboxylic acids and derivatives
3273	1462	0.48	-0.000	source:333,466,481,4801	target:139,1169,6333,7569,7755	Dicarboxylic acids and derivatives
3312	567	0.48	-0.000	source:974,1101	target:5129,5133,8399	Dicarboxylic acids and derivatives
3332	3332	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
3411	318	0.43	2.016	source:50,457,521,933,1103,4081,5367,5379,8235	target:1766,1809,1912,8001	Dicarboxylic acids and derivatives
3447	2851	0.53	-0.000	source:	target:	Dicarboxylic acids and derivatives
3454	2167	0.48	0.000	source:	target:1965	Dicarboxylic acids and derivatives
3487	2449	0.50	-0.000	source:	target:	Dicarboxylic acids and derivatives
3508	1462	0.46	-0.000	source:990,1710,4833,6211	target:7707,7959	Dicarboxylic acids and derivatives
3508	1475	0.46	-162.053	source:30,31,139,329,335,336,337,418,459,470,476,487,514,709,875,1138,1189,1422,1433,1695,1710,2565,4568,4835,4836,6869,7089,7303,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:714,899,1044,6565,7105,7707,7737,7959,8723	Dicarboxylic acids and derivatives
3508	240	0.43	-162.053	source:31,55,329,335,336,337,418,459,470,487,514,709,875,1103,1138,1189,1422,1433,1695,1710,4568,4835,4836,6869,7089,7303,7413,8083,8252,8270,8447,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:465,714,899,1044,1159,1310,2601,3053,3179,4083,4803,4863,5903,6431,6565,6595,7105,7707,7737,7959,8723	Dicarboxylic acids and derivatives
3569	1164	0.46	-0.000	source:1912,7356,8001	target:414,1195,5127	Dicarboxylic acids and derivatives
3569	1860	0.53	0.000	source:	target:466,513,1425	Dicarboxylic acids and derivatives
3596	2497	0.44	1.979	source:55,469,521	target:1912,1956,4736,6510,7356	Dicarboxylic acids and derivatives
3596	318	0.48	-0.036	source:414,521	target:37,1912,4736	Dicarboxylic acids and derivatives
3596	3447	0.44	0.000	source:	target:	Dicarboxylic acids and derivatives
3598	318	0.55	-0.000	source:	target:	Dicarboxylic acids and derivatives
3598	3596	0.43	0.036	source:1912,4736	target:414,1752	Dicarboxylic acids and derivatives
3622	1157	0.51	0.000	source:1151	target:489,513	Dicarboxylic acids and derivatives
3622	3312	0.65	0.000	source:1433	target:475	Dicarboxylic acids and derivatives
3622	567	0.53	-0.000	source:1151	target:475,5133,8399	Dicarboxylic acids and derivatives
3665	1716	0.56	-0.000	source:	target:1809	Dicarboxylic acids and derivatives
3665	3214	0.49	-2.016	source:4783	target:	Dicarboxylic acids and derivatives
3667	3667	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
3685	1426	0.51	-15.995	source:341,1081,1199,4083,6218,6875,8434,8723	target:	Dicarboxylic acids and derivatives
3685	1462	0.43	164.068	source:333,466,1081,1199,4833,6211,8434,8723	target:31,336,337,418,459,470,508,514,709,875,4835,4836,6160,6981,7089,7303,7413,7569,7755,8083,8104,8568,8605,8609,8657,8684	Dicarboxylic acids and derivatives
3685	240	0.53	2.016	source:1081,1103,1199,1200,1433,2835,6218,8447	target:49,465,508,1159,2601,4803,6431,6595,7737	Dicarboxylic acids and derivatives
3685	257	0.49	2.016	source:1284	target:4818,6595,7737	Dicarboxylic acids and derivatives
3685	316	0.51	2.016	source:1070	target:4818,6219	Dicarboxylic acids and derivatives
3685	846	0.61	2.016	source:1284	target:1480,4818,5136,5139,5146,5214,5367,6219,6238,6595,7006,7044,7659,7737,8206,8448	Dicarboxylic acids and derivatives
3749	1303	0.45	-0.000	source:66,451,1099,4736,4783	target:359,6510	Dicarboxylic acids and derivatives
3749	2498	0.60	-0.000	source:66,1099	target:359,1809,5130,7356	Dicarboxylic acids and derivatives
3749	3535	0.66	-0.000	source:4736,4783	target:4844	Dicarboxylic acids and derivatives
3833	1304	0.41	26.052	source:414,433,465,894,990,1099,1209,1418,1498,1710,1912,1956,6071,6211,6219,7167,7931,8056,8415,8434	target:55,510,521,1107,1109,1110,1208,4777,5062,5114,5116,5117,5138,6350	Dicarboxylic acids and derivatives
3833	394	0.80	-0.000	source:	target:	Dicarboxylic acids and derivatives
394	309	0.47	-18.011	source:66,433,465,516,867,874,894,990,1095,1099,1191,1209,1705,4816,4833,4844,6071,6211,6219,6237	target:	Dicarboxylic acids and derivatives
4095	1524	0.65	0.000	source:	target:477	Dicarboxylic acids and derivatives
4095	2497	0.46	-0.000	source:	target:	Dicarboxylic acids and derivatives
4095	263	0.53	0.000	source:	target:	Dicarboxylic acids and derivatives
4138	2498	0.42	-0.000	source:874	target:451,492,1760,1766,1809,1817,7356,8001	Dicarboxylic acids and derivatives
4138	778	0.41	-1.979	source:874	target:1534,1746,1760,1766,1809,1817,1912,1956,5133,6574,7356,8001,8211	Dicarboxylic acids and derivatives
4154	2497	0.52	-0.000	source:	target:	Dicarboxylic acids and derivatives
4170	1117	0.43	-0.000	source:451,1216,5127	target:1103	Dicarboxylic acids and derivatives
4170	1614	0.64	-0.000	source:513,867,1216,1217,4816,8379	target:	Dicarboxylic acids and derivatives
4170	2930	0.71	-0.000	source:1762,8379	target:521,1103	Dicarboxylic acids and derivatives
4170	3312	0.42	-2.016	source:451,479,492,1776,1778,4816,4863,8379	target:37,59,341,521,974,1101,1195,5197	Dicarboxylic acids and derivatives
4170	3622	0.44	-2.016	source:479,492,513,1752,1762,1776,1778,4816,8379	target:37,521,1151,5197	Dicarboxylic acids and derivatives
4170	3963	0.43	82.079	source:867,1409,1706,4816,8379	target:1195,1755,1756,6510	Dicarboxylic acids and derivatives
4170	40	0.78	-0.000	source:361,469,513,867,1762,4816,8379	target:8211	Dicarboxylic acids and derivatives
4178	933	0.42	0.000	source:	target:	Dicarboxylic acids and derivatives
4209	1023	0.57	-0.000	source:	target:6221	Dicarboxylic acids and derivatives
4209	1468	0.46	-0.000	source:	target:	Dicarboxylic acids and derivatives
4209	2270	0.49	18.011	source:1534,1746,1755,6574	target:1095,1099,1167,1425	Dicarboxylic acids and derivatives
4209	2497	0.43	15.995	source:5126,6574	target:	Dicarboxylic acids and derivatives
4209	778	0.43	0.000	source:	target:	Dicarboxylic acids and derivatives
4348	3749	0.43	-74.037	source:37,139,359,1965,4844,5130,5197,6237,6538,7755	target:1099	Dicarboxylic acids and derivatives
4348	4138	0.41	-74.037	source:139,492,1766,1965,4844,6237,6538,7755	target:	Dicarboxylic acids and derivatives
4362	2851	0.46	-0.000	source:	target:	Dicarboxylic acids and derivatives
4362	3447	0.44	0.000	source:962	target:513,867,4816	Dicarboxylic acids and derivatives
4362	3596	0.61	-0.000	source:962,4736	target:414,450,513,867,4816	Dicarboxylic acids and derivatives
4410	1524	0.43	0.000	source:	target:477	Dicarboxylic acids and derivatives
4410	2374	0.42	2.016	source:497	target:37,874,5197	Dicarboxylic acids and derivatives
4410	370	0.49	0.000	source:	target:	Dicarboxylic acids and derivatives
4410	4095	0.42	0.000	source:	target:	Dicarboxylic acids and derivatives
442	309	0.93	0.000	source:	target:	Dicarboxylic acids and derivatives
4488	1468	0.44	0.000	source:4783	target:968,4736	Dicarboxylic acids and derivatives
4488	778	0.45	0.000	source:8427	target:968,4736	Dicarboxylic acids and derivatives
4510	1164	0.78	-0.000	source:	target:1195,5127	Dicarboxylic acids and derivatives
4510	1860	0.50	0.000	source:	target:1817,1912,7356	Dicarboxylic acids and derivatives
4628	309	0.44	-144.152	source:56,359,452,475,479,489,508,516,521,1109,1110,1167,1191,1705,1760,1766,1778,1790,4844,5114,5116,5120,5124,5135,5138,6237	target:1498,1710,4863,8428,8447	Dicarboxylic acids and derivatives
4722	2964	0.61	-0.000	source:1195,6221,7283,8410	target:361,1409,1754,6237	Dicarboxylic acids and derivatives
4738	1117	0.50	-0.000	source:	target:450,1103,1425	Dicarboxylic acids and derivatives
4738	1614	0.71	0.000	source:1760	target:1790	Dicarboxylic acids and derivatives
4738	2930	0.64	0.000	source:	target:469,1103,1216,4816,5127	Dicarboxylic acids and derivatives
4738	40	0.69	-0.000	source:55	target:8211	Dicarboxylic acids and derivatives
4738	4170	0.51	0.000	source:	target:469,867,1216,1762,4816,5127,8379	Dicarboxylic acids and derivatives
4747	161	0.52	-0.000	source:521,1103,5197	target:492,1754,5127	Dicarboxylic acids and derivatives
4747	4410	0.41	70.042	source:37,55,476,521,1103,1433,5197	target:492,1754,1956,8001	Dicarboxylic acids and derivatives
4798	4798	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
488	364	0.42	0.000	source:	target:59	Dicarboxylic acids and derivatives
636	526	0.68	0.000	source:1147,1760	target:	Dicarboxylic acids and derivatives
683	526	0.45	-18.011	source:521,1167,1409,1760,4816,5124,5126	target:1754,6574	Dicarboxylic acids and derivatives
735	537	0.50	-0.000	source:6069,6071	target:433,476,1095,1506,1710,7102	Dicarboxylic acids and derivatives
846	240	0.69	-0.000	source:50,487,1103,1433,1480,2835,4818,5214,7044,8206,8412,8447,8448	target:2,508,2601	Dicarboxylic acids and derivatives
846	257	0.50	0.000	source:7044	target:	Dicarboxylic acids and derivatives
846	316	0.60	0.000	source:1070,6595,7006	target:	Dicarboxylic acids and derivatives
868	868	1.00	0.000	source:	target:	Dicarboxylic acids and derivatives
1148	1148	1	0	null	null	Dicarboxylic acids and derivatives
1665	1665	1	0	null	null	Dicarboxylic acids and derivatives
122	122	1	0	null	null	Dicarboxylic acids and derivatives
141	141	1	0	null	null	Dicarboxylic acids and derivatives
2672	2672	1	0	null	null	Dicarboxylic acids and derivatives
173	173	1	0	null	null	Dicarboxylic acids and derivatives
2695	2695	1	0	null	null	Dicarboxylic acids and derivatives
1398	1398	1	0	null	null	Dicarboxylic acids and derivatives
