source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1032	386	0.43	-46.005	source:1852,5117	target:487,899	Furanoid lignans
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Furanoid lignans
1083	1072	0.49	-30.011	source:	target:	Furanoid lignans
1295	274	0.94	-0.000	source:	target:	Furanoid lignans
1404	1083	0.57	162.052	source:56,7290,8295	target:484,487,716,1433,7639	Furanoid lignans
1404	847	0.53	160.037	source:944,1018,1109,4801,8327,8428	target:484,716,1346,7639,8311	Furanoid lignans
1449	524	0.50	-1.943	source:5079,5109	target:716,3341,5090	Furanoid lignans
1449	660	0.59	44.063	source:	target:	Furanoid lignans
1483	1072	0.67	-0.000	source:	target:	Furanoid lignans
1483	1083	0.44	30.010	source:7290	target:487,502	Furanoid lignans
1483	1404	0.42	-132.042	source:716,7639	target:4801,6731	Furanoid lignans
1494	1165	0.59	0.000	source:	target:	Furanoid lignans
1494	323	0.43	-162.068	source:490,1151	target:1433,6869,7089,7569,8568	Furanoid lignans
1565	828	0.42	-162.052	source:451,1433,4836,4962,5014,6171,7303,7413,7932,8299,8349,8421	target:1304	Furanoid lignans
1855	1165	0.91	-0.000	source:	target:	Furanoid lignans
1855	1494	0.58	-0.000	source:3474,8202	target:	Furanoid lignans
1921	1565	0.58	0.000	source:8252,8270,8609,8657	target:	Furanoid lignans
2060	2060	1.00	0.000	source:	target:	Furanoid lignans
2081	1746	0.49	0.000	source:	target:	Furanoid lignans
238	238	1.00	0.000	source:	target:	Furanoid lignans
2405	2405	1.00	0.000	source:	target:	Furanoid lignans
2414	1935	0.45	0.000	source:354,948,1109,1304,6221	target:672,1388,6162	Furanoid lignans
2414	444	0.41	0.000	source:484,948	target:7380,7932,8202	Furanoid lignans
2414	800	0.43	0.000	source:948	target:7380,8407	Furanoid lignans
