source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1015	240	0.63	2.016	source:418,457	target:180,1159,1310,1708,4083,4558,5001,5124,5903,6165,6211,6595,6696,7021,7105,7153,7707,7737,7959,8248,8607,8648,8723	Hydroxy acids and derivatives
1015	257	0.53	2.016	source:418,457,516,1284,5112	target:50,59,139,180,1310,1331,1433,1534,1541,1708,2835,4081,4083,4558,4818,4848,5001,5379,6165,6211,6432,6595,6696,7021,7105,7153,7707,7737,7959,8248,8316,8412,8447,8607,8648,8723	Hydroxy acids and derivatives
1015	316	0.41	2.016	source:457,5112	target:50,59,139,180,1310,1331,1428,1433,1534,1708,2835,4081,4083,4818,4848,5001,5124,5379,5903,6165,6211,6219,6696,6916,7105,7153,7707,7959,8248,8316,8434,8447,8607,8648,8723	Hydroxy acids and derivatives
1015	846	0.44	2.016	source:189,418,457,508,516,1212,1284,5112	target:50,59,139,180,487,1169,1310,1331,1433,1480,1534,1541,1708,2816,2835,4081,4083,4558,4818,4848,5001,5124,5136,5139,5146,5214,5367,5379,5903,6165,6211,6219,6238,6432,6595,6696,6875,6916,7006,7021,7044,7105,7153,7659,7707,7737,7959,8206,8248,8316,8406,8412,8434,8447,8448,8607,8648,8723	Hydroxy acids and derivatives
1167	537	0.62	-0.000	source:2815,4800,8399	target:4798	Hydroxy acids and derivatives
1167	735	0.49	0.000	source:433,476,1095,2815,4800,8399,8433,8454	target:6069,6071	Hydroxy acids and derivatives
1475	240	0.66	-0.000	source:	target:1159,4803	Hydroxy acids and derivatives
1475	257	0.58	0.000	source:	target:50,139,1433,4081,4818,8412,8447	Hydroxy acids and derivatives
1475	316	0.50	0.000	source:	target:50,139,1428,1433,4081,4818,8447	Hydroxy acids and derivatives
1475	846	0.61	0.000	source:2	target:50,139,487,1070,1122,1433,1480,2816,4081,4818,5136,5139,5146,5214,5367,6238,6875,7006,7044,7659,8206,8412,8447,8448	Hydroxy acids and derivatives
1475	939	0.47	0.000	source:44,707,898,899,912,1044,1098,1102,1112,1123,1146,1183,1226,8469	target:30,50,139,521,1428,1433,2565,2816,4081,4803,4818,5198,5367,6218,6885,7480,8433,8447	Hydroxy acids and derivatives
1490	1475	0.43	-0.000	source:30,50,139,487,1122,1428,1433,2565,2816,4081,4803,4818,5136,5139,5146,5198,5214,5367,6218,6885,8206,8303,8412,8447	target:1044,8469	Hydroxy acids and derivatives
1490	240	0.57	-0.000	source:50,55,487,1428,1433,2835,4818,5214,6218,6885,8206,8303,8412,8447	target:1044,1159,2601,6431,8469	Hydroxy acids and derivatives
1490	257	0.47	0.000	source:55	target:1044,8469	Hydroxy acids and derivatives
1490	846	0.44	0.000	source:	target:1044,7006,8469	Hydroxy acids and derivatives
1490	939	0.46	-0.000	source:707	target:	Hydroxy acids and derivatives
2098	1110	0.43	0.000	source:521	target:	Hydroxy acids and derivatives
2247	2202	0.43	-0.000	source:1095,1770	target:66,513	Hydroxy acids and derivatives
257	240	0.75	-0.001	source:50,1103,1433,2835,4818,8412,8447	target:2601	Hydroxy acids and derivatives
316	240	0.50	-0.000	source:50,1103,1428,1433,2835,4818,8447	target:1159,3053,6595	Hydroxy acids and derivatives
361	236	0.49	30.011	source:	target:1207,1217,1220,4835,5124	Hydroxy acids and derivatives
3685	1015	0.89	0.000	source:59,341,1169,1199,1331,1433,1534,1708,2835,4083,4848,5124,6211,6218,6875,7021,7105,7707,7959,8434,8447,8607,8723	target:418,508,5112,6431	Hydroxy acids and derivatives
3685	240	0.53	2.016	source:1081,1103,1199,1200,1433,2835,6218,8447	target:49,465,508,1159,2601,4803,6431,6595,7737	Hydroxy acids and derivatives
3685	257	0.49	2.016	source:1284	target:4818,6595,7737	Hydroxy acids and derivatives
3685	316	0.51	2.016	source:1070	target:4818,6219	Hydroxy acids and derivatives
3685	846	0.61	2.016	source:1284	target:1480,4818,5136,5139,5146,5214,5367,6219,6238,6595,7006,7044,7659,7737,8206,8448	Hydroxy acids and derivatives
3833	272	0.42	2.015	source:497,1418,1433,1498,1710,1912,1956,6071,7167,7931,8415,8434	target:31,180,470,514,1523,6877	Hydroxy acids and derivatives
3833	394	0.80	-0.000	source:	target:	Hydroxy acids and derivatives
3899	3899	1.00	0.000	source:	target:	Hydroxy acids and derivatives
394	272	0.57	2.015	source:1433,1710,1912,1956,6071,7167,7931	target:31,470,514,1523,6877	Hydroxy acids and derivatives
4112	236	0.55	-0.000	source:	target:	Hydroxy acids and derivatives
4112	361	0.45	-30.011	source:1207,1217,1220,4835,5124	target:	Hydroxy acids and derivatives
4112	757	0.44	-48.021	source:1207,1217,1220,1233,1523,4836,5120,5124,5126,5135,6772,6877,7921,8071,8388	target:142,484,968,980,1710,6103	Hydroxy acids and derivatives
4112	802	0.49	13.979	source:443,470,514,1523,1902,6772,8071,8388	target:142,484,968,980,6103,6229	Hydroxy acids and derivatives
4119	236	0.48	46.042	source:	target:452,493,1110,1207,1208,1212,1217,1220,1221,1233,1523,4835,5114,5116,5117,5120,5124,5126,5135,5138,6772,7921,8071,8388	Hydroxy acids and derivatives
4119	361	0.41	16.031	source:	target:452,465,493,1110,1208,1523,5114,5116,5117,5138,6772,8071	Hydroxy acids and derivatives
4119	4112	0.42	46.042	source:142,484,968,980,6103	target:452,493,1110,1207,1208,1212,1217,1220,1221,1233,1523,4835,5114,5116,5117,5120,5124,5126,5135,5138,6772,7921,8071,8388	Hydroxy acids and derivatives
4119	757	0.44	-1.979	source:	target:452,493,1208,5114,5116	Hydroxy acids and derivatives
4119	802	0.54	60.021	source:	target:1110,1207,1208,1212,1217,1220,1221,1233,4835,5114,5116,5117,5120,5124,5126,5135,5138	Hydroxy acids and derivatives
735	537	0.50	-0.000	source:6069,6071	target:433,476,1095,1506,1710,7102	Hydroxy acids and derivatives
757	236	0.47	48.021	source:1710	target:1207,1217,1220,1233,1523,4836,5120,5124,5126,5135,6772,6877,7921,8071,8388	Hydroxy acids and derivatives
757	272	0.55	-12.000	source:1208,1218,1433,1710,5105,5114,5116,7102	target:1523,6877	Hydroxy acids and derivatives
757	361	0.59	18.010	source:1710	target:1523,4836,6772,6877,8071	Hydroxy acids and derivatives
757	394	0.46	-14.016	source:452,470,514,1208,1218,5114,5116	target:1912,1956,6071,7167,7931	Hydroxy acids and derivatives
