source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1002	272	0.44	-228.101	source:36,37,48,55,329,333,335,337,418,459,466,487,488,511,706,709,713,875,974,1026,1110,1138,1207,1208,1217,1218,1228,1229,1422,1433,1695,1710,1902,3956,4568,4768,4777,4835,4836,5107,5114,5120,5135,5138,5197,5423,6225,6869,7089,7102,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684	target:2,49,142,180,354,465,515,948,968,971,980,1523,4736,4863,6103,6877	Monocarboxylic acids and derivatives
1002	361	0.41	-198.090	source:36,48,55,329,333,335,337,418,459,466,487,488,706,709,713,875,933,974,1026,1138,1190,1207,1217,1228,1422,1695,1710,3955,3956,4568,4777,4835,5423,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684	target:2,180,354,465,515,948,971,1523,4736,4863,5105,5116,6772,6877,8071	Monocarboxylic acids and derivatives
1002	843	0.43	112.016	source:1710,4833,7102	target:189,481,499,716,720,909,1004,1169,2055,2835,6160,6580,6962,6965,7120,7569,7572,7640,8083,8270	Monocarboxylic acids and derivatives
1014	1014	1.00	0.000	source:	target:	Monocarboxylic acids and derivatives
1016	1016	1.00	0.000	source:	target:	Monocarboxylic acids and derivatives
1035	241	0.42	32.026	source:33,474,909,1181,1428	target:25,57,411,1708,2565,4768,4807,4848,5067,5079,5105,5116,5117,5124,5126,5127,6218,6580,6965,6988,7312,7491,7840,8329,8494	Monocarboxylic acids and derivatives
1057	1046	0.55	0.000	source:	target:	Monocarboxylic acids and derivatives
1064	284	0.45	4.033	source:25,1026,1168,4800,7257,7780,8494,8772	target:	Monocarboxylic acids and derivatives
1064	311	0.50	-2.013	source:	target:59,457,1101,1200,1433,4848,5124	Monocarboxylic acids and derivatives
1064	347	0.54	-3.993	source:	target:6993,8400	Monocarboxylic acids and derivatives
1064	659	0.45	0.002	source:	target:30,473,1433,2562,4848	Monocarboxylic acids and derivatives
1064	84	0.44	-4.008	source:56,1026,1103,1168,4800,6988,7257,7780,8494,8772,8871	target:1433	Monocarboxylic acids and derivatives
1064	843	0.41	84.023	source:56,4800,5079,6988,8772	target:473,716,861,909,1169,1237,1238,2055,2562	Monocarboxylic acids and derivatives
1077	1064	0.42	50.035	source:474,909,910,962,1069,1101,1192,1433,3181,4968	target:25,56,128,521,712,1240,4800,6988,7257,7780,8494,8772,8871	Monocarboxylic acids and derivatives
1077	84	0.42	46.027	source:33,474,909,910,944,962,974,1018,1026,1069,1101,1103,1127,1168,1192,1195,3181,4968	target:481,499,7120	Monocarboxylic acids and derivatives
1100	587	0.48	-132.043	source:110,117,336,337,466,487,875,895,933,1133,1138,1189,1207,1220,1228,1233,1695,1698,4568,6225,6869,7089,7303,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:	Monocarboxylic acids and derivatives
1100	810	0.44	76.052	source:142,968,980,4736,5105,6103	target:	Monocarboxylic acids and derivatives
1100	903	0.44	32.026	source:49,142,968,980,1698,4736,6103	target:	Monocarboxylic acids and derivatives
1100	916	0.44	60.057	source:49,142,968,980,4736,6103	target:55,57,521,1331,1422,4768,4777	Monocarboxylic acids and derivatives
1130	1064	0.45	-0.003	source:30,473,861,1433,2562,2564,4797,4803,4848,5124	target:	Monocarboxylic acids and derivatives
1130	241	0.45	-0.000	source:1240,7144	target:	Monocarboxylic acids and derivatives
1130	659	0.49	-0.000	source:	target:	Monocarboxylic acids and derivatives
1138	1100	0.46	0.000	source:	target:	Monocarboxylic acids and derivatives
1138	236	0.46	-100.016	source:36,48,110,117,329,335,336,337,418,459,487,706,709,713,875,895,933,1133,1138,1189,1190,1228,1695,1698,3955,3956,4568,5423,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1523,6772,6877,7921,8071,8388	Monocarboxylic acids and derivatives
1138	430	0.49	180.063	source:1220,1698,5124,6677,7572,7639,7640	target:716	Monocarboxylic acids and derivatives
1138	587	0.59	-132.043	source:110,117,336,337,487,706,713,875,895,933,1133,1138,1189,1207,1220,1228,1233,1695,1698,4568,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:5079	Monocarboxylic acids and derivatives
1138	810	0.55	76.052	source:5105,6677,7639,7640	target:	Monocarboxylic acids and derivatives
1138	823	0.56	-27.995	source:1220,1698,5105,5116,5117,5124,5126,6677,7572,7639,7640,8657	target:	Monocarboxylic acids and derivatives
1138	903	0.46	32.026	source:713,1698,7572,7639,7640	target:	Monocarboxylic acids and derivatives
1138	916	0.50	60.057	source:	target:55,57,521,1422,4768,4777	Monocarboxylic acids and derivatives
1138	920	0.48	-132.043	source:48,110,117,329,335,336,337,418,459,487,706,709,713,875,895,1133,1138,1189,1207,1217,1220,1228,1233,1695,1698,4568,5120,5124,5126,5135,5423,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:2,354,2601	Monocarboxylic acids and derivatives
1151	504	0.56	-0.000	source:	target:	Monocarboxylic acids and derivatives
1159	824	0.42	-2.016	source:433,1095,6237	target:508,4768,8447	Monocarboxylic acids and derivatives
1159	867	0.85	-0.000	source:	target:49,180,415,1191,4833,4844,6211,8447	Monocarboxylic acids and derivatives
1160	994	0.62	0.000	source:49	target:	Monocarboxylic acids and derivatives
1188	1100	0.42	-58.042	source:427,521,1331,4768,4777,5067	target:142,968,980,1220,4736,6103	Monocarboxylic acids and derivatives
1188	1138	0.48	-58.042	source:427,521,4768,4777,5067,5079	target:1220,6677,7572,7640	Monocarboxylic acids and derivatives
1188	236	0.42	-158.058	source:36,48,110,117,329,333,335,336,337,418,427,459,466,487,521,706,709,875,895,933,1138,1189,1190,1228,1331,1695,3955,3956,4568,4768,4777,5067,5423,6225,6869,7089,7303,7413,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1220,1523,6772,6877,7102,7921,8071,8388	Monocarboxylic acids and derivatives
1188	430	0.45	122.021	source:	target:716	Monocarboxylic acids and derivatives
1188	587	0.45	-190.085	source:110,117,333,336,337,427,466,487,521,706,875,895,933,1138,1189,1207,1228,1233,1331,1695,4568,4777,5067,6225,6869,7089,7303,7413,7968,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1710,4736,4863	Monocarboxylic acids and derivatives
1188	672	0.43	-56.026	source:427,521,1331,4768,5062,5067,5079,5105,5109,5116	target:	Monocarboxylic acids and derivatives
1188	810	0.57	18.011	source:5067,5105	target:	Monocarboxylic acids and derivatives
1188	84	0.42	34.006	source:1331	target:499,6677,7120,7572,7640	Monocarboxylic acids and derivatives
1188	903	0.43	-26.016	source:427,521,1331,4768,4777,5067	target:8056	Monocarboxylic acids and derivatives
1188	916	0.65	2.016	source:	target:7572	Monocarboxylic acids and derivatives
1196	869	0.46	0.000	source:	target:	Monocarboxylic acids and derivatives
1204	1204	1.00	0.000	source:	target:	Monocarboxylic acids and derivatives
1206	1138	0.44	58.006	source:	target:713,895,1695,1698,6225,6677,7413,7572,7639,7640,7760,7968,8270,8463,8609,8657	Monocarboxylic acids and derivatives
1206	236	0.45	-42.011	source:36,48,329,335,418,459,709,933,1190,1228,3955,3956,5423,8104	target:6772,7102,7921,8071,8388	Monocarboxylic acids and derivatives
1206	430	0.43	238.069	source:	target:481,713,716,895,1695,6225,7350,7413,7968,8083,8252,8270,8463,8609,8657	Monocarboxylic acids and derivatives
1206	587	0.51	-74.037	source:933,1207,1228,1233	target:1710	Monocarboxylic acids and derivatives
1206	594	0.43	-14.016	source:329,335,418,443,470,1190,1902,8104	target:180,2835,7102	Monocarboxylic acids and derivatives
1206	810	0.49	134.058	source:	target:713,895,1695,6225,7968,8463,8609,8657	Monocarboxylic acids and derivatives
1206	823	0.46	30.011	source:	target:6225,7968,8270	Monocarboxylic acids and derivatives
1206	920	0.48	-74.037	source:48,329,335,418,459,709,1207,1217,1228,1233,5120,5135,5423,8104	target:2601	Monocarboxylic acids and derivatives
121	39	0.55	0.000	source:1762,1770	target:1225,7918	Monocarboxylic acids and derivatives
1215	1188	0.61	-1.979	source:	target:1331	Monocarboxylic acids and derivatives
1215	587	0.47	-192.064	source:110,117,333,336,337,466,487,875,895,933,1138,1189,1207,1228,1233,4568,4777,5067,6225,6869,7089,7303,7413,7968,8521,8568,8605,8609,8657,8661,8684,8730	target:1710	Monocarboxylic acids and derivatives
1215	672	0.51	-58.005	source:4768,5062,5067,5105,5109,5116,5124	target:	Monocarboxylic acids and derivatives
1215	810	0.49	16.031	source:5067,5105	target:	Monocarboxylic acids and derivatives
1215	84	0.42	32.026	source:1212,1221	target:6677,7120,7572	Monocarboxylic acids and derivatives
1215	916	0.69	0.036	source:	target:1331,7572	Monocarboxylic acids and derivatives
1250	715	0.42	30.011	source:	target:6731	Monocarboxylic acids and derivatives
1259	1138	0.55	118.027	source:5079	target:110,117,335,336,337,443,487,706,713,875,895,1133,1138,1189,1220,1228,1695,1698,4568,6225,6677,6869,7089,7303,7413,7572,7639,7640,7760,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	1188	0.48	176.069	source:980	target:110,117,335,336,337,487,706,875,895,1138,1189,1228,1331,1695,4568,5067,6225,6869,7089,7303,7413,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	1206	0.50	60.021	source:	target:335,443,1228,8104	Monocarboxylic acids and derivatives
1259	1215	0.45	178.048	source:	target:110,117,335,336,337,487,875,895,1138,1189,1228,4568,5067,6225,6869,7089,7303,7413,7968,8104,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	1238	0.41	202.085	source:980,6211	target:55,57,189,335,706,712,713,720,1026,1228,1695,4568,5067,6225,6869,7089,7303,7413,7572,7640,7760,7968,8104,8270,8463,8521,8568,8609,8657,8661,8684	Monocarboxylic acids and derivatives
1259	235	0.41	14.016	source:516	target:865,1331,8607	Monocarboxylic acids and derivatives
1259	236	0.57	18.011	source:36,329,418,933,3955	target:443,1220,1523,6772,6877,7921,8071,8388	Monocarboxylic acids and derivatives
1259	320	0.42	270.111	source:515,948,971,980,990,1433,4833,5079,5109,6211,6219	target:55,56,57,110,117,335,336,337,476,481,487,499,706,713,720,865,875,895,974,1138,1168,1189,1228,1236,1240,1695,2055,4568,4807,5067,5068,5127,6225,6580,6869,6965,7089,7120,7303,7350,7413,7743,7760,8083,8104,8252,8270,8274,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	361	0.55	-12.000	source:36,329,418,933,1217,3955	target:180,443,1523,6772,6877,8071	Monocarboxylic acids and derivatives
1259	410	0.50	15.995	source:	target:1220,2601	Monocarboxylic acids and derivatives
1259	471	0.45	-46.006	source:36,37,329,418,933,1110,1208,1217,1410,3955,4833,5062,5107,5114,5117,5120,5135,5138,5197,6211	target:	Monocarboxylic acids and derivatives
1259	587	0.47	-14.016	source:933	target:	Monocarboxylic acids and derivatives
1259	594	0.47	46.005	source:329,418,470	target:49,180,1331,6962	Monocarboxylic acids and derivatives
1259	672	0.46	120.042	source:980,5062,5079,5109	target:110,117,335,336,337,443,487,706,875,1138,1228,1695,4568,6225,6869,7089,7303,7968,8104,8270,8463,8521,8568,8605,8661,8684,8730	Monocarboxylic acids and derivatives
1259	725	0.43	206.079	source:980,6211,6219	target:110,117,335,336,337,443,481,487,706,713,875,895,1138,1189,1228,1695,4568,6225,6869,7089,7303,7350,7413,7572,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	810	0.55	194.079	source:980	target:110,117,335,336,337,487,706,713,875,895,1138,1189,1228,1695,4568,6225,6869,7089,7303,7968,8104,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	843	0.41	298.105	source:515,980,990,1708,4833,5079,5109,6211,6219	target:55,110,117,189,335,336,337,481,487,499,510,706,713,716,720,861,865,875,895,909,944,974,1004,1018,1026,1138,1168,1169,1189,1228,1236,1237,1238,1331,1695,2055,4568,5067,6160,6225,6580,6869,6962,6965,7089,7120,7303,7350,7413,7569,7572,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	903	0.55	150.053	source:980	target:335,337,443,487,706,875,1138,1189,1228,1695,4568,6225,6869,7089,7303,7968,8104,8270,8463,8521,8568,8605,8661,8684,8730	Monocarboxylic acids and derivatives
1259	916	0.44	178.084	source:980	target:55,57,110,117,335,336,337,443,487,706,713,875,895,1138,1189,1228,1331,1695,1698,4568,6225,6869,7089,7303,7350,7413,7572,7639,7968,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Monocarboxylic acids and derivatives
1259	920	0.53	-14.016	source:329,418,1217,5120,5135	target:49,2601	Monocarboxylic acids and derivatives
127	127	1.00	0.000	source:	target:	Monocarboxylic acids and derivatives
1281	1281	1.00	0.000	source:	target:	Monocarboxylic acids and derivatives
1305	1064	0.48	6.008	source:59,861,1101,1238,1284,4848,5014,6993,8327,8400	target:4768	Monocarboxylic acids and derivatives
1305	311	0.47	3.995	source:5014,6993,7569,8327,8329,8400	target:55,427,1433,4768	Monocarboxylic acids and derivatives
1305	347	0.62	2.016	source:59,515,948,971	target:	Monocarboxylic acids and derivatives
1305	84	0.46	2.000	source:59,460,861,944,974,1018,1026,1101,1103,1168,1195,1236,1238,1284,4801,4848,5014,6509,6988,6993,7144,7257,7569,7780,8327,8329,8400,8494,8772,8871	target:55,499,1433,4768	Monocarboxylic acids and derivatives
1306	571	0.41	15.995	source:707,4632	target:37,6171	Monocarboxylic acids and derivatives
1306	773	0.46	42.011	source:44,707,884,898,899,912,1070,1112,1146,1183,1216,1422,8469	target:37,460,1425,1534,3955,4848,5100,5109,5197,6171,8406	Monocarboxylic acids and derivatives
1311	1188	0.56	-0.000	source:	target:	Monocarboxylic acids and derivatives
1311	1215	0.50	1.979	source:865,2565	target:	Monocarboxylic acids and derivatives
1311	1259	0.50	-176.069	source:55,57,110,117,335,336,337,487,706,713,865,875,895,1138,1189,1228,1695,4568,4807,5067,6225,6869,7089,7303,7968,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:980	Monocarboxylic acids and derivatives
1311	587	0.53	-190.085	source:55,57,110,117,333,336,337,427,466,473,487,521,706,713,865,875,895,933,1138,1189,1207,1228,1422,1695,2565,4568,4777,4807,5067,6225,6869,7089,7303,7968,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:4736,4863	Monocarboxylic acids and derivatives
1311	810	0.49	18.010	source:2565,4807,5067,5105	target:	Monocarboxylic acids and derivatives
