source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1095	1071	0.41	122.036	source:	target:33,44,457,707,898,899,910,912,1098,1102,1112,1123,1146,1183,1188,4968,8469	Vinylogous esters
1095	233	0.54	-27.995	source:1331,6171	target:49	Vinylogous esters
1095	242	0.41	346.126	source:6171	target:473,476,502,510,1534,4968,5127,6103,6393,6731	Vinylogous esters
1095	279	0.41	-30.010	source:6171	target:1237,1238	Vinylogous esters
1130	659	0.49	-0.000	source:	target:	Vinylogous esters
1176	279	0.42	-152.047	source:50,139,427,473,707,1069,1112,1146,1192,1216,4768,4968,5379,6053,6221,7259,7755	target:443,1698,7639	Vinylogous esters
1183	233	0.41	-27.995	source:1122,1284,1331,2932,5014,6587,7569,7755,8329	target:49,4800,7312,7840	Vinylogous esters
1204	1204	1.00	0.000	source:	target:	Vinylogous esters
1220	233	0.43	-208.058	source:499,1331,7569	target:49,4800	Vinylogous esters
1220	347	0.44	-194.042	source:499,1433,5124	target:	Vinylogous esters
1220	838	0.44	164.083	source:460,484,487,5124,6988,7569,7840,8772	target:70,707,714,727,1216,1225,5089,5111,5112,5118,6221,8248,8254,8327,8406	Vinylogous esters
1250	715	0.42	30.011	source:	target:6731	Vinylogous esters
1305	1220	0.43	196.058	source:1284,5014,8327	target:55,499,1433	Vinylogous esters
1305	347	0.62	2.016	source:59,515,948,971	target:	Vinylogous esters
1305	577	0.48	210.074	source:1238,1284,5014,8327	target:55,139,473,1708	Vinylogous esters
1305	838	0.44	360.142	source:59,460,487,515,971,4848,6988,7312,7569,8329,8772	target:33,55,70,499,510,707,714,716,727,909,1069,1192,1216,1225,4968,5089,5111,5112,5118,6221,6731,8254	Vinylogous esters
1348	1348	1.00	0.000	source:	target:	Vinylogous esters
1370	1370	1.00	0.000	source:	target:	Vinylogous esters
1372	1107	0.48	0.000	source:	target:	Vinylogous esters
1416	1416	1.00	0.000	source:	target:	Vinylogous esters
1446	1250	0.45	0.000	source:	target:	Vinylogous esters
1446	659	0.44	-158.057	source:489,499,720,962,6993,8400	target:30,2565,7491	Vinylogous esters
1450	1450	1.00	0.000	source:	target:	Vinylogous esters
1482	1220	0.64	-0.000	source:	target:499	Vinylogous esters
1482	233	0.42	-208.059	source:1331,5127	target:411,4800,7312	Vinylogous esters
1626	1220	0.46	10.029	source:44,497,707,898,1098,1112,1123,1146,8469	target:443,499,1698,7968	Vinylogous esters
1626	1482	0.54	10.029	source:44,707,898,1098,1112,1123,1127,1146,8469	target:56,443,515,948,971,1063,7968	Vinylogous esters
1626	296	0.42	198.073	source:707,898,909,1069,1098,1112,1123,1146,1331,1433,2835,8447,8469	target:142,443,515,517,813,918,920,948,971,1120,1141,1210,1219,1230	Vinylogous esters
1698	1220	0.43	-138.068	source:502,1534,2562	target:	Vinylogous esters
1698	296	0.41	49.976	source:411,469,476,1331,1433,7491,8329,8447	target:517,813,918,920,1120,1141,1210,1219,1230	Vinylogous esters
1836	1095	0.42	-48.021	source:30,34,457,473,499,865,1426,2562,2565,3181,4797,4803,5127,8126,8329	target:1698,6171,6677	Vinylogous esters
1836	1108	0.52	0.000	source:30,484	target:1268,1284	Vinylogous esters
1836	710	0.41	0.000	source:30,484,865,2565,3181,8126	target:505,1284,2932,5014,6171,6221	Vinylogous esters
1848	296	0.43	328.114	source:469,707,1331,1433,8447	target:142,443,473,502,517,813,918,920,1120,1141,1210,1219,1230,6965,7569	Vinylogous esters
1930	1836	0.43	48.021	source:1268,1284,1698,6677	target:30,457,484,499,865,1426,2562,2565,4797,4803,5126,5127,6580,6965,7120,7312,7491,7840	Vinylogous esters
2039	2039	1.00	0.000	source:	target:	Vinylogous esters
2114	1626	0.43	-194.093	source:56,443,489,499,508,1698,1965,6538,7968	target:44,59,427,460,473,497,707,861,898,1098,1101,1112,1123,1127,1146,1190,1192,4768,4848,8447,8469	Vinylogous esters
2214	2214	1.00	0.000	source:	target:	Vinylogous esters
2264	2264	1.00	0.000	source:	target:	Vinylogous esters
2268	347	0.50	0.000	source:437	target:	Vinylogous esters
2311	838	0.41	0.000	source:6888	target:510,8428	Vinylogous esters
2321	1836	0.43	-0.000	source:	target:30,443,2565,3181,4803,7312,8126	Vinylogous esters
242	233	0.62	-374.121	source:139,427,473,502,510,1147,1534,4768,4968,5127,6103,6393,6731	target:7312	Vinylogous esters
2590	1446	0.43	164.104	source:	target:489,499,895,4801,6580,6993,8329,8457,8657,8684	Vinylogous esters
2590	233	0.42	-11.964	source:33,427,1426,4768	target:25,49,411,443,484,895,1004,4800,4801,6580,6965,7120,7491,8657,8684	Vinylogous esters
2590	277	0.41	18.010	source:1426	target:	Vinylogous esters
