source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1036	527	0.62	162.053	source:8327	target:31,110,117,335,336,337,451,493,875,895,1138,1189,1695,1902,4568,4835,4836,5120,5135,5423,6225,6677,6869,6972,7089,7303,7350,7413,7572,7639,7640,7760,7968,8083,8104,8252,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	Alkyl aryl ethers
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Alkyl aryl ethers
1072	707	0.42	-180.064	source:716,1433,8447	target:4801	Alkyl aryl ethers
1144	1144	1.00	0.000	source:	target:	Alkyl aryl ethers
1169	315	0.41	2.016	source:27,333,354,451,466,1224,1283,1304,1346,5004,5107,5364,5931,8259	target:70,894,1142,1181,1268,1331,2835,3181,3340,4928	Alkyl aryl ethers
1197	247	0.45	-1.982	source:5109	target:423,1902,7572,7968	Alkyl aryl ethers
1197	449	0.43	-47.988	source:354,1368,4800,5109,5116,5117,6162,8333,8540	target:423,443,486,785,1102,1148,1183,1902,4168,5088,5089,5090,5111,6318,7290,7380,7572,7743,7968,7969,8252,8297,8341	Alkyl aryl ethers
1219	1169	0.48	-0.000	source:	target:1109	Alkyl aryl ethers
1295	274	0.94	-0.000	source:	target:	Alkyl aryl ethers
1336	1336	1.00	0.000	source:	target:	Alkyl aryl ethers
1447	828	0.46	2.016	source:1283,3341,5004,5014,6431,8321	target:470,3955,5364	Alkyl aryl ethers
1449	315	0.47	-326.048	source:27,31,117,335,336,337,354,451,459,499,709,875,1138,1189,1209,1695,4568,4835,4836,5107,5120,5135,5364,5423,6225,6869,7089,7303,7413,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1169,1181,2835,3340	Alkyl aryl ethers
1449	341	0.55	-117.990	source:486	target:8871	Alkyl aryl ethers
1449	398	0.41	-280.043	source:31,34,117,335,336,337,354,451,499,875,1138,1189,1227,1695,4568,4835,4836,6225,6869,7089,7303,7572,8083,8104,8270,8463,8521,8568,8605,8609,8657,8661,8684,8730	target:1181,1346,1428,1433,6171,8428	Alkyl aryl ethers
1449	536	0.42	-163.995	source:354	target:1698,4838,5090,6287,7380,7969,8563,8637	Alkyl aryl ethers
1449	660	0.59	44.063	source:	target:	Alkyl aryl ethers
1459	302	0.43	46.005	source:499,1698,1852,4982,6720,7380,7969,8311	target:55,475,510,894,1103,1109,1268,5079,5109	Alkyl aryl ethers
1459	536	0.57	-0.000	source:333,466	target:475,894,1109	Alkyl aryl ethers
1484	1484	1.00	0.000	source:	target:	Alkyl aryl ethers
1494	1165	0.59	0.000	source:	target:	Alkyl aryl ethers
1538	880	0.50	1.979	source:	target:894,1331	Alkyl aryl ethers
1565	828	0.42	-162.052	source:451,1433,4836,4962,5014,6171,7303,7413,7932,8299,8349,8421	target:1304	Alkyl aryl ethers
1579	1459	0.43	0.000	source:	target:521,3341,6160	Alkyl aryl ethers
1636	1636	1.00	0.000	source:	target:	Alkyl aryl ethers
1704	1704	1.00	0.000	source:	target:	Alkyl aryl ethers
1715	1715	1.00	0.000	source:	target:	Alkyl aryl ethers
