source	target	ftalign_similarity	delta_m/z	source_fp_uniq	target_fp_uniq	facet
1019	415	0.63	30.011	source:359	target:6965	Fatty acyl glycosides of mono- and disaccharides
1019	622	0.41	-222.125	source:30,56,59,359,411,427,435,473,481,489,502,865,944,948,962,1018,1101,1168,1216,1236,1238,1426,1534,2055,2562,2564,2565,3972,4801,4807,5068,5126,5127,6218,6326,6350,6380,6506,6885,6917,6930,6966,7160,7549,7743,7761,8274,8407	target:443,1698,6677,7572,7639,7640	Fatty acyl glycosides of mono- and disaccharides
1019	904	0.49	48.022	source:411,1238,6218,6326,6380,6506,6917,6930,6966,7160,7761	target:	Fatty acyl glycosides of mono- and disaccharides
1072	449	0.43	-18.011	source:1109,1433,8428,8447	target:734,1004,3053,4999,5088,6318,7969,8311	Fatty acyl glycosides of mono- and disaccharides
1083	1072	0.49	-30.011	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1083	247	0.43	-2.016	source:502,674,1109,1268,1305,1433,1698,6962,7639	target:34,49,56,734,6674,8311	Fatty acyl glycosides of mono- and disaccharides
1083	449	0.41	-48.022	source:487,502,1109,1268,1433,1698	target:56,734,3053,4168,4999,5088,6318,7290,7380,7969,8311	Fatty acyl glycosides of mono- and disaccharides
1185	415	0.43	106.042	source:	target:30,435,460,502,720,944,948,962,971,974,1018,1168,1216,1708,2055,2564,2565,2568,3972,4848,7549,7743,8274	Fatty acyl glycosides of mono- and disaccharides
1185	583	0.43	30.011	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1260	1019	0.48	122.037	source:1710,1852,6674,6720	target:30,59,359,411,435,460,502,865,944,948,962,974,1018,1101,1168,1216,1238,1534,2055,2562,2564,2565,3972,4801,4848,5068,5079,5109,5117,5126,6218,6326,6350,6380,6885,6917,6930,6966,7160,7549,7743,7761,8407	Fatty acyl glycosides of mono- and disaccharides
1260	1185	0.55	46.006	source:1710	target:	Fatty acyl glycosides of mono- and disaccharides
1260	415	0.53	152.048	source:1852,6674,6720	target:30,435,460,502,720,865,944,948,962,971,974,1018,1168,1216,1708,2055,2562,2564,2565,2568,3972,4848,5068,5109,5117,5126,6350,6965,7549,7743	Fatty acyl glycosides of mono- and disaccharides
1260	583	0.50	76.016	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1260	622	0.41	-100.088	source:56,477,481,1852,6674	target:443,1698,1708,7572,7639,7640	Fatty acyl glycosides of mono- and disaccharides
1295	274	0.94	-0.000	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1483	1072	0.67	-0.000	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1483	1083	0.44	30.010	source:7290	target:487,502	Fatty acyl glycosides of mono- and disaccharides
1610	904	0.88	-0.000	source:	target:	Fatty acyl glycosides of mono- and disaccharides
1746	1019	0.43	-164.011	source:70,333,474,486,707,714,727,909,1069,1112,1148,1192,1224,1225,1226,5089,5111,5118,6677,7572,7639,7640,8248,8406	target:30,59,359,411,435,460,476,865,948,1426,1534,2562,2564,2565,4801,4848,5068,5079,5109,5126,6218,6885,6966,7549	Fatty acyl glycosides of mono- and disaccharides
1746	1260	0.41	-286.048	source:70,333,474,486,707,714,720,727,909,944,962,974,1018,1026,1052,1069,1112,1127,1148,1168,1188,1192,1216,1224,1225,1226,2055,3972,5089,5111,5118,7572,7639,7640,7743,8248,8406,8407	target:476,1852,6674,6720	Fatty acyl glycosides of mono- and disaccharides
